id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,goalkeeper,counterpress,interception,duel,clearance,dribble,out,off_camera,foul_won,shot,miscontrol,foul_committed,ball_recovery,substitution,related_events_1,related_events_2,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_aerial_won,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,related_events,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,pass_through_ball,pass_technique_id,pass_technique_name,related_events_4,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_switch
b78554d8-b768-4039-a262-897ecab7b10e,3737,2,00:42:54.251,87,54,42,Ball Receipt*,156,217,Barcelona,1,Regular Play,217,Barcelona,,,42d48828-5f54-4b9c-bf23-13ad5ecf334a,5470,Ivan Rakitić,13,Right Center Midfield,62.3,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68c1bb77-5eee-40ab-8901-164ed85e4ded,3738,2,00:42:54.251,87,54,43,Carry,156,217,Barcelona,1,Regular Play,217,Barcelona,1.1794,,95e4c216-6108-412e-98a3-ffde3883ace9,5470,Ivan Rakitić,13,Right Center Midfield,62.3,37.0,,,,True,,,,,,,,,,,,,,,b78554d8-b768-4039-a262-897ecab7b10e,bd7d5880-3202-4f57-b884-bcbae9b28090,,,,,,,,,,,,65.0,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd7d5880-3202-4f57-b884-bcbae9b28090,3739,2,00:42:54.863,87,54,17,Pressure,156,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,0.3989,,68c1bb77-5eee-40ab-8901-164ed85e4ded,6777,Sidnei Rechel da Silva Júnior,5,Left Center Back,54.3,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3280890-695d-43a9-bbfe-a4e66a3595a1,3740,2,00:42:55.431,87,55,39,Dribbled Past,156,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,0.0,,95e4c216-6108-412e-98a3-ffde3883ace9,6777,Sidnei Rechel da Silva Júnior,5,Left Center Back,55.1,46.4,,,,,,,,,,,,,,,,,,,c85fd778-84ef-4a76-b137-66e5a36ce919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95e4c216-6108-412e-98a3-ffde3883ace9,3741,2,00:42:55.431,87,55,14,Dribble,156,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,a3280890-695d-43a9-bbfe-a4e66a3595a1,5470,Ivan Rakitić,13,Right Center Midfield,65.0,33.7,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c85fd778-84ef-4a76-b137-66e5a36ce919,3742,2,00:42:55.431,87,55,43,Carry,156,217,Barcelona,1,Regular Play,217,Barcelona,2.4427,,09d4da10-9669-4e8e-9109-e7c259eeabdb,5470,Ivan Rakitić,13,Right Center Midfield,65.0,33.7,,,,True,,,,,,,,,,,,,,,95e4c216-6108-412e-98a3-ffde3883ace9,a3280890-695d-43a9-bbfe-a4e66a3595a1,,,,,,,,,,,,63.3,20.2,,,,,,,,,,,,,dfd21eaa-4a3a-4fe9-97a8-89852982bd07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09d4da10-9669-4e8e-9109-e7c259eeabdb,3743,2,00:42:56.413,87,56,17,Pressure,156,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,1.2796,,c85fd778-84ef-4a76-b137-66e5a36ce919,16083,José Rodríguez Martínez,12,Right Midfield,51.9,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9b5e56-3b8f-4fc3-ad3f-19b76cc7ac6c,3744,2,00:42:56.893,87,56,17,Pressure,156,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,0.9805,,dfd21eaa-4a3a-4fe9-97a8-89852982bd07,24080,José Verdú Nicolás,24,Left Center Forward,56.2,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfd21eaa-4a3a-4fe9-97a8-89852982bd07,3745,2,00:42:57.874,87,57,14,Dribble,156,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,0e9b5e56-3b8f-4fc3-ad3f-19b76cc7ac6c,5470,Ivan Rakitić,13,Right Center Midfield,63.3,20.2,,,,True,,,,,,,,,,,,,,,643adb83-3611-42f5-81ce-45db82470025,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643adb83-3611-42f5-81ce-45db82470025,3746,2,00:42:57.874,87,57,4,Duel,156,217,Barcelona,1,Regular Play,219,RC Deportivo La Coruña,0.0,,dfd21eaa-4a3a-4fe9-97a8-89852982bd07,24080,José Verdú Nicolás,24,Left Center Forward,56.8,59.9,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
