id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,duel,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,out,clearance,dribble,off_camera,shot,interception,ball_recovery,50_50,foul_won,foul_committed,bad_behaviour,substitution,block,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_switch,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,goalkeeper,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,dribble_outcome_id,dribble_outcome_name,related_events_3,foul_committed_advantage,foul_won_advantage,pass_aerial_won,foul_committed_card_id,foul_committed_card_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate
b5023525-59a8-4aec-b179-1a775de7f2d9,903,1,00:19:24.340,19,24,14,Dribble,37,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,83ab565f-868b-4c32-8211-6b0a07d3de4c,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,38.1,77.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b65ed3e-dc07-4f39-8015-841653958238,904,1,00:19:24.340,19,24,43,Carry,37,217,Barcelona,1,Regular Play,217,Barcelona,0.803719,,32298243-1b54-4f3f-ad5f-2be79fa40343,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,38.1,77.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83ab565f-868b-4c32-8211-6b0a07d3de4c,38.4,77.6,b5023525-59a8-4aec-b179-1a775de7f2d9,,,f6691efe-9a42-4f85-aa0b-b3fbe7662ba0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6691efe-9a42-4f85-aa0b-b3fbe7662ba0,905,1,00:19:25.144,19,25,22,Foul Committed,37,217,Barcelona,1,Regular Play,214,Espanyol,0.0,,32298243-1b54-4f3f-ad5f-2be79fa40343,18407,José Alberto Cañas Ruiz Herrera,9,Right Defensive Midfield,81.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9b65ed3e-dc07-4f39-8015-841653958238,,,e7137746-fc6a-42dc-a89c-c00216ea266b,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32298243-1b54-4f3f-ad5f-2be79fa40343,906,1,00:19:25.144,19,25,21,Foul Won,37,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,f6691efe-9a42-4f85-aa0b-b3fbe7662ba0,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,38.4,77.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7137746-fc6a-42dc-a89c-c00216ea266b,907,1,00:19:25.144,19,25,43,Carry,37,217,Barcelona,1,Regular Play,217,Barcelona,1.478903,,32298243-1b54-4f3f-ad5f-2be79fa40343,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,38.4,77.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950eaff-5df0-45cd-a2ee-9dfd31fe4d64,42.9,77.1,f6691efe-9a42-4f85-aa0b-b3fbe7662ba0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950eaff-5df0-45cd-a2ee-9dfd31fe4d64,908,1,00:19:26.623,19,26,30,Pass,37,217,Barcelona,1,Regular Play,217,Barcelona,0.8923,,967d41e4-1e36-4e06-b15b-004789f81129,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,42.9,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,13.810503,-0.72904766,1.0,Ground Pass,53.2,67.9,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967d41e4-1e36-4e06-b15b-004789f81129,909,1,00:19:27.515,19,27,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,217,Barcelona,,,3950eaff-5df0-45cd-a2ee-9dfd31fe4d64,5246,Luis Alberto Suárez Díaz,23,Center Forward,53.2,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0623e19-d588-4ab9-a5a0-fecf5ebd47fb,910,1,00:19:27.515,19,27,43,Carry,37,217,Barcelona,1,Regular Play,217,Barcelona,0.040000003,,967d41e4-1e36-4e06-b15b-004789f81129,5246,Luis Alberto Suárez Díaz,23,Center Forward,53.2,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6463282-9e53-4a0f-89f4-195574fadb4c,53.2,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6463282-9e53-4a0f-89f4-195574fadb4c,911,1,00:19:27.555,19,27,30,Pass,37,217,Barcelona,1,Regular Play,217,Barcelona,0.808542,,2616791c-dcaf-4eae-864d-0bf40ba85e63,5246,Luis Alberto Suárez Díaz,23,Center Forward,53.2,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,15.700318,3.1352234,1.0,Ground Pass,37.5,68.0,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616791c-dcaf-4eae-864d-0bf40ba85e63,912,1,00:19:28.363,19,28,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,217,Barcelona,,,c6463282-9e53-4a0f-89f4-195574fadb4c,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,37.5,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
