id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,counterpress,clearance,out,foul_committed,interception,foul_won,dribble,duel,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,miscontrol,block,ball_recovery,substitution,bad_behaviour,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,pass_assisted_shot_id,pass_shot_assist,related_events,related_events_2,dribble_outcome_id,dribble_outcome_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,shot_saved_off_target,shot_first_time,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate
8d4eae9b-f02c-4eef-ad86-355e613d557b,2652,2,00:18:44.700,63,44,23,Goal Keeper,132,217,Barcelona,8,From Keeper,215,Athletic Club,0.0,,96bb3805-3368-4e34-810b-fb392b07ef3c,,6576,Gorka Iraizoz Moreno,1,Goalkeeper,2.5,42.1,,,,,,,,,,,,,,45.0,Diving,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b3982af-7e1b-46c6-ade3-afe689060f36,2657,2,00:19:58.036,64,58,30,Pass,134,217,Barcelona,6,From Counter,217,Barcelona,0.8561,,3cf8fbf8-bf0d-4999-ad3a-d0f9489ccacc,,20131,Xavier Hernández Creus,15,Left Center Midfield,56.6,39.9,,,,,True,,,,,,,,,,,,,,,,,,,,,,b8d5423a-d678-4108-815e-d969ddbc78df,5203.0,Sergio Busquets i Burgos,4.788528,2.0718098,2.0,Low Pass,54.3,44.1,40.0,Right Foot,64.0,Interception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3cf8fbf8-bf0d-4999-ad3a-d0f9489ccacc,2658,2,00:19:58.893,64,58,42,Ball Receipt*,134,217,Barcelona,6,From Counter,217,Barcelona,,,9b3982af-7e1b-46c6-ade3-afe689060f36,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,54.3,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c14be43-53fd-4d2c-922a-aca6aae362e4,2659,2,00:19:58.893,64,58,43,Carry,134,217,Barcelona,6,From Counter,217,Barcelona,0.6038,,205eb533-ee87-4661-b265-dfe5d383fe34,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,54.3,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3cf8fbf8-bf0d-4999-ad3a-d0f9489ccacc,,,,,,,,,,,,,,54.1,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205eb533-ee87-4661-b265-dfe5d383fe34,2660,2,00:19:59.496,64,59,30,Pass,134,217,Barcelona,6,From Counter,217,Barcelona,1.5707,,7204c8d6-c29d-441f-8168-c96445fbe967,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,54.1,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,22.337637,-0.19827352,1.0,Ground Pass,76.0,40.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204c8d6-c29d-441f-8168-c96445fbe967,2661,2,00:20:01.067,65,1,42,Ball Receipt*,134,217,Barcelona,6,From Counter,217,Barcelona,,,205eb533-ee87-4661-b265-dfe5d383fe34,,5246,Luis Alberto Suárez Díaz,23,Center Forward,76.0,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca1cdd96-81ea-419e-9dab-438abbd140be,2662,2,00:20:01.067,65,1,43,Carry,134,217,Barcelona,6,From Counter,217,Barcelona,0.6388,,46a5074e-0dda-4fe6-a3ca-1ec0e451bea3,,5246,Luis Alberto Suárez Díaz,23,Center Forward,76.0,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,7204c8d6-c29d-441f-8168-c96445fbe967,,,,,,,,,,,,,,76.6,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46a5074e-0dda-4fe6-a3ca-1ec0e451bea3,2663,2,00:20:01.706,65,1,30,Pass,134,217,Barcelona,6,From Counter,217,Barcelona,1.5644,,f7375169-45a7-4aa8-a701-49286fc857ee,,5246,Luis Alberto Suárez Díaz,23,Center Forward,76.6,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,21.733154,-0.29410112,1.0,Ground Pass,97.4,28.9,38.0,Left Foot,,,,,,4febbd2b-5671-4abd-927d-a40c55a73d22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b97db094-d1a5-406c-810f-59f0ef283e61,2664,2,00:20:02.257,65,2,17,Pressure,134,217,Barcelona,6,From Counter,215,Athletic Club,0.9931,,,,6788,Xabier Etxeita Gorritxategi,3,Right Center Back,23.1,48.6,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7375169-45a7-4aa8-a701-49286fc857ee,2665,2,00:20:03.270,65,3,42,Ball Receipt*,134,217,Barcelona,6,From Counter,217,Barcelona,,,46a5074e-0dda-4fe6-a3ca-1ec0e451bea3,,4320,Neymar da Silva Santos Junior,21,Left Wing,97.4,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
