id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed,foul_won,ball_receipt,out,clearance,counterpress,dribble,duel,50_50,interception,ball_recovery,block,miscontrol,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,related_events,pass_outcome_id,pass_outcome_name,pass_switch,foul_committed_card_id,foul_committed_card_name,interception_outcome_id,interception_outcome_name,dribble_overrun,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events_3,pass_cross,pass_technique_id,pass_technique_name,pass_through_ball,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,clearance_right_foot,player,position
055552c8-4c1d-4e82-902c-8fdfbafb224a,3191,2,00:39:25.415,84,25,2,Ball Recovery,152,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,8.7,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354884a0-4427-4ada-9231-da4852c26a73,3192,2,00:39:25.415,84,25,43,Carry,152,217,Barcelona,1,Regular Play,217,Barcelona,3.5426,,055552c8-4c1d-4e82-902c-8fdfbafb224a,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,8.7,20.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afb771fb-6ef2-4220-9f4b-759105681c09,12.2,5.7,e2e50f25-a485-4bfe-9904-3e67a0436d61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2e50f25-a485-4bfe-9904-3e67a0436d61,3193,2,00:39:26.970,84,26,17,Pressure,152,217,Barcelona,1,Regular Play,221,Levante UD,2.2041,,354884a0-4427-4ada-9231-da4852c26a73,,6691.0,David Remeseiro Salgueiro,16.0,Left Midfield,108.6,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afb771fb-6ef2-4220-9f4b-759105681c09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afb771fb-6ef2-4220-9f4b-759105681c09,3194,2,00:39:28.957,84,28,30,Pass,152,217,Barcelona,1,Regular Play,217,Barcelona,1.881438,,7c67aba2-03ad-45cb-973f-7d6dc5a754ed,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,12.2,5.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,3958.0,Pedro Eliezer Rodríguez Ledesma,35.417088,0.36372766,1.0,Ground Pass,45.3,18.3,38.0,Left Foot,,,,c73e3107-9d82-4253-8c13-533b02e1c99b,,,e2e50f25-a485-4bfe-9904-3e67a0436d61,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c73e3107-9d82-4253-8c13-533b02e1c99b,3195,2,00:39:30.839,84,30,42,Ball Receipt*,152,217,Barcelona,1,Regular Play,217,Barcelona,,,afb771fb-6ef2-4220-9f4b-759105681c09,,3958.0,Pedro Eliezer Rodríguez Ledesma,21.0,Left Wing,45.8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50a0b4d6-d529-4a16-946c-d3744ccc3ccf,3235,2,00:40:33.990,85,33,30,Pass,155,217,Barcelona,4,From Throw In,217,Barcelona,2.174521,,4afa796a-d7ea-4e11-9241-668961bdb0c7,,22102.0,Adriano Correia Claro,6.0,Left Back,42.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,22.480436,2.220525,2.0,Low Pass,28.4,18.0,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4afa796a-d7ea-4e11-9241-668961bdb0c7,3236,2,00:40:36.165,85,36,42,Ball Receipt*,155,217,Barcelona,4,From Throw In,217,Barcelona,,,50a0b4d6-d529-4a16-946c-d3744ccc3ccf,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,28.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c06692d7-c980-4ebf-95b7-674bcf33d538,3237,2,00:40:36.165,85,36,43,Carry,155,217,Barcelona,4,From Throw In,217,Barcelona,2.994679,,4afa796a-d7ea-4e11-9241-668961bdb0c7,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,28.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80dc1c4e-e224-4f43-be8a-b981678f2579,35.8,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80dc1c4e-e224-4f43-be8a-b981678f2579,3238,2,00:40:39.160,85,39,30,Pass,155,217,Barcelona,4,From Throw In,217,Barcelona,1.8442,,3f53ea6b-b87c-49fd-a547-175488b1672f,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,35.8,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,38.075714,1.5077223,1.0,Ground Pass,38.2,54.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f53ea6b-b87c-49fd-a547-175488b1672f,3239,2,00:40:41.004,85,41,42,Ball Receipt*,155,217,Barcelona,4,From Throw In,217,Barcelona,,,80dc1c4e-e224-4f43-be8a-b981678f2579,,7068.0,Marc Bartra Aregall,5.0,Left Center Back,38.2,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
