id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,dribble,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,interception,counterpress,duel,clearance,shot,off_camera,foul_committed,foul_won,miscontrol,out,ball_recovery,substitution,block,injury_stoppage,goalkeeper,dribble_outcome_id,dribble_outcome_name,dribble_overrun,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,related_events_2,pass_through_ball,pass_technique_id,pass_technique_name,pass_type_id,pass_type_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,related_events,pass_cross,interception_outcome_id,interception_outcome_name,related_events_3,clearance_head
110e3184-8960-498b-99c6-a1bbdca2d0c1,3758,2,00:41:24.687,86,24,17,Pressure,204,217,Barcelona,1,Regular Play,215,Athletic Club,1.972602,,ac525573-2bb7-4f9e-ab81-6ecfa7fbcdc9,6649,Óscar de Marcos Arana,2,Right Back,37.5,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee724d4d-ba9c-4efa-9bbb-cd2b4a2c66af,,,,,,,,,,,,,,,,,,,,,ff9cc423-306e-4bba-8b80-99d055552aa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee724d4d-ba9c-4efa-9bbb-cd2b4a2c66af,3759,2,00:41:25.033,86,25,2,Ball Recovery,204,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,110e3184-8960-498b-99c6-a1bbdca2d0c1,5216,Andrés Iniesta Luján,15,Left Center Midfield,83.7,41.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac525573-2bb7-4f9e-ab81-6ecfa7fbcdc9,3760,2,00:41:25.033,86,25,43,Carry,204,217,Barcelona,1,Regular Play,217,Barcelona,1.386508,,110e3184-8960-498b-99c6-a1bbdca2d0c1,5216,Andrés Iniesta Luján,15,Left Center Midfield,83.7,41.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee724d4d-ba9c-4efa-9bbb-cd2b4a2c66af,81.6,42.0,,,,,,,,,,,,,,,,,,,ff9cc423-306e-4bba-8b80-99d055552aa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff9cc423-306e-4bba-8b80-99d055552aa0,3761,2,00:41:26.419,86,26,30,Pass,204,217,Barcelona,1,Regular Play,217,Barcelona,2.067396,,110e3184-8960-498b-99c6-a1bbdca2d0c1,5216,Andrés Iniesta Luján,15,Left Center Midfield,81.6,42.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c766e820-57ac-4d39-85bb-d77d33ae1238,,,6593.0,Martín Montoya Torralbo,23.985205,1.7722802,1.0,Ground Pass,76.8,65.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c766e820-57ac-4d39-85bb-d77d33ae1238,3762,2,00:41:28.487,86,28,42,Ball Receipt*,204,217,Barcelona,1,Regular Play,217,Barcelona,,,ff9cc423-306e-4bba-8b80-99d055552aa0,6593,Martín Montoya Torralbo,2,Right Back,76.8,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba04282d-3d8b-4efc-919b-8ebb557d3f46,3763,2,00:41:28.487,86,28,43,Carry,204,217,Barcelona,1,Regular Play,217,Barcelona,1.389378,,8b9e4c0e-7ed9-4c57-85c6-317237e473de,6593,Martín Montoya Torralbo,2,Right Back,76.8,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c766e820-57ac-4d39-85bb-d77d33ae1238,80.6,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b9e4c0e-7ed9-4c57-85c6-317237e473de,3764,2,00:41:29.876,86,29,30,Pass,204,217,Barcelona,1,Regular Play,217,Barcelona,1.127465,,d4200416-a49a-4686-bc28-ad6719007e72,6593,Martín Montoya Torralbo,2,Right Back,80.6,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,18.709623,-1.5387218,1.0,Ground Pass,81.2,46.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4200416-a49a-4686-bc28-ad6719007e72,3765,2,00:41:31.004,86,31,42,Ball Receipt*,204,217,Barcelona,1,Regular Play,217,Barcelona,,,8b9e4c0e-7ed9-4c57-85c6-317237e473de,5216,Andrés Iniesta Luján,15,Left Center Midfield,81.2,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0c106b0-bf2a-4ac8-a19c-2ba5fdc0525d,3766,2,00:41:31.004,86,31,43,Carry,204,217,Barcelona,1,Regular Play,217,Barcelona,1.011618,,249656d5-801c-4f87-9c5b-9e1c3cd108db,5216,Andrés Iniesta Luján,15,Left Center Midfield,81.2,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4200416-a49a-4686-bc28-ad6719007e72,81.2,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249656d5-801c-4f87-9c5b-9e1c3cd108db,3767,2,00:41:32.015,86,32,30,Pass,204,217,Barcelona,1,Regular Play,217,Barcelona,1.291834,,53022da2-962c-4d3e-addb-2ff986241a4e,5216,Andrés Iniesta Luján,15,Left Center Midfield,81.2,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,15.206906,-1.735945,1.0,Ground Pass,78.7,31.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
