id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,duel,clearance,counterpress,interception,ball_recovery,dribble,out,off_camera,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_won,foul_committed,miscontrol,substitution,block,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,related_events,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,pass_through_ball,shot_end_location_2,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,interception_outcome_id,interception_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,foul_won_advantage,foul_won_defensive,related_events_3,pass_aerial_won,pass_no_touch,block_deflection,foul_committed_advantage,ball_recovery_recovery_failure,pass_cross,pass_cut_back,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_goal_assist
6ef0fd3a-abdd-4e15-9173-90f477513d48,2475,2,00:14:18.342,59,18,23,Goal Keeper,113,217,Barcelona,1,Regular Play,322,Eibar,0.0,,f7a341d2-c419-40ca-b742-99190d9fc53e,27462,Xabier Iruretagoiena Aranzamendi,1,Goalkeeper,5.2,35.4,,,,,,,,,,,,,,55.0,No Touch,26.0,Goal Conceded,42.0,Moving,46.0,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd540fa0-66e7-4aa4-9179-e473e015c5ba,2485,2,00:15:24.814,60,24,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.893793,,6ba7846b-ca41-4926-87dd-c729e84019f0,10609,Jérémy Mathieu,5,Left Center Back,20.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4691.0,Claudio Andrés Bravo Muñoz,21.537178,2.254239,1.0,Ground Pass,6.6,35.4,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9f8a56b-dc0a-477d-820a-0c9eb04ab93e,2486,2,00:15:25.114,60,25,17,Pressure,115,217,Barcelona,1,Regular Play,322,Eibar,1.994405,,6ba7846b-ca41-4926-87dd-c729e84019f0,6699,Ander Capa Rodríguez,22,Right Center Forward,97.6,59.7,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7f96408-6cba-42c1-a0dd-86a7b1ebace1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ba7846b-ca41-4926-87dd-c729e84019f0,2487,2,00:15:26.708,60,26,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,cd540fa0-66e7-4aa4-9179-e473e015c5ba,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,6.6,35.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9f8a56b-dc0a-477d-820a-0c9eb04ab93e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7f96408-6cba-42c1-a0dd-86a7b1ebace1,2488,2,00:15:26.708,60,26,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,0.562772,,6ba7846b-ca41-4926-87dd-c729e84019f0,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,6.6,35.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d87f5ae9-5fee-404b-a37f-1334024d4173,e9f8a56b-dc0a-477d-820a-0c9eb04ab93e,4.2,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d87f5ae9-5fee-404b-a37f-1334024d4173,2489,2,00:15:27.270,60,27,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.061676,,8b7672d8-efc6-4ea7-93da-e9d0e6099ddf,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,4.2,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,22.817757,-1.6102495,1.0,Ground Pass,3.3,12.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b7672d8-efc6-4ea7-93da-e9d0e6099ddf,2490,2,00:15:28.332,60,28,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,d87f5ae9-5fee-404b-a37f-1334024d4173,10609,Jérémy Mathieu,5,Left Center Back,3.3,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dabf0f5-60f4-4e6c-9b58-5e7694279f54,2491,2,00:15:28.332,60,28,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,1.996694,,2a54309f-028f-4e66-847f-8d0a0a3876fe,10609,Jérémy Mathieu,5,Left Center Back,3.3,12.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7943fd04-119f-423c-8926-b8226aee54cf,8b7672d8-efc6-4ea7-93da-e9d0e6099ddf,8.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a54309f-028f-4e66-847f-8d0a0a3876fe,2492,2,00:15:28.963,60,28,17,Pressure,115,217,Barcelona,1,Regular Play,322,Eibar,0.597759,,5dabf0f5-60f4-4e6c-9b58-5e7694279f54,24070,Saúl Berjón Pérez,24,Left Center Forward,113.0,68.7,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7943fd04-119f-423c-8926-b8226aee54cf,2493,2,00:15:30.329,60,30,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.819129,,6f413e70-d463-4ad3-afb5-e12b817c8b05,10609,Jérémy Mathieu,5,Left Center Back,8.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,25.441895,-0.13800602,1.0,Ground Pass,33.2,10.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f413e70-d463-4ad3-afb5-e12b817c8b05,2494,2,00:15:32.148,60,32,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,7943fd04-119f-423c-8926-b8226aee54cf,5216,Andrés Iniesta Luján,15,Left Center Midfield,33.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff9ed8b5-01c9-44ed-8e59-3a951c15e1f3,2495,2,00:15:32.148,60,32,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,5.215136,,6f413e70-d463-4ad3-afb5-e12b817c8b05,5216,Andrés Iniesta Luján,15,Left Center Midfield,33.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c39a614c-327e-4cda-ac69-bea45a8ee07b,,55.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c39a614c-327e-4cda-ac69-bea45a8ee07b,2496,2,00:15:37.363,60,37,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,2.687186,,5b923358-e5c0-447b-87da-b8d5fd72576c,5216,Andrés Iniesta Luján,15,Left Center Midfield,55.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,37.176876,1.1962839,2.0,Low Pass,68.7,58.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
