id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,clearance,counterpress,duel,off_camera,dribble,miscontrol,interception,shot,goalkeeper,block,foul_committed,substitution,foul_won,ball_recovery,related_events_0,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,foul_committed_card_id,foul_committed_card_name,related_events_3,pass_aerial_won,clearance_right_foot,clearance_left_foot,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate
e9a1273f-5eaa-4eb6-afe3-fc2638e84a46,1124,1,00:27:42.006,27,42,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,1.179666,,,5470,Ivan Rakitić,15,Left Center Midfield,80.4,47.2,,,,,,,,,,,,,,,,,,,,ddb28cad-5780-4b0e-bada-2a239d189172,5506.0,Javier Alejandro Mascherano,15.667801,-2.896614,2.0,Low Pass,65.2,43.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45f7d860-994d-424a-acda-e73a15c9e645,1127,1,00:27:47.442,27,47,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,1.0136,,,5506,Javier Alejandro Mascherano,3,Right Center Back,70.4,41.4,,,,,,,,,,,,,,,,,,,,f92d9c4b-f0e5-4d6f-a032-7fc65b855636,20131.0,Xavier Hernández Creus,7.5292764,-0.52903044,1.0,Ground Pass,76.9,37.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b8977d3-072f-4ed9-be29-ad9b785a1957,1130,1,00:27:48.495,27,48,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,1.187336,,,20131,Xavier Hernández Creus,13,Right Center Midfield,77.8,36.9,,,,,,,,,,,,,,,,,,,,44b44824-8d4c-4e7f-a703-a8ab66a231c8,10609.0,Jérémy Mathieu,17.469116,-2.3764346,1.0,Ground Pass,65.2,24.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49e63bdb-68ac-4859-8c88-f4728a243f6b,1133,1,00:27:50.476,27,50,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,0.670242,,,10609,Jérémy Mathieu,5,Left Center Back,65.2,24.8,,,,,,,,,,,,,,,,,,,,49e3fdd4-98f5-44bc-a4f7-6b51b0722e3b,5203.0,Sergio Busquets i Burgos,11.21606,-0.87377495,1.0,Ground Pass,72.4,16.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b00b7da4-ba90-48ed-b6f6-8872daace397,1136,1,00:27:53.849,27,53,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,1.492571,,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,72.4,16.2,,,,,,,,,,,,,,,,,,,,b18041c8-8777-4934-b92b-6fa7e2854b3f,22102.0,Adriano Correia Claro,24.301851,-0.50230235,1.0,Ground Pass,93.7,4.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716b088a-8517-4e9e-97df-4a8384a92700,1139,1,00:27:57.024,27,57,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,0.5526,,,22102,Adriano Correia Claro,6,Left Back,92.9,4.6,,,,,,,,,,,,,,,,,,,,b888d184-4d11-4a1d-90f7-970b13cdc59d,4320.0,Neymar da Silva Santos Junior,14.222517,1.1197267,1.0,Ground Pass,99.1,17.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8356abe3-d4b7-4e85-b226-a84d3a3af54b,1142,1,00:27:57.617,27,57,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,1.3135,,,4320,Neymar da Silva Santos Junior,21,Left Wing,98.8,17.6,,,,,,,,,,,,,,,,,,,,46b2a785-106a-4114-9d55-c3d6b9e95faa,22102.0,Adriano Correia Claro,9.541489,2.5652175,1.0,Ground Pass,90.8,22.8,38.0,Left Foot,e69534f2-0aca-4270-b5fe-2b7c4dbb78ae,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3cbeb806-3b6c-49ca-8c92-016f9e46b972,1152,1,00:28:05.650,28,5,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,1.658,,,20131,Xavier Hernández Creus,13,Right Center Midfield,79.1,26.5,,,,,,,,,,,,,,,,,,,,6d8e5566-e700-49bf-a4bc-689b9554c5b8,6616.0,Munir El Haddadi Mohamed,29.520332,0.2885366,3.0,High Pass,107.4,34.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576f5c2d-c334-49b4-b44b-6998d32f805d,1155,1,00:28:10.522,28,10,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,0.746,,,6616,Munir El Haddadi Mohamed,17,Right Wing,105.9,10.3,,,,,,,,,,,,,,,,,,,,aa92545e-3834-4d17-be10-b2e7e4eed16b,22102.0,Adriano Correia Claro,14.508618,2.1798284,1.0,Ground Pass,97.6,22.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d40a0a5c-5ad2-431d-92e3-f00a619d6f16,1159,1,00:28:12.884,28,12,30,Pass,50,217,Barcelona,1,Regular Play,217,Barcelona,0.7162,,,22102,Adriano Correia Claro,6,Left Back,95.6,22.8,,,,,,,,,,,,,,,,,,,,2c61a11c-3047-4b8c-9ab2-4df98af2a4f2,20131.0,Xavier Hernández Creus,9.5294285,2.0626056,1.0,Ground Pass,91.1,31.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
