id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,clearance,counterpress,dribble,duel,interception,off_camera,out,foul_won,block,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery,foul_committed,miscontrol,50_50,bad_behaviour,substitution,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,foul_won_defensive,player,position
ce199a14-d780-436c-8cfe-fcc1b6fc7676,3336,2,00:43:57.810,88,57,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,0.6879,,38691bb7-c7d0-4d06-9326-97fb196292f0,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,67.8,61.3,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e0214e2-c089-4b9c-bd77-bb813994e85a,931b0c10-e212-4725-9ec3-1f3b08788e92,,,5203.0,Sergio Busquets i Burgos,9.464143,-2.863293,1.0,Ground Pass,58.7,58.7,40.0,Right Foot,,,,,,,,,,,,,,
6a6e8dfe-f9ff-4165-970f-117ffc932024,3339,2,00:43:58.538,88,58,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.92096,,cb7b4991-d300-4509-b28b-9dd5a922a022,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,58.7,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,21.15207,0.8154894,2.0,Low Pass,73.2,74.1,40.0,Right Foot,,,,,,,,,,,,,,
a5642ab5-f865-4264-b3fc-9acf98d3ed61,3343,2,00:44:00.514,89,0,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.3201,,0c75cdf6-b81b-46c7-891c-f611ebc28ce0,4324.0,Daniel Alves da Silva,2.0,Right Back,74.4,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6e2ffab-e670-44a5-b14e-3435e3a3053d,,,,5503.0,Lionel Andrés Messi Cuccittini,14.583552,-1.1316837,2.0,Low Pass,80.6,61.6,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,
7482efff-0cef-479b-8be6-963838e99175,3349,2,00:44:03.610,89,3,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,0.891421,,ef4bb92d-2a17-4331-9740-eccbb87524f7,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,80.6,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,10.536128,-0.7786869,1.0,Ground Pass,88.1,49.0,40.0,Right Foot,,,,,,,,,,,,,,
d69baec4-ea59-432d-9fdc-f22fed1075fe,3352,2,00:44:04.542,89,4,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,0.957182,,16f2da86-2f96-4ee3-8e01-643687681551,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,88.1,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,Rafael Alcântara do Nascimento,6.3560996,-1.9922155,1.0,Ground Pass,85.5,43.2,40.0,Right Foot,,,,,,,,,,,,,,
21f461e5-b2c6-461b-9d9f-9212d20958b4,3356,2,00:44:06.436,89,6,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,3.14789,,d7f53042-5513-4731-abaf-6707db56ed43,6998.0,Rafael Alcântara do Nascimento,13.0,Right Center Midfield,87.4,30.1,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e64cfc3b-a76f-4177-b173-9e7698ae472f,,,,4320.0,Neymar da Silva Santos Junior,30.814608,-0.45348832,1.0,Ground Pass,115.1,16.6,38.0,Left Foot,,,,,,,,,,,,,,
a2a153bd-9b99-4ce6-a7ab-6550a1d856e8,3359,2,00:44:12.869,89,12,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.599038,,8958f77d-dbc2-48b1-b22c-06028b311371,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,113.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6998.0,Rafael Alcântara do Nascimento,21.151833,2.9126678,1.0,Ground Pass,92.4,7.0,40.0,Right Foot,,,,,,,,,,,,,,
0c980176-e3b9-4bdf-80cb-7b40e1d30bb3,3363,2,00:44:16.776,89,16,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.980531,,279748c6-ab3c-4d4a-90ef-348c7446726b,6998.0,Rafael Alcântara do Nascimento,13.0,Right Center Midfield,92.9,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,28.877846,1.9133544,1.0,Ground Pass,83.2,38.3,38.0,Left Foot,,,,,,,,,,,,,,
e907770d-eeea-4f29-bdba-0421d7938503,3367,2,00:44:19.439,89,19,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,2.782264,,7f66a320-9a19-436d-8118-8a4e6b10340a,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,80.9,45.9,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba82045-a0d6-4a73-a241-0d44511eb614,,,,4324.0,Daniel Alves da Silva,30.463093,1.1659045,1.0,Ground Pass,92.9,73.9,40.0,Right Foot,,,,,,,,,,,,,,
7f614fbf-627d-439a-b2b5-d05e8d94d2c4,3370,2,00:44:22.262,89,22,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,2.414387,,8e697e65-a6a7-4741-8e32-e2870a0b11dd,4324.0,Daniel Alves da Silva,2.0,Right Back,94.8,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,45.183735,-2.7294357,3.0,High Pass,53.4,56.7,40.0,Right Foot,,,,,,,,,,,,,,
