id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,clearance,goalkeeper,counterpress,duel,dribble,shot,interception,out,50_50,ball_recovery,foul_committed,foul_won,block,bad_behaviour,substitution,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_switch,related_events,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_deflected,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,block_deflection,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_defensive,foul_won_penalty,location,bad_behaviour_card_id,bad_behaviour_card_name
f0e978a9-9a69-4d32-843c-411d04e5105b,2019,2,00:06:38.141,51,38,30,Pass,138,217,Barcelona,7,From Goal Kick,217,Barcelona,0.8502,,4e1c7b83-77b7-44ec-90e0-593797db6c64,True,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,6.0,36.0,20131.0,Xavier Hernández Creus,23.567139,0.9026822,1.0,Ground Pass,20.6,54.5,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58aad780-e97c-4f48-aaed-c465996e9b3c,2021,2,00:06:38.991,51,38,30,Pass,138,217,Barcelona,7,From Goal Kick,217,Barcelona,2.1884,,eff89156-b046-4790-bd1a-c2409335bd66,,20131,Xavier Hernández Creus,13,Right Center Midfield,20.6,54.5,4691.0,Claudio Andrés Bravo Muñoz,19.524343,-2.385172,1.0,Ground Pass,6.4,41.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0f07e87-3383-41cc-a74f-4baf0d661e66,2025,2,00:06:42.674,51,42,30,Pass,138,217,Barcelona,7,From Goal Kick,217,Barcelona,2.0185,,1f3a73f2-cc35-4a56-9250-f7de4220ec0d,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,10.2,42.3,5216.0,Andrés Iniesta Luján,33.899853,-0.609276,2.0,Low Pass,38.0,22.9,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,dd473c90-9051-4c88-8b5c-f255e434c21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3fac93-7cab-41da-a868-196e9a142ee1,2029,2,00:06:50.375,51,50,30,Pass,138,217,Barcelona,7,From Goal Kick,217,Barcelona,2.4913,,3a0d3df6-4939-43f2-933f-f7f088a9a03f,,5216,Andrés Iniesta Luján,15,Left Center Midfield,42.5,17.8,5246.0,Luis Alberto Suárez Díaz,37.685276,-0.4007106,1.0,Ground Pass,77.2,3.1,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,74586bc2-689d-4d83-b4a2-71e5c8ee3d9c,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371485b8-576e-4cd9-8fc4-43f0ca430a11,2032,2,00:07:03.663,52,3,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,0.9864,,6cd32ddf-44fe-45d4-b748-05f6489abe77,,5211,Jordi Alba Ramos,6,Left Back,73.1,0.1,5246.0,Luis Alberto Suárez Díaz,6.977822,0.4444192,2.0,Low Pass,79.4,3.1,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0aa0768-9901-47b0-9322-f7e9ccca1129,2037,2,00:07:19.803,52,19,30,Pass,140,217,Barcelona,3,From Free Kick,217,Barcelona,2.852433,,5b57ea7e-3036-4552-b2da-0aeac7db7b27,True,5211,Jordi Alba Ramos,6,Left Back,79.4,3.1,20131.0,Xavier Hernández Creus,36.279057,1.6701907,1.0,Ground Pass,75.8,39.2,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7461cde1-49d4-453a-ba07-0ed0244b830d,2039,2,00:07:23.175,52,23,30,Pass,140,217,Barcelona,3,From Free Kick,217,Barcelona,1.4092,,033eea84-54e9-4ddd-850c-ab4ea3620ebd,,20131,Xavier Hernández Creus,13,Right Center Midfield,76.4,41.7,5503.0,Lionel Andrés Messi Cuccittini,17.24094,1.4428443,1.0,Ground Pass,78.6,58.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e63be2a-ab07-4b99-aa88-c51848d2f63c,2043,2,00:07:28.637,52,28,30,Pass,140,217,Barcelona,3,From Free Kick,217,Barcelona,2.8014,,4e1e2014-c6f3-4ed4-abdd-6268a4215c4c,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,84.9,59.4,5213.0,Gerard Piqué Bernabéu,19.358202,-2.8427138,1.0,Ground Pass,66.4,53.7,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,c803d224-6a95-4685-9b76-531a23bf6e39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076d2f1b-75cb-46a3-85db-6a4d5a7109eb,2046,2,00:07:31.438,52,31,30,Pass,140,217,Barcelona,3,From Free Kick,217,Barcelona,2.2935,,a5ed3963-067d-4d35-aac3-08b65e0f4e22,,5213,Gerard Piqué Bernabéu,3,Right Center Back,65.6,54.5,5211.0,Jordi Alba Ramos,42.5,-1.4172525,3.0,High Pass,72.1,12.5,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,d2e7ba56-8782-4781-82ca-fd5a0d062baa,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09010c8e-7cbf-41dc-9f43-5d1e9954fef4,2048,2,00:07:33.732,52,33,30,Pass,140,217,Barcelona,3,From Free Kick,217,Barcelona,1.4125,,bdf5a869-0917-4298-a35f-e8a2bfd4591a,,5211,Jordi Alba Ramos,6,Left Back,72.1,12.7,5216.0,Andrés Iniesta Luján,10.040419,0.9910808,2.0,Low Pass,77.6,21.1,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
