id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,duel,interception,dribble,foul_committed,foul_won,off_camera,clearance,ball_recovery,out,shot,goalkeeper,block,miscontrol,50_50,substitution,bad_behaviour,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,related_events,clearance_body_part_id,clearance_body_part_name,clearance_head,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,related_events_2,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,foul_won_defensive,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_left_foot,dribble_nutmeg,pass_aerial_won,pass_switch,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_3,pass_technique_id,pass_technique_name,pass_through_ball,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id
e32fb4ff-45dd-4136-a6dc-b745962f2f3f,1938,2,00:14:47.284,59,47,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,2.943931,,f303a4a9-8821-4738-9551-57a2f24a8ab2,5470,Ivan Rakitić,13,Right Center Midfield,73.9,43.9,4320.0,Neymar da Silva Santos Junior,46.396767,-0.8067364,3.0,High Pass,106.0,10.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99b404a9-5167-4650-8548-2b11538df38e,1941,2,00:14:53.076,59,53,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,0.579898,,e9857885-3632-41ef-9b80-97ece80d73fb,4320,Neymar da Silva Santos Junior,21,Left Wing,105.0,19.6,5503.0,Lionel Andrés Messi Cuccittini,16.27882,1.3854483,1.0,Ground Pass,108.0,35.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9650125-8592-4d05-bb28-64fac22cba59,1945,2,00:14:59.461,59,59,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,0.412598,,,10609,Jérémy Mathieu,5,Left Center Back,62.9,2.9,,,3.640055,-0.6489956,2.0,Low Pass,65.8,0.7,37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcc98086-02c1-4b8b-b8cf-b38ea99e597b,1962,2,00:15:34.047,60,34,30,Pass,117,217,Barcelona,1,Regular Play,217,Barcelona,1.77297,,b0b17c2a-3885-4895-a144-e26a8190c806,5211,Jordi Alba Ramos,6,Left Back,19.8,7.8,5506.0,Javier Alejandro Mascherano,16.462381,1.1316004,1.0,Ground Pass,26.8,22.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bea74a7-1cde-47da-9f4e-b6e78a60f7e9,1965,2,00:15:41.605,60,41,30,Pass,117,217,Barcelona,1,Regular Play,217,Barcelona,1.775394,,,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,46.8,45.6,,,34.73327,1.3146449,1.0,Ground Pass,55.6,79.2,40.0,Right Foot,,,,,,,,,,,,,,,True,,,,,,,,,,,,74.0,Injury Clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2f45f26-ce77-4df4-9b66-34c1462e19a0,1967,2,00:16:34.640,61,34,30,Pass,119,217,Barcelona,4,From Throw In,217,Barcelona,1.790369,,471292b5-7fe0-4e5d-abaa-46586beef5df,4324,Daniel Alves da Silva,2,Right Back,34.3,80.0,7068.0,Marc Bartra Aregall,18.800266,-2.5034106,2.0,Low Pass,19.2,68.8,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76569c02-8bd7-4c42-9dce-8979636e85ad,1970,2,00:16:40.541,61,40,30,Pass,119,217,Barcelona,4,From Throw In,217,Barcelona,2.067855,,6da95296-088f-4d4e-9453-318a69b69d4a,7068,Marc Bartra Aregall,3,Right Center Back,23.9,58.8,4691.0,Claudio Andrés Bravo Muñoz,23.64445,-2.404062,1.0,Ground Pass,6.4,42.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473e98e8-b179-4b00-b795-31bfc96d95df,1974,2,00:16:43.689,61,43,30,Pass,119,217,Barcelona,4,From Throw In,217,Barcelona,1.464844,,03e44d56-f3c5-4cd9-be48-bf18a58b6bde,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,8.6,42.5,5506.0,Javier Alejandro Mascherano,20.883726,0.25659254,1.0,Ground Pass,28.8,47.8,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,e49017ec-bfb1-4c2e-8fbc-83d4ab8e2aff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3551074f-459e-4b20-b878-d44564405372,1978,2,00:16:45.262,61,45,30,Pass,119,217,Barcelona,4,From Throw In,217,Barcelona,1.816028,,054c6dfe-7835-48a4-ba12-7f33403a0b17,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,26.4,48.2,7068.0,Marc Bartra Aregall,27.664417,1.849096,2.0,Low Pass,18.8,74.8,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,3091f190-57ff-4ec4-8c63-64f5f8eade28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7ebe463-9c7a-4590-bf88-66b491f57c46,1982,2,00:16:48.688,61,48,30,Pass,119,217,Barcelona,4,From Throw In,217,Barcelona,3.2523,,11687a48-7c34-4f02-b730-dcd073d3e0e9,7068,Marc Bartra Aregall,3,Right Center Back,21.9,77.4,5246.0,Luis Alberto Suárez Díaz,62.608387,-0.227158,3.0,High Pass,82.9,63.3,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,14e2302f-f5f4-4d1b-9ecf-22ccb03a7711,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256fa907-bb8a-47c6-841f-15442c30d55c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
