id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed,foul_won,ball_receipt,out,clearance,counterpress,dribble,duel,50_50,interception,ball_recovery,block,miscontrol,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cross,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name
c2e57acc-c21e-483b-b23f-f8588bfe49df,2426,2,00:15:26.158,60,26,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.0104,,ca7205ac-d26d-450d-ae8c-1c5f6f6090d2,,4320,Neymar da Silva Santos Junior,21,Left Wing,86.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,11.438969,1.9561728,1.0,Ground Pass,82.6,16.5,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23bbf400-4f42-4283-8e1a-1abecd933e0f,2430,2,00:15:28.472,60,28,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.6448,,86ce389c-7cb9-4386-a2dd-e9ca209a0300,,20131,Xavier Hernández Creus,15,Left Center Midfield,81.2,12.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,18.530245,1.9934042,2.0,Low Pass,73.6,29.0,,,,d3663fd5-ebd5-4fd6-92df-53f515908f2d,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20e57d15-852b-4106-ba4d-25b9880bce2d,2433,2,00:15:31.035,60,31,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.3562,,644c27b5-0f0a-4ed7-9ee8-1118ac652ee9,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,70.8,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,19.485893,1.1645569,1.0,Ground Pass,78.5,48.1,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42edfd50-ee34-4cc3-b6be-f0947e7cb297,2435,2,00:15:32.392,60,32,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.4617,,19e74518-c2b9-4899-b20a-9c4114b494a5,,5470,Ivan Rakitić,13,Right Center Midfield,78.5,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,11.583178,2.6856668,1.0,Ground Pass,68.1,53.2,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a503df4a-b7fe-4255-8cfe-0f94203b6ae0,2438,2,00:15:35.375,60,35,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.3314,,218b3514-41a4-47a7-8845-0121641be8c1,,7068,Marc Bartra Aregall,5,Left Center Back,68.6,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,23.725513,1.2223854,1.0,Ground Pass,76.7,75.5,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f438c2b1-dc4b-4abc-af57-7ce00dd3461f,2441,2,00:15:37.217,60,37,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,0.7633,,9e8e5639-814e-4161-8453-126735cbc189,,6593,Martín Montoya Torralbo,2,Right Back,76.7,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,7.570997,-0.21293835,1.0,Ground Pass,84.1,73.9,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d78a67e-43c7-4a40-a161-6a17905d0aac,2443,2,00:15:37.980,60,37,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,0.8891,,7c626ef8-ae0b-49e4-89fa-527a1959557a,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,84.2,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,7.5239615,-3.0617626,1.0,Ground Pass,76.7,73.3,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd0838ba-b468-46cc-9312-fc8c8a4c4840,2446,2,00:15:40.956,60,40,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.3571,,3ff5c68d-d59c-48fa-8454-191f2664149f,,6593,Martín Montoya Torralbo,2,Right Back,77.5,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,16.524527,-3.0871012,1.0,Ground Pass,61.0,57.7,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba3eb4cd-469f-40c8-8da3-85e4128cb46b,2449,2,00:15:45.333,60,45,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,0.9617,,8205c173-2fe0-4c2d-b64d-2dd73924da1b,,7068,Marc Bartra Aregall,5,Left Center Back,61.0,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,14.389232,-0.11142468,1.0,Ground Pass,75.3,56.1,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069ad414-89e5-4e02-aeb2-1658e3233a4e,2451,2,00:15:46.294,60,46,30,Pass,111,217,Barcelona,4,From Throw In,217,Barcelona,1.1154,,53d08630-6013-4c39-bc34-c1fb1b802227,,5470,Ivan Rakitić,13,Right Center Midfield,75.3,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.0,Martín Montoya Torralbo,11.186599,2.3056047,1.0,Ground Pass,67.8,64.4,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
