id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,off_camera,under_pressure,dribble,ball_receipt,counterpress,interception,clearance,foul_committed,foul_won,shot,goalkeeper,duel,out,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,related_events,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_committed_advantage,foul_won_advantage,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_cross,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,pass_switch,pass_inswinging,pass_technique_id,pass_technique_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_aerial_won,block_offensive,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging
707d1e95-34ab-4c05-8a9a-efd723f8296f,2368,2,00:13:20.419,58,20,30,Pass,125,217,Barcelona,1,Regular Play,217,Barcelona,0.6337,,4691565f-869d-4d67-88e7-a088a71be236,4324,Daniel Alves da Silva,2,Right Back,49.8,71.6,5203.0,Sergio Busquets i Burgos,9.556673,-1.8030853,1.0,Ground Pass,47.6,62.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e4a564d-ad03-4b9f-9645-9d9d7fd0cc87,2372,2,00:13:22.674,58,22,30,Pass,125,217,Barcelona,1,Regular Play,217,Barcelona,1.6551,,fad14a69-c1b1-45ba-bd21-7384f62dcd1c,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,46.7,60.8,5213.0,Gerard Piqué Bernabéu,8.411897,2.646041,1.0,Ground Pass,39.3,64.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d96a7f3-8159-40da-b09f-655e7ab8477d,2377,2,00:13:24.409,58,24,30,Pass,125,217,Barcelona,1,Regular Play,217,Barcelona,0.8066,,13b1bc49-f601-4313-9342-e5c8ecb18c7c,5213,Gerard Piqué Bernabéu,3,Right Center Back,37.9,65.1,20131.0,Xavier Hernández Creus,20.96974,0.40176094,1.0,Ground Pass,57.2,73.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea39c06d-cd6b-4edb-887d-d6bd2292dd55,2379,2,00:13:25.215,58,25,30,Pass,125,217,Barcelona,1,Regular Play,217,Barcelona,0.9709,,4736e79e-80c7-4ba8-8499-81dc91aa4bc8,20131,Xavier Hernández Creus,13,Right Center Midfield,57.2,73.3,5246.0,Luis Alberto Suárez Díaz,16.800297,-0.6375488,2.0,Low Pass,70.7,63.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64d0dc4f-bbb2-43b6-8445-1de126529aaa,2397,2,00:13:40.957,58,40,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.3332,,fde5d61b-1b22-485e-8f6d-53c4c966faa1,5506,Javier Alejandro Mascherano,5,Left Center Back,55.6,50.9,4320.0,Neymar da Silva Santos Junior,6.685058,-1.1875122,1.0,Ground Pass,58.1,44.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b93224e4-a922-4ff6-9f54-7dbf33d887c9,2400,2,00:13:42.129,58,42,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,1.0728,,4e27a36e-64cc-4d42-8dce-d38af2ee65e6,4320,Neymar da Silva Santos Junior,21,Left Wing,58.1,44.7,5216.0,Andrés Iniesta Luján,12.857682,-1.30318,1.0,Ground Pass,61.5,32.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba8cd98-a701-4314-bf3d-b9fc3de0c98e,2404,2,00:13:46.644,58,46,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.784746,,6ceb793e-3b6c-4f7c-9fbf-e88f25a0fecd,5216,Andrés Iniesta Luján,15,Left Center Midfield,65.8,35.8,5503.0,Lionel Andrés Messi Cuccittini,15.9012575,0.65607905,1.0,Ground Pass,78.4,45.5,40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,a7cd61ce-aafe-4feb-b4cb-344bd48fe5aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378a9bc0-6834-4bb0-8d27-59581fd7eb53,2408,2,00:13:48.803,58,48,30,Pass,127,217,Barcelona,1,Regular Play,217,Barcelona,0.7165,,34cdbcd3-63d9-48db-925e-98978569b1a0,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,87.8,47.2,4320.0,Neymar da Silva Santos Junior,13.7411785,-0.9403949,2.0,Low Pass,95.9,36.1,38.0,Left Foot,,,,,True,,,,,,,,,,,,,,,c3648efc-2737-41c0-97af-dacb2d2e3d0d,,,dcbcc0fb-0bdb-4d4a-ad9e-f67a47c46993,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5246f51-06fc-49d9-a584-c609f53968d7,2417,2,00:14:08.218,59,8,30,Pass,128,217,Barcelona,4,From Throw In,217,Barcelona,0.87773,,12b6e476-86a9-48b5-9f35-590c38a31cdc,10609,Jérémy Mathieu,6,Left Back,76.1,0.1,5216.0,Andrés Iniesta Luján,10.9018345,1.5524497,2.0,Low Pass,76.3,11.0,,,67.0,Throw-in,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0527228-d034-40e5-9d21-96cd63bef185,2419,2,00:14:11.667,59,11,30,Pass,128,217,Barcelona,4,From Throw In,217,Barcelona,2.667883,,ec46a71b-0b61-4a29-a368-bae09508e223,5216,Andrés Iniesta Luján,15,Left Center Midfield,76.1,20.2,4324.0,Daniel Alves da Silva,61.037857,1.0551047,3.0,High Pass,106.2,73.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
e0f31464-5566-476f-9808-cb7c87cb34d1,2423,2,00:14:16.083,59,16,30,Pass,128,217,Barcelona,4,From Throw In,217,Barcelona,0.2636,,1dbd9cdf-c078-43eb-8265-314189381821,4324,Daniel Alves da Silva,2,Right Back,115.3,74.5,,,4.2941823,-2.0552742,2.0,Low Pass,113.3,70.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4b43c4d-9725-4bff-b716-8ebc65a6f443,2426,2,00:15:11.135,60,11,30,Pass,129,217,Barcelona,2,From Corner,217,Barcelona,1.6637,,b6d559f5-ca56-42b3-a32e-c3cb3bb56912,5470,Ivan Rakitić,13,Right Center Midfield,120.0,80.0,,,39.984623,-1.9852116,2.0,Low Pass,103.9,43.4,40.0,Right Foot,61.0,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,Outswinging,,,,,,,,,,,,True
daa6d6e2-b2b3-4dbf-bdab-87d0ab496ecf,2429,2,00:15:18.383,60,18,30,Pass,129,217,Barcelona,2,From Corner,217,Barcelona,1.9741,,32ea9cdb-c8ba-4339-81b2-9e20e8845d10,5216,Andrés Iniesta Luján,15,Left Center Midfield,56.1,77.6,5506.0,Javier Alejandro Mascherano,6.3812222,-2.1327178,1.0,Ground Pass,52.7,72.2,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,534d699d-565b-4643-80b5-8aa0d42a8dd8,,,b6d559f5-ca56-42b3-a32e-c3cb3bb56912,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
