id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,clearance,duel,counterpress,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble,foul_committed,foul_won,off_camera,interception,block,ball_recovery,substitution,50_50,miscontrol,related_events,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_type_id,pass_type_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_switch,pass_through_ball,pass_technique_id,pass_technique_name,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate
92c0c1c7-6c1c-4e2b-8eba-b5f41e036ca6,3534,2,00:34:30.543,79,30,30,Pass,146,217,Barcelona,1,Regular Play,217,Barcelona,1.5178,,2d0cd2d3-07bc-4659-85d0-b858c97cec11,5211,Jordi Alba Ramos,6,Left Back,40.6,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,17.409193,2.3968225,1.0,Ground Pass,27.8,19.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395304bf-d8c4-4af0-a256-d246c605cc3b,3537,2,00:34:33.195,79,33,30,Pass,146,217,Barcelona,1,Regular Play,217,Barcelona,1.327601,,02d5fcb2-0731-402c-846b-1be81d71928e,5506,Javier Alejandro Mascherano,5,Left Center Back,27.8,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,25.739075,1.1505996,1.0,Ground Pass,38.3,45.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05ddf23b-822e-4f9f-9fe3-123a7e7279ed,3540,2,00:34:36.426,79,36,30,Pass,146,217,Barcelona,1,Regular Play,217,Barcelona,1.094599,,43bd2878-598d-42ac-b9f4-f6b9073ae3d5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,44.8,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,26.046497,0.57202953,1.0,Ground Pass,66.7,62.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce2ba5b5-ca6c-4cd8-af17-b5b173ffb2f7,3543,2,00:34:41.377,79,41,30,Pass,146,217,Barcelona,1,Regular Play,217,Barcelona,2.361901,,27f759f4-2510-4fbb-8b30-43ba8b27023a,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,85.2,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,22.095474,0.25156474,1.0,Ground Pass,106.6,65.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a55b7f4-6eb1-4bf7-a84d-822c61a3916f,3546,2,00:34:43.834,79,43,30,Pass,146,217,Barcelona,1,Regular Play,217,Barcelona,2.1014,,edbbdab4-b61e-4680-8662-53b23b600e44,4324,Daniel Alves da Silva,2,Right Back,107.0,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,46.12006,-1.2737321,1.0,Ground Pass,120.5,21.6,40.0,Right Foot,75.0,Out,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db919f84-666a-4a5c-b063-37255d2c3262,3557,2,00:35:25.406,80,25,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.9766,,80b751b7-1134-4ba9-9968-5d49028493a5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,62.3,30.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,5211.0,Jordi Alba Ramos,18.5,-1.5707964,1.0,Ground Pass,62.3,11.5,40.0,Right Foot,,,,,,,,,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8728572d-494e-40bc-92ec-057c15fe3c1c,3559,2,00:35:27.667,80,27,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.014899,,1f978dc3-fdd9-437e-89af-db425632a230,5211,Jordi Alba Ramos,6,Left Back,65.2,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,12.379418,-0.17046072,1.0,Ground Pass,77.4,7.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccedcc84-de44-4898-a90a-12e7c7615582,3562,2,00:35:28.760,80,28,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.0952,,d121c759-30cc-41a7-9d7f-e68d70d8bf58,4320,Neymar da Silva Santos Junior,21,Left Wing,79.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,13.306014,-3.1115265,1.0,Ground Pass,65.8,6.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570b25c7-b750-4b04-ae3e-6ba9a310230b,3565,2,00:35:31.027,80,31,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.7793,,8de2b5e6-9f2f-4ee4-a952-0a5c69a8f95b,5211,Jordi Alba Ramos,6,Left Back,69.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,16.790771,2.1224513,1.0,Ground Pass,60.2,24.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de97a63f-1b47-4dd4-a3df-ab3925866f82,3568,2,00:35:33.406,80,33,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.2195,,d2b5a950-e602-420d-84a3-aa56b548ea35,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,60.8,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,23.5595,1.8992581,1.0,Ground Pass,53.2,47.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51bec0d1-af79-4d2d-8b67-36c6ba7a92de,3571,2,00:35:35.604,80,35,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.2025,,8268e03d-235d-4e55-82eb-c61cf1632443,5213,Gerard Piqué Bernabéu,3,Right Center Back,53.6,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,16.26899,0.7593171,2.0,Low Pass,65.4,60.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abe1d8a1-0c35-4fa7-a582-4c8d5001461f,3574,2,00:35:37.840,80,37,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.6983,,0026633d-b79f-402a-aa5f-9015e5b0142f,20131,Xavier Hernández Creus,15,Left Center Midfield,65.4,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,10.044899,-0.17005862,1.0,Ground Pass,75.3,58.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498351f5-28dd-414c-994e-f7f0fada1b49,3578,2,00:35:38.578,80,38,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.1367,,890095e3-f09f-4cff-8d89-805e65a0a6d9,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,75.9,59.4,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,f3a4ed4c-966e-4153-94ec-12cd6cc6d302,,,4324.0,Daniel Alves da Silva,17.003822,2.142487,1.0,Ground Pass,66.7,73.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06a7705f-49bc-4674-8e98-c3d7d2f7695e,3581,2,00:35:39.755,80,39,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.77,,bb4c681c-4d86-452e-a29c-a5dc70536c65,4324,Daniel Alves da Silva,2,Right Back,66.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,10.210778,-1.8181503,1.0,Ground Pass,64.2,63.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c351b346-7e16-4a16-bf26-a49f0de7634b,3584,2,00:35:40.565,80,40,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.685399,,641e7cc8-df5b-4150-93e8-9ef0e235768b,20131,Xavier Hernández Creus,15,Left Center Midfield,64.2,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,10.02846,1.4105656,1.0,Ground Pass,65.8,73.9,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c89a5c7d-50f8-469d-94a8-a98d5fedfee7,3587,2,00:35:41.290,80,41,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.149601,,f78aa68a-87ca-48ed-a67b-91125752a670,4324,Daniel Alves da Silva,2,Right Back,66.3,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,7.7833157,-1.2165369,1.0,Ground Pass,69.0,66.6,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14bc6b05-fb49-4ee5-8033-5cd0ae0a0226,3596,2,00:35:46.725,80,46,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,1.4425,,00fe0ead-e971-4954-80bc-def5515c041e,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,96.1,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958.0,Pedro Eliezer Rodríguez Ledesma,16.311039,0.116750576,1.0,Ground Pass,112.3,54.6,38.0,Left Foot,,,,,,,,,,,,,,,,,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97ea07a5-8639-44bb-b785-0af4a8d2ca53,3599,2,00:35:48.223,80,48,30,Pass,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.4436,,88b1d7d1-6b8a-4519-afb6-24138d486dc8,3958,Pedro Eliezer Rodríguez Ledesma,23,Center Forward,112.5,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,9.062009,-1.9554011,1.0,Ground Pass,109.1,46.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,4f2d9dae-c29f-4a61-8aad-ed236abd8a79,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
