id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,off_camera,under_pressure,dribble,ball_receipt,counterpress,interception,clearance,foul_committed,foul_won,shot,goalkeeper,duel,out,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events,related_events_4,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate
860def4c-78f0-4f3d-b5a3-62199181b08a,29,1,00:00:22.844,0,22,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.9647,,3efb389a-7f74-4091-b8de-fc8139336791,5506,Javier Alejandro Mascherano,5,Left Center Back,49.1,21.3,4320.0,Neymar da Silva Santos Junior,9.166243,0.12029548,1.0,Ground Pass,58.2,22.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8227287b-2ff3-4b22-815a-45b1460faccc,31,1,00:00:23.809,0,23,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.9805,,d024ddeb-112d-43e2-85ed-533f50c4b7ae,4320,Neymar da Silva Santos Junior,21,Left Wing,59.1,22.1,5506.0,Javier Alejandro Mascherano,11.075197,-2.4456983,1.0,Ground Pass,50.6,15.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d8aec9f-87d2-4dbe-898d-bc6f0bafdc49,34,1,00:00:28.012,0,28,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,3.03,,285a052f-9de7-48c6-8d26-7acc9f3be77f,5506,Javier Alejandro Mascherano,5,Left Center Back,52.0,24.6,4324.0,Daniel Alves da Silva,53.14753,1.3719248,3.0,High Pass,62.5,76.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57bcea73-40b6-4655-bf5a-a0a36d196c3e,37,1,00:00:33.452,0,33,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.2283,,78ea361f-c14d-4139-bbed-3f4803d5a79b,4324,Daniel Alves da Silva,2,Right Back,63.3,76.7,5503.0,Lionel Andrés Messi Cuccittini,23.577955,-0.9663246,1.0,Ground Pass,76.7,57.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c963ea1-e0f5-4ecd-97e7-cb5bf0f9e40c,41,1,00:00:38.806,0,38,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.7469,,8abf6033-b809-4c6f-a87f-465731f0ccc4,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,82.7,65.0,20131.0,Xavier Hernández Creus,5.147815,3.0051901,1.0,Ground Pass,77.6,65.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b4388e4-cbed-42b7-b1e1-75644e69297f,44,1,00:00:41.268,0,41,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.0089,,903f18a4-d45f-4c8f-a742-357a3a750eef,20131,Xavier Hernández Creus,13,Right Center Midfield,77.8,63.3,5216.0,Andrés Iniesta Luján,15.195394,-1.4586856,1.0,Ground Pass,79.5,48.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c6e2759-71b8-4b63-aa22-ee4e2d7cf173,52,1,00:00:43.951,0,43,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.39,,571fc8ec-53d6-489f-bf83-c2c12f4a2a1c,5216,Andrés Iniesta Luján,15,Left Center Midfield,89.0,47.8,5246.0,Luis Alberto Suárez Díaz,7.632169,-0.551655,2.0,Low Pass,95.5,43.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,f454d453-32c7-4db6-a55f-3b7209a74051,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1929e74-0b7f-45f8-9ef7-7ef9c35eb02d,74,1,00:01:06.602,1,6,30,Pass,4,217,Barcelona,1,Regular Play,217,Barcelona,1.0627,,d2029735-f01c-4e00-b5e3-425d52e497d5,4324,Daniel Alves da Silva,2,Right Back,4.2,70.4,20131.0,Xavier Hernández Creus,16.03122,-0.7059199,1.0,Ground Pass,16.4,60.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c9dc31b-c9d8-47cd-b575-549388b8ffd9,76,1,00:01:07.664,1,7,30,Pass,4,217,Barcelona,1,Regular Play,217,Barcelona,1.0659,,d9f24a5b-a258-40a5-b325-e8816e69381b,20131,Xavier Hernández Creus,13,Right Center Midfield,16.8,59.9,5246.0,Luis Alberto Suárez Díaz,17.491713,0.8906983,2.0,Low Pass,27.8,73.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476dc4a-1ce3-4cbb-8b64-1bd457a0a550,80,1,00:01:10.054,1,10,30,Pass,4,217,Barcelona,1,Regular Play,217,Barcelona,1.7522,,8fe34724-bf72-4801-89f9-58b8428fb949,5246,Luis Alberto Suárez Díaz,17,Right Wing,26.4,73.3,4324.0,Daniel Alves da Silva,11.670904,-1.9115148,1.0,Ground Pass,22.5,62.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
