id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,duel,clearance,counterpress,interception,ball_recovery,dribble,out,off_camera,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_won,foul_committed,miscontrol,substitution,block,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_2,carry_end_location_0,carry_end_location_1,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_switch,pass_assisted_shot_id,pass_shot_assist,related_events_3,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_cross,shot_end_location_2,shot_aerial_won,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,related_events_4,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,player,position
65df90e0-cedb-48b6-9338-794573252f11,3065,2,00:29:47.753,74,47,30,Pass,158,217,Barcelona,1,Regular Play,217,Barcelona,1.183111,,468eded7-8637-45e2-a1a8-45a9ba9e1fe0,5211.0,Jordi Alba Ramos,6.0,Left Back,40.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c0a194cc-69b5-4991-a221-57366bac68fc,5216.0,Andrés Iniesta Luján,16.601204,0.3827435,2.0,Low Pass,56.3,22.1,37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8bf4b82-ed42-454e-bce3-14586d8d7607,3072,2,00:29:51.479,74,51,30,Pass,158,217,Barcelona,1,Regular Play,217,Barcelona,1.86986,,8406ba64-e548-4a51-ae23-dc7168090726,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,65.3,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,18.432852,1.329765,1.0,Ground Pass,69.7,59.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32a70f36-fd3f-4a71-bd5d-8049d79c3ce6,3075,2,00:29:56.231,74,56,30,Pass,158,217,Barcelona,1,Regular Play,217,Barcelona,2.028914,,9088f4d5-2ce2-4ee6-8702-6adfa87c1136,20131.0,Xavier Hernández Creus,13.0,Right Center Midfield,89.0,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d70b8a29-0e96-4abd-82b6-4f6c35723f39,5503.0,Lionel Andrés Messi Cuccittini,31.101446,-0.6531471,3.0,High Pass,113.7,36.7,40.0,Right Foot,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b40d3f0b-fc54-4686-bc09-bd8d44c95895,3092,2,00:30:33.038,75,33,30,Pass,160,217,Barcelona,4,From Throw In,217,Barcelona,1.139202,,eadbb100-820b-46cb-837b-3fc890a5ed56,4324.0,Daniel Alves da Silva,2.0,Right Back,31.8,80.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,14.230249,-0.6055447,2.0,Low Pass,43.5,71.9,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcce36a1-6f44-47bc-b70d-29194b44f4a0,3161,2,00:32:47.244,77,47,30,Pass,164,217,Barcelona,1,Regular Play,217,Barcelona,1.034218,,a88781c8-a216-4c7d-aaff-a50866bb1d24,6616.0,Munir El Haddadi Mohamed,21.0,Left Wing,19.8,64.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ad528d-0828-40e7-8fd3-6c0d9255cc38,5213.0,Gerard Piqué Bernabéu,4.368066,-2.863293,1.0,Ground Pass,15.6,63.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2a179f6-4fb0-468a-9b22-54321c1d42e2,3164,2,00:32:49.114,77,49,30,Pass,164,217,Barcelona,1,Regular Play,217,Barcelona,0.745376,,21ae22c2-0277-4220-b816-35b2430a4c31,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,16.5,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,20.22004,0.53448236,1.0,Ground Pass,33.9,74.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5788a805-d468-43c6-873d-1c06200b6431,3169,2,00:32:53.794,77,53,30,Pass,164,217,Barcelona,1,Regular Play,217,Barcelona,0.825608,,d46cc8f0-e91c-4ec7-8aba-eb28ee4831f2,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,31.9,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,9.625487,-1.1536268,1.0,Ground Pass,35.8,52.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ae4bbfc-95f0-4552-9f50-f59aa0f708fd,3176,2,00:32:56.896,77,56,30,Pass,164,217,Barcelona,1,Regular Play,217,Barcelona,1.229311,,35ac3cfc-e320-4dc9-8a1e-e7e095a19eef,20131.0,Xavier Hernández Creus,13.0,Right Center Midfield,41.5,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,9.794386,1.1162809,1.0,Ground Pass,45.8,66.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47e0868a-2012-4466-84f4-a168ade248e6,3179,2,00:32:58.830,77,58,30,Pass,164,217,Barcelona,1,Regular Play,217,Barcelona,2.925583,,886955b6-5756-4142-80a0-f2073fceadad,4324.0,Daniel Alves da Silva,2.0,Right Back,49.1,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,52.08013,-1.308586,3.0,High Pass,62.6,15.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4f81147-dfe9-4146-b2bb-b8c6c0ee67a9,3182,2,00:33:02.729,78,2,30,Pass,164,217,Barcelona,1,Regular Play,217,Barcelona,1.209816,,0c0f1a3d-a5ba-461c-88a2-97f84e3e0256,5211.0,Jordi Alba Ramos,6.0,Left Back,62.6,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508.0,Sandro Ramírez Castillo,20.564533,-0.3525101,1.0,Ground Pass,81.9,8.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
