id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,clearance,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,duel,counterpress,off_camera,ball_receipt,out,interception,dribble,foul_committed,foul_won,block,ball_recovery,50_50,substitution,bad_behaviour,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_type_id,pass_type_name,related_events_2,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events
63255961-0f2b-46b5-89d2-a34cafcb2405,1471,1,00:31:14.623,31,14,30,Pass,58,217,Barcelona,1,Regular Play,217,Barcelona,3.60667,,300e933e-3711-4b89-bfc6-b665b97988d0,5211,Jordi Alba Ramos,6,Left Back,34.6,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4691.0,Claudio Andrés Bravo Muñoz,32.51292,2.6724432,1.0,Ground Pass,5.6,22.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c1f554e-6ab4-450a-9476-519ee95e6b46,1474,1,00:31:18.270,31,18,30,Pass,58,217,Barcelona,1,Regular Play,217,Barcelona,3.4231,,b5001294-9225-45dc-9be4-f88e7abaeabf,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,5.6,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.603558,0.1323221,3.0,High Pass,62.7,29.8,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49502e0c-7025-4305-96c6-1d60dc460751,1476,1,00:31:22.430,31,22,30,Pass,58,217,Barcelona,1,Regular Play,217,Barcelona,2.3678,,98b809aa-5b7b-4bc9-bfd7-0ad8e94c7265,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.8,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,18.248287,0.47835243,2.0,Low Pass,64.0,41.5,37.0,Head,,,,,,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f270e5a9-ec5f-4654-8673-ddfe9e5366b7,1479,1,00:31:24.968,31,24,30,Pass,58,217,Barcelona,1,Regular Play,217,Barcelona,1.183345,,5a0ba9c3-7233-40c5-b22e-174a28390352,5470,Ivan Rakitić,13,Right Center Midfield,64.2,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,17.404596,1.5478119,1.0,Ground Pass,64.6,59.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ef01f81-e045-4ce7-9b2d-e99fc3e22a7e,1482,1,00:31:27.342,31,27,30,Pass,58,217,Barcelona,1,Regular Play,217,Barcelona,2.500311,,e199c133-4b87-4c31-ac87-9df4fa18bc6a,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,64.6,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,27.86862,0.23540542,1.0,Ground Pass,91.7,68.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfe8f917-c6f8-454b-97e0-66060374c667,1485,1,00:31:32.992,31,32,30,Pass,58,217,Barcelona,1,Regular Play,217,Barcelona,1.442139,,b695c3ec-0e95-4413-93a6-91aa5fbfb9e3,5470,Ivan Rakitić,13,Right Center Midfield,106.4,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,13.360015,-0.92879224,1.0,Ground Pass,114.4,55.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1867f2b-fe66-4196-94e7-e7cf17c02b73,1509,1,00:32:21.253,32,21,30,Pass,60,217,Barcelona,3,From Free Kick,217,Barcelona,2.244988,,3f408175-6b26-4d34-a1f4-ab79c6997dc9,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.2,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,23.811342,-1.4740529,1.0,Ground Pass,57.5,14.9,40.0,Right Foot,,,,,,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72ffdbcd-79ae-43c9-a0c4-b28913ee2108,1513,1,00:32:27.648,32,27,30,Pass,60,217,Barcelona,3,From Free Kick,217,Barcelona,0.929566,,1f604513-7c9c-4ce4-b206-5b5ec43b24a9,10609,Jérémy Mathieu,5,Left Center Back,64.2,11.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,8262995d-6f81-4b65-9550-2f149312d246,,,4320.0,Neymar da Silva Santos Junior,8.203658,-0.7681585,1.0,Ground Pass,70.1,5.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d80b5f0-a413-4b7a-901f-bd7375642b93,1516,1,00:32:30.185,32,30,30,Pass,60,217,Barcelona,3,From Free Kick,217,Barcelona,1.109437,,76d67ee2-ad37-478d-8784-a88bd09f221f,4320,Neymar da Silva Santos Junior,21,Left Wing,69.5,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,5.8,2.331809,1.0,Ground Pass,65.5,18.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1cb229e-b737-4819-b66b-0003acfeeb0c,1518,1,00:32:31.294,32,31,30,Pass,60,217,Barcelona,3,From Free Kick,217,Barcelona,3.743042,,20843367-f9a4-428f-a348-5ecf511d6ab1,5216,Andrés Iniesta Luján,15,Left Center Midfield,65.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,46.650295,-0.3386981,3.0,High Pass,109.0,3.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
