id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,clearance,duel,counterpress,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,dribble,foul_committed,foul_won,off_camera,interception,block,ball_recovery,substitution,50_50,miscontrol,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,related_events_3,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events_4,dribble_overrun,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,clearance_right_foot,50_50_outcome_id,50_50_outcome_name
28ee9e6b-f12f-4787-be25-7d82e82d7c2d,3674,2,00:38:22.595,83,22,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.9218,,4b7c5396-b7d4-46d8-983d-e6ebbfd51cbb,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,78.9,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,14.466859,1.2031262,1.0,Ground Pass,84.1,50.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccca5e11-1923-4605-84b2-4ba7fd3d0467,3677,2,00:38:24.881,83,24,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.7442,,4aaa8a87-3601-48b5-8c48-1cbc9e77bd2c,20131.0,Xavier Hernández Creus,15.0,Left Center Midfield,79.9,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,9.980982,2.2283247,1.0,Ground Pass,73.8,59.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035c2e69-6d70-4bd3-a750-c77dd16e5fe9,3680,2,00:38:25.665,83,25,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.7441,,79c763c7-6abd-431d-b884-2d31894f0a1c,4324.0,Daniel Alves da Silva,2.0,Right Back,74.5,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131.0,Xavier Hernández Creus,8.238932,-1.4735432,1.0,Ground Pass,75.3,51.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0964d8a-a8e7-4bb1-bdef-e3228a3d62c3,3683,2,00:38:29.746,83,29,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.1308,,a1619724-c1d5-4ef4-a28a-e071e071604c,20131.0,Xavier Hernández Creus,15.0,Left Center Midfield,73.8,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,32.10296,-1.4333045,1.0,Ground Pass,78.2,10.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f60dad9e-7c6d-469a-b90f-5e6b0f5de0c6,3686,2,00:38:32.082,83,32,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.1616,,74684219-334d-4a7f-be80-24c40706f248,5211.0,Jordi Alba Ramos,6.0,Left Back,77.2,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,16.037767,0.06864199,1.0,Ground Pass,93.2,9.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7047b39-5b03-4f4e-aa42-9292129c69b0,3689,2,00:38:34.521,83,34,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.0076,,fef72ef5-6eda-4416-9969-a9982430c848,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,95.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,10.151847,2.6823504,1.0,Ground Pass,86.4,14.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c113e5f3-8f9c-4b4c-92c4-c2bfe4a3b4db,3692,2,00:38:36.153,83,36,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.1042,,69040fb7-95e6-45a4-a2c2-0a6c0aaaa01c,5211.0,Jordi Alba Ramos,6.0,Left Back,86.4,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,7.566373,1.7033478,1.0,Ground Pass,85.4,22.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7623cd52-d702-470a-9eb7-065acaba9fc3,3695,2,00:38:38.374,83,38,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.9103,,b02c7479-6d72-4e30-99a9-148dda23c32a,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,85.4,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,10.507616,-1.6088731,1.0,Ground Pass,85.0,11.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19118164-218b-4d3f-adb9-e3b226d2442c,3698,2,00:38:39.831,83,39,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.7377,,0b02fffa-1be0-4e84-9f7b-559bca68beb1,5211.0,Jordi Alba Ramos,6.0,Left Back,84.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,11.322544,-0.30499235,1.0,Ground Pass,95.3,6.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5576e514-10f7-4631-be13-814af0e2047b,3708,2,00:38:48.980,83,48,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.658,,9a766628-615b-439f-beb8-c3c752ce3daa,5211.0,Jordi Alba Ramos,6.0,Left Back,97.4,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,19.168985,1.7385179,1.0,Ground Pass,94.2,40.1,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
