id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,off_camera,under_pressure,dribble,ball_receipt,counterpress,interception,clearance,foul_committed,foul_won,shot,goalkeeper,duel,out,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,related_events,pass_aerial_won,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,pass_inswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,pass_cross,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,related_events_3
79c5540b-d155-4d50-97b9-66569627a965,1448,1,00:36:16.532,36,16,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,1.3117,,fef8b8da-2848-495b-b4dc-842923fcf778,20131,Xavier Hernández Creus,13,Right Center Midfield,50.5,71.4,4324.0,Daniel Alves da Silva,20.71835,0.34464732,3.0,High Pass,70.0,78.4,37.0,Head,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcc0e762-8273-47b7-a3bb-166d43381c83,1451,1,00:36:18.339,36,18,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,2.1107,,4515797c-f5ac-4b3f-8b7b-9d0669315cb5,4324,Daniel Alves da Silva,2,Right Back,72.8,77.9,20131.0,Xavier Hernández Creus,9.213577,3.0872982,3.0,High Pass,63.6,78.4,40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,e18c916a-5010-4a7b-bf72-4c66be6acf5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4182fbf-95fd-456e-8dc6-08e9a3ae96fb,1453,1,00:36:20.450,36,20,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,1.5036,,c5ee83ca-6354-47a1-b4e2-2b46a0a7fbba,20131,Xavier Hernández Creus,13,Right Center Midfield,64.5,76.8,4324.0,Daniel Alves da Silva,6.8883963,0.16037545,3.0,High Pass,71.3,77.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8dd0086-ef61-40ed-9fb9-5ebb69be87a7,1457,1,00:36:21.953,36,21,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,1.6407,,23fafef7-a257-4d78-9a7c-8932cbd01743,4324,Daniel Alves da Silva,2,Right Back,72.2,77.5,20131.0,Xavier Hernández Creus,8.0,3.1415927,2.0,Low Pass,64.2,77.5,,,,,,,True,,,,,,,,,,,,,,,ada77ed5-648c-4fbd-ab3c-9122c6ca125b,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c6c2046-0235-4a7c-82e9-39f6fbbdae5b,1460,1,00:36:26.958,36,26,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,1.8475,,53ad2074-e516-41aa-8727-43bff8568ba2,20131,Xavier Hernández Creus,13,Right Center Midfield,62.6,69.0,5506.0,Javier Alejandro Mascherano,26.802984,-2.4831672,1.0,Ground Pass,41.4,52.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ed7646a-6e1e-4b16-9e1f-d78c87ebd84a,1463,1,00:36:30.177,36,30,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,1.635817,,25c4ed40-1f10-4430-b27e-c138097815e1,5506,Javier Alejandro Mascherano,5,Left Center Back,43.8,47.8,5216.0,Andrés Iniesta Luján,39.376137,-0.53867733,1.0,Ground Pass,77.6,27.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84cb8233-2db0-48ba-a5e9-55e473dd1d78,1466,1,00:36:35.961,36,35,30,Pass,79,217,Barcelona,4,From Throw In,217,Barcelona,0.8312,,28e2ab25-a23a-45a3-97bd-b9550088e98d,5216,Andrés Iniesta Luján,15,Left Center Midfield,98.0,23.8,4320.0,Neymar da Silva Santos Junior,8.807384,1.7882338,1.0,Ground Pass,96.1,32.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43c3c7b1-3744-4ed7-a47e-332e8417a6e0,1490,1,00:37:25.969,37,25,30,Pass,82,217,Barcelona,8,From Keeper,217,Barcelona,1.7069,,cc7f4c1a-73f9-4b84-ade3-9274d3945a86,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,10.7,59.3,4324.0,Daniel Alves da Silva,12.1918,0.8550527,1.0,Ground Pass,18.7,68.5,69.0,Keeper Arm,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87ddd26b-c3d2-4dfb-bd80-38cd4975e481,1492,1,00:37:31.038,37,31,30,Pass,82,217,Barcelona,8,From Keeper,217,Barcelona,1.3332,,6853523a-ac32-4a1d-b7de-f6d7105dd6ee,4324,Daniel Alves da Silva,2,Right Back,35.2,65.3,5203.0,Sergio Busquets i Burgos,11.412712,-1.7114543,1.0,Ground Pass,33.6,54.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db9db97a-7a96-4976-9f4e-6b72f687dc0f,1496,1,00:37:33.867,37,33,30,Pass,82,217,Barcelona,8,From Keeper,217,Barcelona,0.8004,,e7bbab26-1ae4-4bea-bec3-767535fd6f0d,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,30.6,57.4,4324.0,Daniel Alves da Silva,8.626702,0.96671796,1.0,Ground Pass,35.5,64.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
