id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,out,clearance,duel,off_camera,dribble,foul_committed,foul_won,interception,shot,goalkeeper,injury_stoppage,substitution,ball_recovery,bad_behaviour,block,pass,pass_body_part_id,pass_body_part_name,related_events_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,related_events_2,carry_end_location_0,carry_end_location_1,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_through_ball,dribble_outcome_id,dribble_outcome_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,pass_switch,foul_won_defensive,player,position,related_events_3,pass_goal_assist,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate
fe08d6d5-17c3-460b-891a-efa21e253a1a,1191,1,00:34:29.929,34,29,30,Pass,60,217,Barcelona,4,From Throw In,218,Real Betis,0.1663,,5a7b3045-e9bb-4933-8033-267c4ffe166f,27347.0,Juan Manuel Vargas Risco,6.0,Left Back,7.9,3.1,,,3.3241541,0.27416745,2.0,Low Pass,11.1,4.0,,,,,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a7b3045-e9bb-4933-8033-267c4ffe166f,1192,1,00:34:30.096,34,30,6,Block,60,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,fe08d6d5-17c3-460b-891a-efa21e253a1a,4324.0,Daniel Alves da Silva,2.0,Right Back,109.0,76.1,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75d9008d-2ef5-4219-8257-2c6459820567,1193,1,00:34:56.963,34,56,40,Injury Stoppage,60,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a744720f-8866-463c-96cd-f71a375b1f5b,1194,1,00:35:00.034,35,0,40,Injury Stoppage,60,217,Barcelona,4,From Throw In,218,Real Betis,0.0,,,27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40c1d8e4-94d2-45da-aff7-effc6933743e,1195,1,00:35:57.448,35,57,19,Substitution,60,217,Barcelona,4,From Throw In,218,Real Betis,0.0,,,27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,27345.0,Didier Digard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5f76cdf-38e2-4f3c-bd27-9205eae01784,1227,1,00:36:58.673,36,58,30,Pass,63,217,Barcelona,4,From Throw In,217,Barcelona,1.4674,,10f83820-49f9-477a-a44c-b83e46f3e306,4324.0,Daniel Alves da Silva,2.0,Right Back,77.2,80.0,5246.0,Luis Alberto Suárez Díaz,17.459095,-1.0225184,2.0,Low Pass,86.3,65.1,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,8ac2425d-0ca4-4dd7-8cb6-dcd8db6e7d7b,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10f83820-49f9-477a-a44c-b83e46f3e306,1228,1,00:37:00.141,37,0,42,Ball Receipt*,63,217,Barcelona,4,From Throw In,217,Barcelona,,,c5f76cdf-38e2-4f3c-bd27-9205eae01784,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,89.9,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170df001-0aa2-42ee-b841-584e8f2363a9,1243,1,00:37:09.566,37,9,2,Ball Recovery,65,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,f0d5f637-908f-4b4f-8f01-a5f3ff935865,10609.0,Jérémy Mathieu,6.0,Left Back,70.7,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086f88db-6f1e-49f8-98c0-d7e6c411f7de,1244,1,00:37:09.566,37,9,43,Carry,65,217,Barcelona,1,Regular Play,217,Barcelona,4.840127,,09713d02-33ea-4adb-acea-4b17cd065f18,10609.0,Jérémy Mathieu,6.0,Left Back,70.7,24.8,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,170df001-0aa2-42ee-b841-584e8f2363a9,,,,,,316f52ae-4062-4033-a4ee-3ca67fde99c7,80.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316f52ae-4062-4033-a4ee-3ca67fde99c7,1245,1,00:37:12.223,37,12,17,Pressure,65,217,Barcelona,1,Regular Play,218,Real Betis,1.118956,,086f88db-6f1e-49f8-98c0-d7e6c411f7de,26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,43.5,68.4,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
