id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,counterpress,dribble,duel,off_camera,out,ball_recovery,interception,shot,goalkeeper,clearance,foul_won,block,foul_committed,miscontrol,substitution,bad_behaviour,related_events_0,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,related_events_4,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,pass_deflected,block_deflection,pass_through_ball,clearance_aerial_won,ball_recovery_recovery_failure,pass_switch,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_cut_back
cbb01e65-5264-4929-9aac-02d47fe489de,20,1,00:00:14.834,0,14,2,Ball Recovery,3,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,6379,Sergi Roberto Carnicer,13,Right Center Midfield,47.7,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d753b98-85f9-40c8-8e14-5323e1650a15,21,1,00:00:14.834,0,14,43,Carry,3,217,Barcelona,1,Regular Play,217,Barcelona,0.688389,,,6379,Sergi Roberto Carnicer,13,Right Center Midfield,47.7,55.1,,,,,,,,,,,,,,,,,,,,,99eaf4da-e4f3-410a-83fb-86764165cabc,cbb01e65-5264-4929-9aac-02d47fe489de,48.2,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99eaf4da-e4f3-410a-83fb-86764165cabc,22,1,00:00:15.523,0,15,30,Pass,3,217,Barcelona,1,Regular Play,217,Barcelona,0.560317,,,6379,Sergi Roberto Carnicer,13,Right Center Midfield,48.2,56.9,,,,,,,,,,,,,,,,,,,,,dc4a7a7d-b16f-4972-96ff-534200a3df4d,,,,5503.0,Lionel Andrés Messi Cuccittini,9.80051,1.0706353,1.0,Ground Pass,52.9,65.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c643490-0d61-4a36-a659-e9122c6b96f9,23,1,00:00:15.996,0,15,17,Pressure,3,217,Barcelona,1,Regular Play,209,Celta Vigo,1.5191,,,6802,Jonathan Castro Otto,6,Left Back,64.7,11.4,,,,,True,,,,,,,,,,,,,,,,011de760-450f-41f8-8a08-78d1d67a6755,dc4a7a7d-b16f-4972-96ff-534200a3df4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc4a7a7d-b16f-4972-96ff-534200a3df4d,24,1,00:00:16.083,0,16,42,Ball Receipt*,3,217,Barcelona,1,Regular Play,217,Barcelona,,,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,52.9,65.5,,True,,,,,,,,,,,,,,,,,,,4c643490-0d61-4a36-a659-e9122c6b96f9,99eaf4da-e4f3-410a-83fb-86764165cabc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011de760-450f-41f8-8a08-78d1d67a6755,25,1,00:00:16.083,0,16,43,Carry,3,217,Barcelona,1,Regular Play,217,Barcelona,1.640789,,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,52.9,65.5,,True,,,,,,,,,,,,,,,,,,,4c643490-0d61-4a36-a659-e9122c6b96f9,6fd7e186-e5d8-4554-a99a-e581c33d97aa,48.4,62.1,,,,,,,,,,,d9b7e977-a314-4392-8738-7f1ffc1470eb,dc4a7a7d-b16f-4972-96ff-534200a3df4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9b7e977-a314-4392-8738-7f1ffc1470eb,26,1,00:00:17.724,0,17,39,Dribbled Past,3,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,,,6802,Jonathan Castro Otto,6,Left Back,72.6,18.9,,,,,True,,,,,,,,,,,,,,,,011de760-450f-41f8-8a08-78d1d67a6755,6fd7e186-e5d8-4554-a99a-e581c33d97aa,,,,,,,,,,,,,9582c63c-33cd-4afb-ab8d-5a939947af25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fd7e186-e5d8-4554-a99a-e581c33d97aa,27,1,00:00:17.724,0,17,14,Dribble,3,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,48.4,62.1,,True,,,,,,,,,,,,,,,,,,,d9b7e977-a314-4392-8738-7f1ffc1470eb,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9582c63c-33cd-4afb-ab8d-5a939947af25,28,1,00:00:17.724,0,17,43,Carry,3,217,Barcelona,1,Regular Play,217,Barcelona,2.221694,,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,48.4,62.1,,True,,,,,,,,,,,,,,,,,,,6fd7e186-e5d8-4554-a99a-e581c33d97aa,a816c531-fcb2-4222-9526-ddf9ea6bf7b1,54.4,64.2,,,,,,,,,,,d9b7e977-a314-4392-8738-7f1ffc1470eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a816c531-fcb2-4222-9526-ddf9ea6bf7b1,29,1,00:00:19.946,0,19,30,Pass,3,217,Barcelona,1,Regular Play,217,Barcelona,3.1492,,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,54.4,64.2,,,,,,,,,,,,,,,,,,,,,e35e7be2-c3e4-4bbe-a1f2-d671f18a363f,ff4491af-97a4-4755-8630-d42b0a7c6576,,,5246.0,Luis Alberto Suárez Díaz,36.211185,0.30865088,1.0,Ground Pass,88.9,75.2,38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
