id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,interception,counterpress,dribble,duel,clearance,foul_won,off_camera,out,foul_committed,ball_recovery,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,bad_behaviour,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_2,related_events,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_3,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_right_foot,pass_cross,foul_won_defensive,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_through_ball,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate
81f7d825-312d-4c0c-89ff-c069e2de3e83,2969,2,00:35:31.163,80,31,43,Carry,157,217,Barcelona,4,From Throw In,217,Barcelona,0.08,,329455cf-a2be-4f56-8f9e-684d194fad86,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,86.6,32.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3911300e-cbe8-47b1-b2ba-1c69138d1a52,85.2,32.8,,,,,,,d27b3539-5ffc-4e7c-aeee-1dd5986eba73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3911300e-cbe8-47b1-b2ba-1c69138d1a52,2970,2,00:35:31.243,80,31,30,Pass,157,217,Barcelona,4,From Throw In,217,Barcelona,0.7192,,d27b3539-5ffc-4e7c-aeee-1dd5986eba73,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,85.2,32.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,6.8883963,-1.805212,1.0,Ground Pass,83.6,26.1,40.0,Right Foot,,,,dcfc916b-442e-4c73-bafd-2f5f109689c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcfc916b-442e-4c73-bafd-2f5f109689c3,2971,2,00:35:31.962,80,31,42,Ball Receipt*,157,217,Barcelona,4,From Throw In,217,Barcelona,,,3911300e-cbe8-47b1-b2ba-1c69138d1a52,4320,Neymar da Silva Santos Junior,21,Left Wing,83.6,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c981025-96b0-47d8-baed-d53d46e5a04c,2972,2,00:35:31.962,80,31,30,Pass,157,217,Barcelona,4,From Throw In,217,Barcelona,0.528852,,11c575b0-b04a-476e-9a96-0890127eb482,4320,Neymar da Silva Santos Junior,21,Left Wing,83.6,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,6.736468,1.6748962,1.0,Ground Pass,82.9,32.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11c575b0-b04a-476e-9a96-0890127eb482,2973,2,00:35:32.491,80,32,42,Ball Receipt*,157,217,Barcelona,4,From Throw In,217,Barcelona,,,1c981025-96b0-47d8-baed-d53d46e5a04c,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.9,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1127b3-5b13-4c17-b2bc-a49f0a225063,2974,2,00:35:32.491,80,32,43,Carry,157,217,Barcelona,4,From Throw In,217,Barcelona,1.384505,,11c575b0-b04a-476e-9a96-0890127eb482,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.9,32.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60e906bf-184d-42ea-a2a2-eed541d3cc10,81.2,33.3,,,,,,,8d675aff-df6c-4947-a501-a3db7feb3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60e906bf-184d-42ea-a2a2-eed541d3cc10,2975,2,00:35:33.875,80,33,22,Foul Committed,157,217,Barcelona,4,From Throw In,214,Espanyol,0.0,,5d1127b3-5b13-4c17-b2bc-a49f0a225063,6758,Víctor Sánchez Mata,15,Left Center Midfield,38.9,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d675aff-df6c-4947-a501-a3db7feb3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d675aff-df6c-4947-a501-a3db7feb3231,2976,2,00:35:33.875,80,33,21,Foul Won,157,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,60e906bf-184d-42ea-a2a2-eed541d3cc10,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,81.2,33.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e470f56-f627-4381-916e-f60d7b123d90,2977,2,00:35:53.640,80,53,30,Pass,158,217,Barcelona,3,From Free Kick,217,Barcelona,0.7345,,b3d5905a-9486-41ac-8d1d-e703e29878fa,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,81.2,33.3,,,,,,,,,,,True,,,,,,,,,,,,,,,,11094.0,Arda Turan,15.116217,-1.9009149,1.0,Ground Pass,76.3,19.0,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3d5905a-9486-41ac-8d1d-e703e29878fa,2978,2,00:35:54.374,80,54,42,Ball Receipt*,158,217,Barcelona,3,From Free Kick,217,Barcelona,,,5e470f56-f627-4381-916e-f60d7b123d90,11094,Arda Turan,13,Right Center Midfield,76.3,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422315ab-8cd4-487c-a62e-c2c1390e14cc,2979,2,00:35:54.374,80,54,30,Pass,158,217,Barcelona,3,From Free Kick,217,Barcelona,1.638133,,b44e9733-af7b-4a10-ad5b-ae06af0f8c6f,11094,Arda Turan,13,Right Center Midfield,77.3,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,19.384789,-0.6940778,1.0,Ground Pass,92.2,5.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b44e9733-af7b-4a10-ad5b-ae06af0f8c6f,2980,2,00:35:56.012,80,56,42,Ball Receipt*,158,217,Barcelona,3,From Free Kick,217,Barcelona,,,422315ab-8cd4-487c-a62e-c2c1390e14cc,10609,Jérémy Mathieu,6,Left Back,92.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6181efce-879b-48df-a491-9d0385f0a4ae,2981,2,00:35:56.012,80,56,43,Carry,158,217,Barcelona,3,From Free Kick,217,Barcelona,1.699767,,930354e6-af2a-4f56-9af9-3d6353558f6a,10609,Jérémy Mathieu,6,Left Back,92.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b44e9733-af7b-4a10-ad5b-ae06af0f8c6f,97.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930354e6-af2a-4f56-9af9-3d6353558f6a,2982,2,00:35:57.712,80,57,30,Pass,158,217,Barcelona,3,From Free Kick,217,Barcelona,0.9568,,fbf65ded-e294-4ad7-b68d-e0823f68838c,10609,Jérémy Mathieu,6,Left Back,97.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,8.070935,2.1622353,1.0,Ground Pass,93.1,12.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbf65ded-e294-4ad7-b68d-e0823f68838c,2983,2,00:35:58.669,80,58,42,Ball Receipt*,158,217,Barcelona,3,From Free Kick,217,Barcelona,,,930354e6-af2a-4f56-9af9-3d6353558f6a,11094,Arda Turan,13,Right Center Midfield,93.1,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06796172-2723-46e8-8b88-877adf8d0bc7,2984,2,00:35:58.669,80,58,43,Carry,158,217,Barcelona,3,From Free Kick,217,Barcelona,2.3905,,88da31ed-e574-4cd9-8a8f-17a7cc0459d9,11094,Arda Turan,13,Right Center Midfield,93.1,12.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6305805-42b1-4ddd-aaee-ee87ef087544,112.1,8.3,,,,,,,fbf65ded-e294-4ad7-b68d-e0823f68838c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88da31ed-e574-4cd9-8a8f-17a7cc0459d9,2985,2,00:35:59.976,80,59,17,Pressure,158,217,Barcelona,3,From Free Kick,214,Espanyol,1.222,,06796172-2723-46e8-8b88-877adf8d0bc7,23974,Roberto Antonio Correa Silva,17,Right Wing,15.3,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6305805-42b1-4ddd-aaee-ee87ef087544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6305805-42b1-4ddd-aaee-ee87ef087544,2986,2,00:36:01.059,81,1,30,Pass,158,217,Barcelona,3,From Free Kick,217,Barcelona,1.3175,,794710dd-dc1e-4952-a6b3-b731a6dc9643,11094,Arda Turan,13,Right Center Midfield,112.1,8.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,12.461942,-2.840144,1.0,Ground Pass,100.2,4.6,40.0,Right Foot,,,,88da31ed-e574-4cd9-8a8f-17a7cc0459d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794710dd-dc1e-4952-a6b3-b731a6dc9643,2987,2,00:36:02.377,81,2,42,Ball Receipt*,158,217,Barcelona,3,From Free Kick,217,Barcelona,,,d6305805-42b1-4ddd-aaee-ee87ef087544,10609,Jérémy Mathieu,6,Left Back,100.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a7af199-b3db-4282-916f-77ed9ee6c9d8,2988,2,00:36:02.377,81,2,43,Carry,158,217,Barcelona,3,From Free Kick,217,Barcelona,0.6139,,794710dd-dc1e-4952-a6b3-b731a6dc9643,10609,Jérémy Mathieu,6,Left Back,100.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e81754c-57b1-44b6-a204-10e943a8a115,99.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e81754c-57b1-44b6-a204-10e943a8a115,2989,2,00:36:02.991,81,2,30,Pass,158,217,Barcelona,3,From Free Kick,217,Barcelona,0.972918,,0db91946-f3c8-4aed-9676-89eae0bc19c1,10609,Jérémy Mathieu,6,Left Back,99.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,11.925183,1.8686787,1.0,Ground Pass,96.4,16.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0db91946-f3c8-4aed-9676-89eae0bc19c1,2990,2,00:36:03.964,81,3,42,Ball Receipt*,158,217,Barcelona,3,From Free Kick,217,Barcelona,,,9e81754c-57b1-44b6-a204-10e943a8a115,4320,Neymar da Silva Santos Junior,21,Left Wing,96.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ee3b740-a3f1-4c82-a8b6-bcf64ae0ef66,2991,2,00:36:03.964,81,3,43,Carry,158,217,Barcelona,3,From Free Kick,217,Barcelona,0.331382,,0db91946-f3c8-4aed-9676-89eae0bc19c1,4320,Neymar da Silva Santos Junior,21,Left Wing,96.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d267f13-b8cc-4d2c-9de4-4a6d6b7910c0,96.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d267f13-b8cc-4d2c-9de4-4a6d6b7910c0,2992,2,00:36:04.295,81,4,30,Pass,158,217,Barcelona,3,From Free Kick,217,Barcelona,1.5861,,03e23887-6541-4f35-b37e-483c31952800,4320,Neymar da Silva Santos Junior,21,Left Wing,96.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,9.881295,2.1981046,1.0,Ground Pass,90.6,24.0,40.0,Right Foot,,,,,,,,,,,,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03e23887-6541-4f35-b37e-483c31952800,2993,2,00:36:05.881,81,5,42,Ball Receipt*,158,217,Barcelona,3,From Free Kick,217,Barcelona,,,5d267f13-b8cc-4d2c-9de4-4a6d6b7910c0,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,89.6,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
