id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,miscontrol,counterpress,interception,clearance,dribble,foul_committed,foul_won,out,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,ball_recovery,block,substitution,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_2,carry_end_location_0,carry_end_location_1,pass_technique_id,pass_technique_name,pass_through_ball,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate
11a0a8ab-ee1a-4e04-aed7-694787440cad,3240,2,00:37:49.738,82,49,43,Carry,155,217,Barcelona,1,Regular Play,217,Barcelona,1.7561,,043243ff-dee9-465e-ac49-7b2d1b13e89b,4320,Neymar da Silva Santos Junior,21,Left Wing,49.6,4.3,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf5013ee-027b-4a6e-8f36-6a5dee581549,,,,,,,,,,,,,efdc7feb-b94d-44a5-9f4e-4e638c30e626,46.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043243ff-dee9-465e-ac49-7b2d1b13e89b,3241,2,00:37:50.730,82,50,17,Pressure,155,217,Barcelona,1,Regular Play,209,Celta Vigo,0.207461,,11a0a8ab-ee1a-4e04-aed7-694787440cad,6805,Hugo Mallo Novegil,2,Right Back,70.3,69.9,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efdc7feb-b94d-44a5-9f4e-4e638c30e626,3242,2,00:37:51.495,82,51,30,Pass,155,217,Barcelona,1,Regular Play,217,Barcelona,1.5428,,610f08f5-1c58-4a4c-bab3-6a0e93b46db2,4320,Neymar da Silva Santos Junior,21,Left Wing,46.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,20.298029,1.3724346,1.0,Ground Pass,50.4,29.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610f08f5-1c58-4a4c-bab3-6a0e93b46db2,3243,2,00:37:53.037,82,53,42,Ball Receipt*,155,217,Barcelona,1,Regular Play,217,Barcelona,,,efdc7feb-b94d-44a5-9f4e-4e638c30e626,5470,Ivan Rakitić,13,Right Center Midfield,50.4,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4df07350-8a7e-40c1-912b-8f5ebd82c8f5,3244,2,00:37:53.037,82,53,43,Carry,155,217,Barcelona,1,Regular Play,217,Barcelona,1.5105,,2bc07c03-4ff9-4ea2-a140-14e69466590d,5470,Ivan Rakitić,13,Right Center Midfield,50.4,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610f08f5-1c58-4a4c-bab3-6a0e93b46db2,,,,,,,,,,,,,,61.2,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bc07c03-4ff9-4ea2-a140-14e69466590d,3245,2,00:37:54.548,82,54,30,Pass,155,217,Barcelona,1,Regular Play,217,Barcelona,0.7536,,60ce5601-bf9f-42af-a433-c5fdfe8705db,5470,Ivan Rakitić,13,Right Center Midfield,61.2,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,4.6141086,2.6197584,1.0,Ground Pass,57.2,44.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60ce5601-bf9f-42af-a433-c5fdfe8705db,3246,2,00:37:55.301,82,55,42,Ball Receipt*,155,217,Barcelona,1,Regular Play,217,Barcelona,,,2bc07c03-4ff9-4ea2-a140-14e69466590d,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,57.2,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79ce2d7a-045f-4fea-8791-d6627cae54a9,3247,2,00:37:55.301,82,55,43,Carry,155,217,Barcelona,1,Regular Play,217,Barcelona,1.1661,,60ce5601-bf9f-42af-a433-c5fdfe8705db,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,57.2,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64b8ce4d-f662-463c-89a6-0390cccca473,,,,,,,,,,,,,,63.3,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64b8ce4d-f662-463c-89a6-0390cccca473,3248,2,00:37:56.468,82,56,30,Pass,155,217,Barcelona,1,Regular Play,217,Barcelona,1.306848,,68aa456b-2eae-4532-9124-a844da132e10,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,63.3,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724f6ee1-75e9-4b99-8cc2-440c211f89b2,4320.0,Neymar da Silva Santos Junior,22.14159,0.113150984,3.0,High Pass,85.3,39.0,38.0,Left Foot,,,,,,108.0,Through Ball,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68aa456b-2eae-4532-9124-a844da132e10,3249,2,00:37:57.774,82,57,42,Ball Receipt*,155,217,Barcelona,1,Regular Play,217,Barcelona,,,64b8ce4d-f662-463c-89a6-0390cccca473,4320,Neymar da Silva Santos Junior,21,Left Wing,82.2,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
