id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,counterpress,duel,ball_receipt,block,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble,clearance,shot,interception,foul_won,off_camera,ball_recovery,foul_committed,50_50,substitution,bad_behaviour,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,player,position
3479675a-aca8-443a-8f86-5fcb0b1f5086,3067,2,00:42:39.693,87,39,2,Ball Recovery,154,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,117.7,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d9024f0-18e4-41ba-a372-f0a32bdbfb52,3068,2,00:42:39.693,87,39,43,Carry,154,217,Barcelona,1,Regular Play,217,Barcelona,1.449076,,3479675a-aca8-443a-8f86-5fcb0b1f5086,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,117.7,65.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a4a6257-255d-41fe-bb56-de46d05e50fd,864017e1-c22a-47ca-adb7-308f4285c1c7,114.5,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a4a6257-255d-41fe-bb56-de46d05e50fd,3069,2,00:42:40.207,87,40,17,Pressure,154,217,Barcelona,1,Regular Play,1049,Granada,1.271,,1d9024f0-18e4-41ba-a372-f0a32bdbfb52,6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,2.4,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864017e1-c22a-47ca-adb7-308f4285c1c7,d3acb2f5-3c50-41b6-8690-ed0ee7e4ab0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528c8626-e083-4219-8229-271065b38048,3070,2,00:42:41.142,87,41,39,Dribbled Past,154,217,Barcelona,1,Regular Play,1049,Granada,0.0,,864017e1-c22a-47ca-adb7-308f4285c1c7,6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,5.6,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3acb2f5-3c50-41b6-8690-ed0ee7e4ab0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864017e1-c22a-47ca-adb7-308f4285c1c7,3071,2,00:42:41.142,87,41,14,Dribble,154,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,3a4a6257-255d-41fe-bb56-de46d05e50fd,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,114.5,64.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528c8626-e083-4219-8229-271065b38048,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3acb2f5-3c50-41b6-8690-ed0ee7e4ab0c,3072,2,00:42:41.142,87,41,43,Carry,154,217,Barcelona,1,Regular Play,217,Barcelona,1.841079,,3a4a6257-255d-41fe-bb56-de46d05e50fd,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,114.5,64.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528c8626-e083-4219-8229-271065b38048,864017e1-c22a-47ca-adb7-308f4285c1c7,112.8,60.2,,,8dd3de9b-cd86-408a-a416-30747635e535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dd3de9b-cd86-408a-a416-30747635e535,3073,2,00:42:42.983,87,42,30,Pass,154,217,Barcelona,1,Regular Play,217,Barcelona,3.268087,,3858c740-f194-4357-8a27-8b3022a9d6cf,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,112.8,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.65297,-1.6212343,3.0,High Pass,110.7,18.6,38.0,Left Foot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,9.0,Incomplete,,,,,,,,
3858c740-f194-4357-8a27-8b3022a9d6cf,3074,2,00:42:46.251,87,46,2,Ball Recovery,154,217,Barcelona,1,Regular Play,1049,Granada,0.0,,8dd3de9b-cd86-408a-a416-30747635e535,20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,9.4,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81bbdee-af64-44ca-b832-7a00afa66744,3075,2,00:42:46.251,87,46,43,Carry,154,217,Barcelona,1,Regular Play,1049,Granada,1.480454,,2b972a2b-9e9f-4e4c-ad44-b50ec7721afd,20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,9.4,61.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3858c740-f194-4357-8a27-8b3022a9d6cf,8fe31bcb-d536-4812-afa7-b547bcb91efd,10.2,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fe31bcb-d536-4812-afa7-b547bcb91efd,3076,2,00:42:47.732,87,47,39,Dribbled Past,154,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,2b972a2b-9e9f-4e4c-ad44-b50ec7721afd,5211.0,Jordi Alba Ramos,6.0,Left Back,109.9,14.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92195bab-4e2a-40f3-b431-78b6bd3b4320,e81bbdee-af64-44ca-b832-7a00afa66744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
