id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,dribble,duel,clearance,counterpress,out,ball_recovery,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,foul_committed,foul_won,substitution,interception,block,miscontrol,bad_behaviour,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,related_events_2,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_left_foot,pass_cross,pass_switch,related_events_3,related_events_4,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate
52c96f5d-2b97-49e7-8288-d54ca7baaca6,2694,2,00:22:31.825,67,31,9,Clearance,105,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,,23dc98d9-28e1-4d50-84cd-1dab1db173f3,6788,Xabier Etxeita Gorritxategi,3,Right Center Back,22.8,48.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6331e723-67cd-4d98-88d5-b4e3c3a14247,2695,2,00:22:36.717,67,36,30,Pass,105,217,Barcelona,1,Regular Play,217,Barcelona,1.487761,,4246a7af-04ad-41e9-9278-7c5931999864,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,43.5,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,8.987213,0.6034335,1.0,Ground Pass,50.9,47.2,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4246a7af-04ad-41e9-9278-7c5931999864,2696,2,00:22:38.204,67,38,42,Ball Receipt*,105,217,Barcelona,1,Regular Play,217,Barcelona,,,6331e723-67cd-4d98-88d5-b4e3c3a14247,5213,Gerard Piqué Bernabéu,3,Right Center Back,50.9,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca62cd4b-6aa8-4557-a815-c6b17cfa38a6,2697,2,00:22:38.204,67,38,43,Carry,105,217,Barcelona,1,Regular Play,217,Barcelona,0.762818,,4246a7af-04ad-41e9-9278-7c5931999864,5213,Gerard Piqué Bernabéu,3,Right Center Back,50.9,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6156b8de-4ff0-4771-af3b-7601836b011c,50.9,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6156b8de-4ff0-4771-af3b-7601836b011c,2698,2,00:22:38.967,67,38,30,Pass,105,217,Barcelona,1,Regular Play,217,Barcelona,1.302246,,589423c9-94d5-4958-a26b-bd3f0bd0bfeb,5213,Gerard Piqué Bernabéu,3,Right Center Back,50.9,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,18.804255,-0.90602183,1.0,Ground Pass,62.5,32.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16ced187-3294-414d-8836-89c159019f99,2699,2,00:22:39.860,67,39,17,Pressure,105,217,Barcelona,1,Regular Play,215,Athletic Club,0.392327,,,6388,Ander Iturraspe Derteano,11,Left Defensive Midfield,53.4,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589423c9-94d5-4958-a26b-bd3f0bd0bfeb,2700,2,00:22:40.270,67,40,42,Ball Receipt*,105,217,Barcelona,1,Regular Play,217,Barcelona,,,6156b8de-4ff0-4771-af3b-7601836b011c,5216,Andrés Iniesta Luján,15,Left Center Midfield,62.5,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2b3d0e3-fe4d-44e2-9db9-9c5325f4de6a,2701,2,00:22:40.270,67,40,43,Carry,105,217,Barcelona,1,Regular Play,217,Barcelona,0.066972,,2e8dd20a-3025-44b3-9432-53f073daed3e,5216,Andrés Iniesta Luján,15,Left Center Midfield,62.5,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589423c9-94d5-4958-a26b-bd3f0bd0bfeb,63.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e8dd20a-3025-44b3-9432-53f073daed3e,2702,2,00:22:40.337,67,40,30,Pass,105,217,Barcelona,1,Regular Play,217,Barcelona,1.545514,,459f9842-2edf-4ea0-9d37-8aefc6a37a9f,5216,Andrés Iniesta Luján,15,Left Center Midfield,63.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,18.042173,2.1188202,1.0,Ground Pass,53.6,47.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459f9842-2edf-4ea0-9d37-8aefc6a37a9f,2703,2,00:22:41.882,67,41,42,Ball Receipt*,105,217,Barcelona,1,Regular Play,217,Barcelona,,,2e8dd20a-3025-44b3-9432-53f073daed3e,5213,Gerard Piqué Bernabéu,3,Right Center Back,53.6,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
