id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,out,foul_won,off_camera,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble,block,foul_committed,ball_recovery,substitution,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events,related_events_2,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_left_foot,related_events_3,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,player,position,location
fea1f713-64bb-41a7-88a6-e8668676125c,3488,2,00:37:07.574,82,7,42,Ball Receipt*,144,217,Barcelona,8,From Keeper,217,Barcelona,,,9402f05d-46a6-4209-bd78-5b437d3a5daa,7068.0,Marc Bartra Aregall,3.0,Right Center Back,25.6,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2a5f9c-a9cd-417c-8f45-b2c5b068ef85,3489,2,00:37:07.574,82,7,43,Carry,144,217,Barcelona,8,From Keeper,217,Barcelona,0.785744,,fc8bf385-7ab7-480f-bfb1-f2379233025a,7068.0,Marc Bartra Aregall,3.0,Right Center Back,25.6,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fea1f713-64bb-41a7-88a6-e8668676125c,25.6,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc8bf385-7ab7-480f-bfb1-f2379233025a,3490,2,00:37:08.360,82,8,30,Pass,144,217,Barcelona,8,From Keeper,217,Barcelona,1.3064,,52a185c7-097d-46bc-b0c2-dece4d2825ab,7068.0,Marc Bartra Aregall,3.0,Right Center Back,25.6,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,18.474306,1.128937,1.0,Ground Pass,33.5,68.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52a185c7-097d-46bc-b0c2-dece4d2825ab,3491,2,00:37:09.666,82,9,42,Ball Receipt*,144,217,Barcelona,8,From Keeper,217,Barcelona,,,fc8bf385-7ab7-480f-bfb1-f2379233025a,4324.0,Daniel Alves da Silva,2.0,Right Back,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05eb1028-dcad-4c6c-bc91-7993cce1d603,3492,2,00:37:09.666,82,9,30,Pass,144,217,Barcelona,8,From Keeper,217,Barcelona,2.559125,,6a866514-1781-4c7e-860f-f825ac3d7466,4324.0,Daniel Alves da Silva,2.0,Right Back,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,13.701095,-0.98279375,1.0,Ground Pass,41.1,57.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a866514-1781-4c7e-860f-f825ac3d7466,3493,2,00:37:12.225,82,12,42,Ball Receipt*,144,217,Barcelona,8,From Keeper,217,Barcelona,,,05eb1028-dcad-4c6c-bc91-7993cce1d603,5470.0,Ivan Rakitić,13.0,Right Center Midfield,41.1,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a470f433-fbba-47af-ae73-7653625ab78d,3494,2,00:37:12.225,82,12,43,Carry,144,217,Barcelona,8,From Keeper,217,Barcelona,0.437075,,31d979fd-57d6-4512-87fc-3031a0de6bdd,5470.0,Ivan Rakitić,13.0,Right Center Midfield,41.1,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6a866514-1781-4c7e-860f-f825ac3d7466,41.1,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31d979fd-57d6-4512-87fc-3031a0de6bdd,3495,2,00:37:12.662,82,12,30,Pass,144,217,Barcelona,8,From Keeper,217,Barcelona,1.2328,,25613921-1118-48f6-b5e3-c91abf502319,5470.0,Ivan Rakitić,13.0,Right Center Midfield,41.1,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379.0,Sergi Roberto Carnicer,14.220057,-0.93010813,1.0,Ground Pass,49.6,46.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25613921-1118-48f6-b5e3-c91abf502319,3496,2,00:37:13.895,82,13,42,Ball Receipt*,144,217,Barcelona,8,From Keeper,217,Barcelona,,,31d979fd-57d6-4512-87fc-3031a0de6bdd,6379.0,Sergi Roberto Carnicer,10.0,Center Defensive Midfield,49.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349d103b-6740-4398-8dbe-45a56b7c8395,3497,2,00:37:13.895,82,13,43,Carry,144,217,Barcelona,8,From Keeper,217,Barcelona,0.6507,,25613921-1118-48f6-b5e3-c91abf502319,6379.0,Sergi Roberto Carnicer,10.0,Center Defensive Midfield,49.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f76c4309-33ac-4bc4-8a7e-2c0475348b1d,49.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
