id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,off_camera,duel,ball_receipt,clearance,interception,counterpress,dribble,foul_committed,shot,goalkeeper,out,block,miscontrol,foul_won,50_50,ball_recovery,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_no_touch,dribble_overrun,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,related_events,pass_cross,clearance_left_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,clearance_head,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_deflected,block_deflection,shot_open_goal,shot_end_location_2
74348754-b320-4d57-adda-a42a7758450c,15,1,00:00:06.903,0,6,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.8769,,82c9115d-a6fa-4a31-8bed-871e69cbe715,5211,Jordi Alba Ramos,6,Left Back,47.2,6.4,5506.0,Javier Alejandro Mascherano,27.064737,2.4189394,1.0,Ground Pass,26.9,24.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82c9115d-a6fa-4a31-8bed-871e69cbe715,16,1,00:00:08.780,0,8,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,74348754-b320-4d57-adda-a42a7758450c,5506,Javier Alejandro Mascherano,5,Left Center Back,26.9,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58652262-d374-41ff-a3e4-27f1d944db9f,17,1,00:00:08.780,0,8,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.7441,,82c9115d-a6fa-4a31-8bed-871e69cbe715,5506,Javier Alejandro Mascherano,5,Left Center Back,26.9,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e20de2d5-d1e0-4adb-9393-1e5d45a20125,26.9,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e20de2d5-d1e0-4adb-9393-1e5d45a20125,18,1,00:00:09.524,0,9,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.900187,,4a3be9c5-6082-4124-94ec-b4d3ce85f7e2,5506,Javier Alejandro Mascherano,5,Left Center Back,26.9,24.3,5213.0,Gerard Piqué Bernabéu,30.700651,1.5773109,1.0,Ground Pass,26.7,55.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a3be9c5-6082-4124-94ec-b4d3ce85f7e2,19,1,00:00:11.424,0,11,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,e20de2d5-d1e0-4adb-9393-1e5d45a20125,5213,Gerard Piqué Bernabéu,3,Right Center Back,26.7,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882fbc8a-249e-4dda-95a9-72cae1d64c6b,20,1,00:00:11.424,0,11,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.297213,,4a3be9c5-6082-4124-94ec-b4d3ce85f7e2,5213,Gerard Piqué Bernabéu,3,Right Center Back,26.7,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d639cba8-bfda-46fa-8009-d78718ee035b,28.1,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d639cba8-bfda-46fa-8009-d78718ee035b,21,1,00:00:13.721,0,13,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.2972,,85586cf3-bb55-48ee-a7f1-df4923f9d414,5213,Gerard Piqué Bernabéu,3,Right Center Back,28.1,54.8,5506.0,Javier Alejandro Mascherano,30.316498,-1.6037877,1.0,Ground Pass,27.1,24.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85586cf3-bb55-48ee-a7f1-df4923f9d414,22,1,00:00:16.019,0,16,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,d639cba8-bfda-46fa-8009-d78718ee035b,5506,Javier Alejandro Mascherano,5,Left Center Back,27.1,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044508f-b8d7-4ed4-98ee-f97cf1814759,23,1,00:00:16.019,0,16,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.8723,,9111e1c0-80af-4582-bfc7-9f90d2ab0c29,5506,Javier Alejandro Mascherano,5,Left Center Back,27.1,24.5,5211.0,Jordi Alba Ramos,26.100767,-0.63583845,1.0,Ground Pass,48.1,9.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9111e1c0-80af-4582-bfc7-9f90d2ab0c29,24,1,00:00:17.891,0,17,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,3044508f-b8d7-4ed4-98ee-f97cf1814759,5211,Jordi Alba Ramos,6,Left Back,48.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
