id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,interception,dribble,duel,counterpress,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance,miscontrol,out,foul_committed,foul_won,ball_recovery,block,substitution,bad_behaviour,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_switch,related_events_2,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_type_id,pass_type_name,foul_committed_penalty,foul_won_penalty,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name
fc5587c1-cb61-4f4d-9383-2770c84eebce,3063,2,00:30:21.530,75,21,30,Pass,128,217,Barcelona,1,Regular Play,217,Barcelona,0.87916,,c14627cb-f463-46b1-9dfc-8fe0e5f6a10a,,11094,Arda Turan,13,Right Center Midfield,65.1,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,9.80816,3.100799,1.0,Ground Pass,55.3,74.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,
c14627cb-f463-46b1-9dfc-8fe0e5f6a10a,3064,2,00:30:22.409,75,22,42,Ball Receipt*,128,217,Barcelona,1,Regular Play,217,Barcelona,,,fc5587c1-cb61-4f4d-9383-2770c84eebce,,4324,Daniel Alves da Silva,2,Right Back,55.3,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a375b831-203b-41ae-8c9f-773f83429698,3065,2,00:30:22.409,75,22,43,Carry,128,217,Barcelona,1,Regular Play,217,Barcelona,0.930119,,c14627cb-f463-46b1-9dfc-8fe0e5f6a10a,,4324,Daniel Alves da Silva,2,Right Back,55.3,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6703d1f-ff54-46fa-98c2-dccb88f588f3,55.5,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6703d1f-ff54-46fa-98c2-dccb88f588f3,3066,2,00:30:23.339,75,23,30,Pass,128,217,Barcelona,1,Regular Play,217,Barcelona,2.05933,,bb6d0093-7276-4496-83be-ad7af31adcdb,,4324,Daniel Alves da Silva,2,Right Back,55.5,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,33.839622,-2.0767467,2.0,Low Pass,39.1,42.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,
bb6d0093-7276-4496-83be-ad7af31adcdb,3067,2,00:30:25.398,75,25,42,Ball Receipt*,128,217,Barcelona,1,Regular Play,217,Barcelona,,,e6703d1f-ff54-46fa-98c2-dccb88f588f3,,5506,Javier Alejandro Mascherano,5,Left Center Back,39.1,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1506e81-de13-44f6-934b-9ac22d5e7534,3068,2,00:30:25.398,75,25,43,Carry,128,217,Barcelona,1,Regular Play,217,Barcelona,2.00177,,77224156-219c-49f3-816f-5c6d66d1c979,,5506,Javier Alejandro Mascherano,5,Left Center Back,39.1,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb6d0093-7276-4496-83be-ad7af31adcdb,44.5,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77224156-219c-49f3-816f-5c6d66d1c979,3069,2,00:30:27.400,75,27,30,Pass,128,217,Barcelona,1,Regular Play,217,Barcelona,2.349081,,54fd665f-ab59-4715-a6df-585c0d095fb3,,5506,Javier Alejandro Mascherano,5,Left Center Back,44.5,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,35.820805,-0.9339953,1.0,Ground Pass,65.8,11.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,
54fd665f-ab59-4715-a6df-585c0d095fb3,3070,2,00:30:29.749,75,29,42,Ball Receipt*,128,217,Barcelona,1,Regular Play,217,Barcelona,,,77224156-219c-49f3-816f-5c6d66d1c979,,5211,Jordi Alba Ramos,6,Left Back,65.8,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d13b5e7e-c559-446b-8ea0-e7f84b9f20af,3071,2,00:30:29.749,75,29,43,Carry,128,217,Barcelona,1,Regular Play,217,Barcelona,0.833119,,37647774-a735-45fb-8f16-c8c95a5ecadf,,5211,Jordi Alba Ramos,6,Left Back,65.8,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54fd665f-ab59-4715-a6df-585c0d095fb3,68.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37647774-a735-45fb-8f16-c8c95a5ecadf,3072,2,00:30:30.582,75,30,30,Pass,128,217,Barcelona,1,Regular Play,217,Barcelona,1.035319,,4c287b33-db73-4e45-9c8f-4b28b9430015,,5211,Jordi Alba Ramos,6,Left Back,68.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,15.632018,-0.06401498,1.0,Ground Pass,84.5,10.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,
4c287b33-db73-4e45-9c8f-4b28b9430015,3073,2,00:30:31.618,75,31,42,Ball Receipt*,128,217,Barcelona,1,Regular Play,217,Barcelona,,,37647774-a735-45fb-8f16-c8c95a5ecadf,,5216,Andrés Iniesta Luján,15,Left Center Midfield,84.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313d72c3-046b-4369-951b-e63463ed33e3,3074,2,00:30:31.618,75,31,43,Carry,128,217,Barcelona,1,Regular Play,217,Barcelona,0.497981,,4c287b33-db73-4e45-9c8f-4b28b9430015,,5216,Andrés Iniesta Luján,15,Left Center Midfield,84.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ade329fd-6f98-457a-944e-198d7e799ee3,85.3,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ade329fd-6f98-457a-944e-198d7e799ee3,3075,2,00:30:32.116,75,32,30,Pass,128,217,Barcelona,1,Regular Play,217,Barcelona,1.415221,,95a13556-7cd6-4efb-9653-c51ad285a05f,,5216,Andrés Iniesta Luján,15,Left Center Midfield,85.3,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,9.502105,-0.021049522,2.0,Low Pass,94.8,10.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,
95a13556-7cd6-4efb-9653-c51ad285a05f,3076,2,00:30:33.531,75,33,42,Ball Receipt*,128,217,Barcelona,1,Regular Play,217,Barcelona,,,ade329fd-6f98-457a-944e-198d7e799ee3,,4320,Neymar da Silva Santos Junior,21,Left Wing,94.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d18c6a68-a658-4aae-9860-73838ca37ad3,3077,2,00:30:33.531,75,33,43,Carry,128,217,Barcelona,1,Regular Play,217,Barcelona,4.606679,,52a34ca1-5b57-4171-b7fd-12dc5ef16fc9,,4320,Neymar da Silva Santos Junior,21,Left Wing,94.8,10.2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95a13556-7cd6-4efb-9653-c51ad285a05f,113.7,12.7,,,,,,,,,,,,ee8ce37f-7557-4a85-8649-336e00c4cef1,,,,,,,,,,,,,,,,,,,,
52a34ca1-5b57-4171-b7fd-12dc5ef16fc9,3078,2,00:30:35.467,75,35,17,Pressure,128,217,Barcelona,1,Regular Play,1041,Sporting Gijón,1.408657,,d18c6a68-a658-4aae-9860-73838ca37ad3,,16332,Ognjen Vranješ,2,Right Back,17.1,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee8ce37f-7557-4a85-8649-336e00c4cef1,3079,2,00:30:38.138,75,38,3,Dispossessed,128,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,5c2431e9-31c1-4344-978c-6be8f389db32,,4320,Neymar da Silva Santos Junior,21,Left Wing,113.7,12.7,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c2431e9-31c1-4344-978c-6be8f389db32,3080,2,00:30:38.138,75,38,4,Duel,128,217,Barcelona,1,Regular Play,1041,Sporting Gijón,0.0,,ee8ce37f-7557-4a85-8649-336e00c4cef1,,16332,Ognjen Vranješ,2,Right Back,6.4,67.4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,14.0,Lost Out,,,,,,,,,,,,,,,,
67f03dbe-aa30-4831-b070-a516efe88fbd,3081,2,00:30:50.968,75,50,30,Pass,129,217,Barcelona,2,From Corner,217,Barcelona,3.322062,,4b93ad3a-ca25-4147-b7fd-108a2662646d,True,5216,Andrés Iniesta Luján,15,Left Center Midfield,120.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,36.108864,2.2364545,1.0,Ground Pass,97.7,28.5,40.0,Right Foot,,,,,,,61.0,Corner,,,,,,,,,,,,,,
4b93ad3a-ca25-4147-b7fd-108a2662646d,3082,2,00:30:54.290,75,54,42,Ball Receipt*,129,217,Barcelona,2,From Corner,217,Barcelona,,,67f03dbe-aa30-4831-b070-a516efe88fbd,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,97.7,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699a0a6-52bf-4feb-86c2-0c93f3ae726d,3083,2,00:30:54.736,75,54,30,Pass,129,217,Barcelona,2,From Corner,217,Barcelona,1.188699,,311c123c-801c-4422-8a72-feb53be22f12,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,97.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,15.199013,-0.19868588,2.0,Low Pass,112.4,25.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,
311c123c-801c-4422-8a72-feb53be22f12,3084,2,00:30:55.925,75,55,42,Ball Receipt*,129,217,Barcelona,2,From Corner,217,Barcelona,,,4699a0a6-52bf-4feb-86c2-0c93f3ae726d,,4320,Neymar da Silva Santos Junior,21,Left Wing,112.4,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994f85e4-ac4b-4a9f-a9f7-e9b0b80f6082,3085,2,00:30:55.925,75,55,43,Carry,129,217,Barcelona,2,From Corner,217,Barcelona,0.940534,,311c123c-801c-4422-8a72-feb53be22f12,,4320,Neymar da Silva Santos Junior,21,Left Wing,112.4,25.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84ea2792-290a-4b67-ba9f-bea8fc414c7b,113.9,26.4,,,,,,,,,,,,9410563d-2a4a-4710-81ac-9ca638b7b2d0,,,,,,,,,,,,,,,,,,,,
84ea2792-290a-4b67-ba9f-bea8fc414c7b,3086,2,00:30:55.984,75,55,17,Pressure,129,217,Barcelona,2,From Corner,1041,Sporting Gijón,0.669567,,994f85e4-ac4b-4a9f-a9f7-e9b0b80f6082,,6880,Arnaldo Antonio Sanabria Ayala,23,Center Forward,8.9,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c79323a-37d5-4295-a311-e4a20a50675e,3087,2,00:30:56.865,75,56,22,Foul Committed,129,217,Barcelona,2,From Corner,1041,Sporting Gijón,0.0,,9410563d-2a4a-4710-81ac-9ca638b7b2d0,,6880,Arnaldo Antonio Sanabria Ayala,23,Center Forward,6.2,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
9410563d-2a4a-4710-81ac-9ca638b7b2d0,3088,2,00:30:56.865,75,56,21,Foul Won,129,217,Barcelona,2,From Corner,217,Barcelona,0.0,,7c79323a-37d5-4295-a311-e4a20a50675e,,4320,Neymar da Silva Santos Junior,21,Left Wing,113.9,26.4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
46ae35d4-c369-45c3-bc55-8c90ca122d10,3089,2,00:31:52.771,76,52,16,Shot,130,217,Barcelona,5,Other,217,Barcelona,0.3819,,a08e9ecf-8226-4632-89e8-ff9f7abbf306,,5246,Luis Alberto Suárez Díaz,23,Center Forward,108.2,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7835,120.0,39.3,2.0,97.0,Goal,93.0,Normal,40.0,Right Foot,88.0,Penalty
