id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,out,clearance,duel,off_camera,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,injury_stoppage,substitution,ball_recovery,bad_behaviour,block,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,related_events,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,related_events_3
11f8b398-b8f4-4095-a63e-abb78ff9bcf9,3205,2,00:40:00.424,85,0,17,Pressure,151,217,Barcelona,4,From Throw In,218,Real Betis,0.6195,,8a17ff75-d0ad-4455-9420-723f5652328e,27346,Petros Matheus dos Santos Araújo,13,Right Center Midfield,29.1,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96bef457-3f0e-4fba-a1d8-b677f57d1e42,,,,,,,,,,,,,,,,,,,,,,,,,,,
96bef457-3f0e-4fba-a1d8-b677f57d1e42,3206,2,00:40:00.965,85,0,30,Pass,151,217,Barcelona,4,From Throw In,217,Barcelona,1.7743,,11f8b398-b8f4-4095-a63e-abb78ff9bcf9,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,92.0,49.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,22102.0,Adriano Correia Claro,31.319323,-0.9624245,3.0,High Pass,109.9,23.6,38.0,Left Foot,,,,17585f95-3760-4c27-b178-3ed5c046b774,,,,,,,,,,,,,,,,,,,,,,,,,,,
17585f95-3760-4c27-b178-3ed5c046b774,3207,2,00:40:02.739,85,2,42,Ball Receipt*,151,217,Barcelona,4,From Throw In,217,Barcelona,,,96bef457-3f0e-4fba-a1d8-b677f57d1e42,22102,Adriano Correia Claro,6,Left Back,109.9,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbfd796d-697e-4792-8cc5-693db0a32fdb,3208,2,00:40:02.739,85,2,43,Carry,151,217,Barcelona,4,From Throw In,217,Barcelona,1.8104,,03428539-8586-434b-b78d-9fb1cc144777,22102,Adriano Correia Claro,6,Left Back,109.9,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17585f95-3760-4c27-b178-3ed5c046b774,118.1,23.2,,,,,,,,,,,,,,,,,,,,,,,,,
03428539-8586-434b-b78d-9fb1cc144777,3209,2,00:40:04.549,85,4,38,Miscontrol,151,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,,22102,Adriano Correia Claro,6,Left Back,118.1,23.2,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fca1099-57de-4fb7-ac57-f948e58efec0,3210,2,00:40:38.965,85,38,19,Substitution,151,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,,6379,Sergi Roberto Carnicer,15,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6616.0,Munir El Haddadi Mohamed,,,,,,,
6933cf1e-4ce4-49e7-b07e-c06b62cc0d6a,3226,2,00:41:07.717,86,7,30,Pass,154,217,Barcelona,1,Regular Play,217,Barcelona,0.8565,,a4007ace-a0dd-4858-a8ee-6d3eb6278a9e,7068,Marc Bartra Aregall,3,Right Center Back,31.1,25.1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,6616.0,Munir El Haddadi Mohamed,7.975588,-0.5253669,1.0,Ground Pass,38.0,21.1,40.0,Right Foot,64.0,Interception,,ce94b6f5-569b-4141-b4fd-2b47df4e2423,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce94b6f5-569b-4141-b4fd-2b47df4e2423,3227,2,00:41:08.573,86,8,42,Ball Receipt*,154,217,Barcelona,1,Regular Play,217,Barcelona,,,6933cf1e-4ce4-49e7-b07e-c06b62cc0d6a,6616,Munir El Haddadi Mohamed,15,Left Center Midfield,38.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faec57fb-72ff-43e0-84a0-5263175aa1e9,3228,2,00:41:08.573,86,8,43,Carry,154,217,Barcelona,1,Regular Play,217,Barcelona,0.040000003,,70f2f5c0-f16e-4cac-9c0b-791afd919e35,6616,Munir El Haddadi Mohamed,15,Left Center Midfield,38.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce94b6f5-569b-4141-b4fd-2b47df4e2423,38.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
70f2f5c0-f16e-4cac-9c0b-791afd919e35,3229,2,00:41:08.613,86,8,30,Pass,154,217,Barcelona,1,Regular Play,217,Barcelona,0.9674,,016694ac-df2d-4faa-a678-880e0c9a22f5,6616,Munir El Haddadi Mohamed,15,Left Center Midfield,38.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6332.0,Thomas Vermaelen,12.54472,-2.9895494,1.0,Ground Pass,25.6,19.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
