id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,out,shot,goalkeeper,clearance,ball_recovery,counterpress,dribble,duel,interception,off_camera,foul_won,foul_committed,block,substitution,miscontrol,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_switch,related_events,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_left_foot,related_events_3,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate
0e608b1b-7c10-47a9-b329-3a3f028d5263,26,1,00:00:15.379,0,15,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.8405,,e2c05af1-512c-4eb1-9ff9-e1d4753cb4e9,5211,Jordi Alba Ramos,6,Left Back,47.3,7.5,4320.0,Neymar da Silva Santos Junior,11.903781,-0.36958638,1.0,Ground Pass,58.4,3.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128602ae-467f-4f59-8c30-b6a2bc97e0ad,27,1,00:00:15.785,0,15,17,Pressure,2,217,Barcelona,9,From Kick Off,208,Las Palmas,0.553533,,16e852d4-4339-48b7-8eb0-b03055b5311b,6608,Nabil El Zhar,12,Right Midfield,59.2,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4f88cc7-2cf3-42e0-bfb5-318434ecbfef,,,e2c05af1-512c-4eb1-9ff9-e1d4753cb4e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2c05af1-512c-4eb1-9ff9-e1d4753cb4e9,28,1,00:00:16.220,0,16,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,0e608b1b-7c10-47a9-b329-3a3f028d5263,4320,Neymar da Silva Santos Junior,21,Left Wing,58.4,3.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,128602ae-467f-4f59-8c30-b6a2bc97e0ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16e852d4-4339-48b7-8eb0-b03055b5311b,29,1,00:00:16.220,0,16,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.04,,128602ae-467f-4f59-8c30-b6a2bc97e0ad,4320,Neymar da Silva Santos Junior,21,Left Wing,58.4,3.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,b4f88cc7-2cf3-42e0-bfb5-318434ecbfef,57.4,6.9,e2c05af1-512c-4eb1-9ff9-e1d4753cb4e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4f88cc7-2cf3-42e0-bfb5-318434ecbfef,30,1,00:00:16.260,0,16,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.4443,,128602ae-467f-4f59-8c30-b6a2bc97e0ad,4320,Neymar da Silva Santos Junior,21,Left Wing,57.4,6.9,5211.0,Jordi Alba Ramos,8.944272,2.6779451,1.0,Ground Pass,49.4,10.9,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,ffbf9402-0385-4e11-896a-7f4fee949ff0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffbf9402-0385-4e11-896a-7f4fee949ff0,31,1,00:00:17.704,0,17,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,b4f88cc7-2cf3-42e0-bfb5-318434ecbfef,5211,Jordi Alba Ramos,6,Left Back,49.4,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f803fc9-3c20-48c5-9a5d-90e546381796,32,1,00:00:17.704,0,17,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.68,,93c55d25-35e2-4b1b-b1a2-d2a58d1c7fb9,5211,Jordi Alba Ramos,6,Left Back,49.4,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ffbf9402-0385-4e11-896a-7f4fee949ff0,51.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93c55d25-35e2-4b1b-b1a2-d2a58d1c7fb9,33,1,00:00:20.384,0,20,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.2,,1760e7dc-3775-4fa6-bf5f-5c3e8d8759c3,5211,Jordi Alba Ramos,6,Left Back,51.4,15.4,10609.0,Jérémy Mathieu,21.644861,2.6138508,1.0,Ground Pass,32.7,26.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760e7dc-3775-4fa6-bf5f-5c3e8d8759c3,34,1,00:00:21.584,0,21,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,93c55d25-35e2-4b1b-b1a2-d2a58d1c7fb9,10609,Jérémy Mathieu,5,Left Center Back,32.7,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36fcf870-8e0c-4af1-88a1-8f6bd0e80a44,35,1,00:00:21.584,0,21,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.2,,1760e7dc-3775-4fa6-bf5f-5c3e8d8759c3,10609,Jérémy Mathieu,5,Left Center Back,32.7,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dee56bc0-0b22-4a4a-a755-9386af8ab14a,36.8,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
