id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,foul_committed,foul_won,off_camera,ball_receipt,counterpress,interception,dribble,clearance,duel,out,bad_behaviour,shot,goalkeeper,ball_recovery,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,foul_won_defensive,ball_recovery_recovery_failure,pass_cross,clearance_head,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,player,position,location
b2965659-d173-455e-86ff-be172f019abb,3453,2,00:40:55.589,85,55,30,Pass,160,217,Barcelona,9,From Kick Off,217,Barcelona,1.798135,,2989614b-5f28-4d66-a0fd-ae20090fee09,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,76.2,13.2,5503.0,Lionel Andrés Messi Cuccittini,30.292574,1.7098923,1.0,Ground Pass,72.0,43.2,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989614b-5f28-4d66-a0fd-ae20090fee09,3454,2,00:40:57.387,85,57,42,Ball Receipt*,160,217,Barcelona,9,From Kick Off,217,Barcelona,,,b2965659-d173-455e-86ff-be172f019abb,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,72.0,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8430a96-2b91-4b6f-9902-493f6b4e10e9,3455,2,00:40:57.387,85,57,43,Carry,160,217,Barcelona,9,From Kick Off,217,Barcelona,5.694737,,0e411316-3b1f-4b9f-b4ba-ea2c3ab7c994,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,72.0,43.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,2989614b-5f28-4d66-a0fd-ae20090fee09,75.1,39.6,b0552708-c15a-4a0b-a70d-1c7def2ab028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0552708-c15a-4a0b-a70d-1c7def2ab028,3456,2,00:41:00.934,86,0,17,Pressure,160,217,Barcelona,9,From Kick Off,220,Real Madrid,2.147659,,c8430a96-2b91-4b6f-9902-493f6b4e10e9,3990.0,Jesé Rodríguez Ruiz,23.0,Center Forward,43.2,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e411316-3b1f-4b9f-b4ba-ea2c3ab7c994,3457,2,00:41:03.082,86,3,3,Dispossessed,160,217,Barcelona,9,From Kick Off,217,Barcelona,0.0,,7755acbd-028f-4793-ba21-024de92041ee,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,75.1,39.6,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7755acbd-028f-4793-ba21-024de92041ee,3458,2,00:41:03.082,86,3,4,Duel,160,217,Barcelona,9,From Kick Off,220,Real Madrid,0.0,,0e411316-3b1f-4b9f-b4ba-ea2c3ab7c994,3990.0,Jesé Rodríguez Ruiz,23.0,Center Forward,45.0,40.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,4.0,Won,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fd83356-24eb-4107-8503-3128fbe95648,3459,2,00:41:03.082,86,3,43,Carry,160,217,Barcelona,9,From Kick Off,220,Real Madrid,1.1914,,7755acbd-028f-4793-ba21-024de92041ee,3990.0,Jesé Rodríguez Ruiz,23.0,Center Forward,45.0,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c29ba6f7-ad85-4424-8fd2-1cbd09a15b35,53.3,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c29ba6f7-ad85-4424-8fd2-1cbd09a15b35,3460,2,00:41:04.273,86,4,3,Dispossessed,160,217,Barcelona,9,From Kick Off,220,Real Madrid,0.0,,532ce2dd-1437-4f21-8350-a1eec7d10552,3990.0,Jesé Rodríguez Ruiz,23.0,Center Forward,53.3,38.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532ce2dd-1437-4f21-8350-a1eec7d10552,3461,2,00:41:04.273,86,4,4,Duel,160,217,Barcelona,9,From Kick Off,217,Barcelona,0.0,,c29ba6f7-ad85-4424-8fd2-1cbd09a15b35,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,66.8,41.2,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,13.0,Lost In Play,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e427315-24a1-43ea-9396-dcacda487316,3462,2,00:41:07.912,86,7,2,Ball Recovery,160,217,Barcelona,9,From Kick Off,217,Barcelona,0.0,,,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,35.7,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4808cb0f-d6d6-474b-a8e5-dc06bec49159,3463,2,00:41:07.912,86,7,43,Carry,160,217,Barcelona,9,From Kick Off,217,Barcelona,3.1872,,2e427315-24a1-43ea-9396-dcacda487316,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,35.7,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab2d5f35-622b-47ec-b367-5273cd162b71,45.6,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab2d5f35-622b-47ec-b367-5273cd162b71,3464,2,00:41:11.100,86,11,30,Pass,160,217,Barcelona,9,From Kick Off,217,Barcelona,1.8413,,43cf832c-48be-4260-ba27-a00dc132d40c,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,45.6,44.4,5216.0,Andrés Iniesta Luján,23.17175,-1.0163141,1.0,Ground Pass,57.8,24.7,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
