id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,interception,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,block,duel,dribble,ball_recovery,clearance,foul_committed,foul_won,substitution,50_50,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure
c0118823-f6d4-4487-b251-0a3a26fe07e2,3589,2,00:45:14.319,90,14,23,Goal Keeper,182,217,Barcelona,4,From Throw In,210,Real Sociedad,0.0,,3d71df7f-846c-4ea9-b118-35109b3479fd,6694,Gerónimo Rulli,1,Goalkeeper,1.8,42.3,,,,,,,,,46.0,Standing,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0e5b749-11d3-4d61-8de9-db3df6c2d210,3617,2,00:47:03.194,92,3,30,Pass,184,217,Barcelona,3,From Free Kick,217,Barcelona,0.9707,,29a51573-0514-4162-959b-5d7bd3d7f20d,5216,Andrés Iniesta Luján,15,Left Center Midfield,42.0,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,9.626006,-0.6081728,1.0,Ground Pass,49.9,50.7,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,
29a51573-0514-4162-959b-5d7bd3d7f20d,3618,2,00:47:04.164,92,4,42,Ball Receipt*,184,217,Barcelona,3,From Free Kick,217,Barcelona,,,c0e5b749-11d3-4d61-8de9-db3df6c2d210,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,49.9,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7f2cea1-4bde-4512-af3f-2ae61e1bdd9a,3619,2,00:47:04.164,92,4,43,Carry,184,217,Barcelona,3,From Free Kick,217,Barcelona,0.2143,,29a51573-0514-4162-959b-5d7bd3d7f20d,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,49.9,50.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7d55f2d-d770-4e27-8d68-7398b3ca46fb,f6b01869-c303-42e4-ac8d-28dfbe1c8a63,49.9,50.7,,,,,,,,,,,,,
d7d55f2d-d770-4e27-8d68-7398b3ca46fb,3620,2,00:47:04.379,92,4,39,Dribbled Past,184,217,Barcelona,3,From Free Kick,210,Real Sociedad,0.0,,12e0ffc1-c755-4508-b209-c480fff8738c,6899,Rubén Pardo Gutiérrez,13,Right Center Midfield,70.2,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7f2cea1-4bde-4512-af3f-2ae61e1bdd9a,f6b01869-c303-42e4-ac8d-28dfbe1c8a63,,,,,,,,,,,,,,,
f6b01869-c303-42e4-ac8d-28dfbe1c8a63,3621,2,00:47:04.379,92,4,14,Dribble,184,217,Barcelona,3,From Free Kick,217,Barcelona,0.0,,d7d55f2d-d770-4e27-8d68-7398b3ca46fb,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,49.9,50.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,
12e0ffc1-c755-4508-b209-c480fff8738c,3622,2,00:47:04.379,92,4,43,Carry,184,217,Barcelona,3,From Free Kick,217,Barcelona,2.176,,9ba2f767-4e4d-44d8-b374-0368ff0ce8a2,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,49.9,50.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7d55f2d-d770-4e27-8d68-7398b3ca46fb,eb8eecce-063d-4302-b231-70baad37f712,60.4,45.1,,,f6b01869-c303-42e4-ac8d-28dfbe1c8a63,,,,,,,,,,
eb8eecce-063d-4302-b231-70baad37f712,3623,2,00:47:05.799,92,5,17,Pressure,184,217,Barcelona,3,From Free Kick,210,Real Sociedad,0.745149,,12e0ffc1-c755-4508-b209-c480fff8738c,6770,Esteban Félix Granero Molina,15,Left Center Midfield,55.6,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ba2f767-4e4d-44d8-b374-0368ff0ce8a2,3624,2,00:47:06.555,92,6,14,Dribble,184,217,Barcelona,3,From Free Kick,217,Barcelona,0.0,,fbfa4b69-12e2-479a-9c5e-4d0a091fdb72,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,60.4,45.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,
fbfa4b69-12e2-479a-9c5e-4d0a091fdb72,3625,2,00:47:06.555,92,6,4,Duel,184,217,Barcelona,3,From Free Kick,210,Real Sociedad,0.0,,9ba2f767-4e4d-44d8-b374-0368ff0ce8a2,6770,Esteban Félix Granero Molina,15,Left Center Midfield,59.7,35.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,4.0,Won,,,,,,
