id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt,interception,foul_committed,foul_won,clearance,out,dribble,shot,goalkeeper,off_camera,miscontrol,ball_recovery,substitution,50_50,bad_behaviour,related_events,duel,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_outswinging,pass_technique_id,pass_technique_name,related_events_3,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_switch,clearance_left_foot,player,position,location,pass_cross,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,miscontrol_aerial_won,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,ball_recovery_recovery_failure,shot_end_location_2,clearance_aerial_won,pass_through_ball,dribble_overrun
641a62df-6c52-48ed-8e41-479705bc37f5,56,1,00:00:41.691,0,41,4,Duel,3,36,Manchester City,1,Regular Play,36,Manchester City,0.0,,9e8e5865-c3b2-4cad-914d-2d40330535a3,38465.0,Claudio Reyna,13.0,Right Center Midfield,42.0,68.6,,,True,True,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aafa6c88-b15b-4570-bb2b-1a5b6d1ae071,57,1,00:00:53.728,0,53,2,Ball Recovery,3,36,Manchester City,1,Regular Play,36,Manchester City,0.0,,,19636.0,Paul Bosvelt,15.0,Left Center Midfield,35.7,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4454f83b-6fc4-410e-92dc-bf30f395609a,58,1,00:00:53.728,0,53,43,Carry,3,36,Manchester City,1,Regular Play,36,Manchester City,0.492976,,aafa6c88-b15b-4570-bb2b-1a5b6d1ae071,19636.0,Paul Bosvelt,15.0,Left Center Midfield,35.7,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,be303b50-0ef8-4001-a143-fb8ae3944fab,35.7,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be303b50-0ef8-4001-a143-fb8ae3944fab,59,1,00:00:54.221,0,54,30,Pass,3,36,Manchester City,1,Regular Play,36,Manchester City,1.636696,,99f76646-0708-41d0-9f9b-323f7144a490,19636.0,Paul Bosvelt,15.0,Left Center Midfield,35.7,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40217.0,Trevor Sinclair,23.093073,-1.3436729,1.0,Ground Pass,40.9,39.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99f76646-0708-41d0-9f9b-323f7144a490,60,1,00:00:55.857,0,55,42,Ball Receipt*,3,36,Manchester City,1,Regular Play,36,Manchester City,,,be303b50-0ef8-4001-a143-fb8ae3944fab,40217.0,Trevor Sinclair,20.0,Left Attacking Midfield,40.9,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc2efd6d-6034-464b-9505-cfc0c440189e,61,1,00:00:55.857,0,55,43,Carry,3,36,Manchester City,1,Regular Play,36,Manchester City,1.760503,,99f76646-0708-41d0-9f9b-323f7144a490,40217.0,Trevor Sinclair,20.0,Left Attacking Midfield,40.9,39.3,,,True,,,,,,,,,,,,,,,,,,,,,,,d34fed71-4826-403b-b5d1-5236b91ce8a8,45.5,32.8,,,,,,,,,,,fdc07d5d-ab8f-41bf-9886-6f618a52c64a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdc07d5d-ab8f-41bf-9886-6f618a52c64a,62,1,00:00:56.318,0,56,17,Pressure,3,36,Manchester City,1,Regular Play,1,Arsenal,0.889936,,bc2efd6d-6034-464b-9505-cfc0c440189e,15754.0,Fredrik Ljungberg,12.0,Right Midfield,81.1,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d34fed71-4826-403b-b5d1-5236b91ce8a8,63,1,00:00:57.618,0,57,30,Pass,3,36,Manchester City,1,Regular Play,36,Manchester City,1.656056,,d175b3ec-d011-493f-9793-b9c1a8ee22e2,40217.0,Trevor Sinclair,20.0,Left Attacking Midfield,45.5,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24758.0,Michael Tarnat,19.719027,-2.2772224,1.0,Ground Pass,32.7,17.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d175b3ec-d011-493f-9793-b9c1a8ee22e2,64,1,00:00:59.274,0,59,42,Ball Receipt*,3,36,Manchester City,1,Regular Play,36,Manchester City,,,d34fed71-4826-403b-b5d1-5236b91ce8a8,24758.0,Michael Tarnat,6.0,Left Back,32.7,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f516abc8-e7d1-4b5a-b3e8-79d1c04fb1b6,65,1,00:00:59.274,0,59,43,Carry,3,36,Manchester City,1,Regular Play,36,Manchester City,3.588675,,d175b3ec-d011-493f-9793-b9c1a8ee22e2,24758.0,Michael Tarnat,6.0,Left Back,32.7,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,ea3c4b12-2c21-4b47-97be-12918f42e6f0,58.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea3c4b12-2c21-4b47-97be-12918f42e6f0,66,1,00:01:02.862,1,2,30,Pass,3,36,Manchester City,1,Regular Play,36,Manchester City,1.234975,,5241775e-b41f-43dd-a5a0-55b2dd395225,24758.0,Michael Tarnat,6.0,Left Back,58.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,a67899ec-17e0-449d-9f6d-666dd5b17556,,,38551.0,Shaun Wright-Phillips,33.296246,0.2799498,3.0,High Pass,90.0,18.9,38.0,Left Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
