id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,player,position,location,pass,carry,ball_receipt,under_pressure,counterpress,out,clearance,ball_recovery,dribble,duel,interception,foul_won,off_camera,goalkeeper,miscontrol,foul_committed,shot,block,substitution,bad_behaviour,tactics,related_events_0,related_events_1,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,interception_outcome_id,interception_outcome_name,clearance_head,pass_aerial_won,clearance_aerial_won,foul_won_defensive,pass_switch,pass_cross
b70237ec-7be7-4934-8d94-f8ea32540814,312,1,00:07:50.317,7,50,43,Carry,26,36,Manchester City,1,Regular Play,36,Manchester City,1.172286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527e0ba7-2d2d-4048-8100-ff3b7117ceba,b63c64bc-f825-4d2f-ae15-4fd562a16bc6,40218.0,Sylvain Distin,5.0,Left Center Back,43.3,44.2,,,,,,,,,,,,,,44.5,44.9,,,,,,,,,,,,,,,,,,,,,,
b63c64bc-f825-4d2f-ae15-4fd562a16bc6,313,1,00:07:51.489,7,51,30,Pass,26,36,Manchester City,1,Regular Play,36,Manchester City,2.474466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7337a98-f75b-412a-a421-9c7b794a2ee2,,40218.0,Sylvain Distin,5.0,Left Center Back,44.5,44.9,24758.0,Michael Tarnat,37.25386,-1.3212605,1.0,Ground Pass,53.7,8.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7337a98-f75b-412a-a421-9c7b794a2ee2,314,1,00:07:53.964,7,53,42,Ball Receipt*,26,36,Manchester City,1,Regular Play,36,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b63c64bc-f825-4d2f-ae15-4fd562a16bc6,,24758.0,Michael Tarnat,6.0,Left Back,53.7,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9e76807-efec-40f4-8f43-0aad8530ff53,315,1,00:07:53.964,7,53,30,Pass,26,36,Manchester City,1,Regular Play,36,Manchester City,0.967484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09cb60ac-f9f3-4639-8a99-6b6e2cc8562c,,24758.0,Michael Tarnat,6.0,Left Back,54.1,6.1,15519.0,Nicolas Anelka,21.716814,0.27513713,1.0,Ground Pass,75.0,12.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
09cb60ac-f9f3-4639-8a99-6b6e2cc8562c,316,1,00:07:54.931,7,54,42,Ball Receipt*,26,36,Manchester City,1,Regular Play,36,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9e76807-efec-40f4-8f43-0aad8530ff53,,15519.0,Nicolas Anelka,24.0,Left Center Forward,75.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caf1fcba-fab9-455e-b79a-186a2770b437,317,1,00:07:54.931,7,54,43,Carry,26,36,Manchester City,1,Regular Play,36,Manchester City,1.526718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,09cb60ac-f9f3-4639-8a99-6b6e2cc8562c,52ec7ca0-60d2-45e3-9081-a899107bb4ec,15519.0,Nicolas Anelka,24.0,Left Center Forward,75.0,12.0,,,,,,,,,,,,,b03b6027-606f-46cf-8a02-4f013b666618,67.9,14.4,,,,,,,,,,,,,,,,,,,,,,
52ec7ca0-60d2-45e3-9081-a899107bb4ec,318,1,00:07:55.314,7,55,17,Pressure,26,36,Manchester City,1,Regular Play,1,Arsenal,0.604569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caf1fcba-fab9-455e-b79a-186a2770b437,,15654.0,Martin Keown,3.0,Right Center Back,44.0,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04ba5693-3733-4ebd-a851-58c4c3ac22d3,319,1,00:07:55.919,7,55,17,Pressure,26,36,Manchester City,1,Regular Play,1,Arsenal,0.435894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,49.2,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b03b6027-606f-46cf-8a02-4f013b666618,320,1,00:07:56.458,7,56,30,Pass,26,36,Manchester City,1,Regular Play,36,Manchester City,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e49b6516-4a50-4014-a574-4957c24d9f7c,,15519.0,Nicolas Anelka,24.0,Left Center Forward,67.9,14.4,19636.0,Paul Bosvelt,8.527602,2.4558632,1.0,Ground Pass,61.3,19.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
e49b6516-4a50-4014-a574-4957c24d9f7c,321,1,00:07:56.858,7,56,42,Ball Receipt*,26,36,Manchester City,1,Regular Play,36,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b03b6027-606f-46cf-8a02-4f013b666618,,19636.0,Paul Bosvelt,9.0,Right Defensive Midfield,61.3,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
