,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
26222,4.1,2.13,10,5.6,2.5,10,0.63,,1,0.04,,1,0.69,,1,0.24,,1.0,3.0,,1.0
24138,4.33,2.5,12,4.08,2.39,12,0.86,,1,0.01,,1,0.69,,1,0.29,,1.0,3.0,,1.0
26848,6.75,2.86,16,7.06,2.69,16,0.56,,1,0.12,,1,1.0,,1,0.41,,1.0,2.0,,1.0
4711,5.58,1.98,12,5.75,2.22,12,0.67,,1,0.06,,1,0.85,,1,0.39,,1.0,2.0,,1.0
11542,5.33,2.55,9,3.56,2.4,9,1.0,,1,0.0,,1,0.48,,1,0.04,,1.0,3.0,,1.0
6713,4.29,2.76,14,5.43,3.01,14,0.64,,1,0.04,,1,0.71,,1,0.34,,1.0,2.0,,1.0
18404,5.75,1.5,4,6.0,2.16,4,0.79,,1,0.01,,1,0.73,,1,0.31,,1.0,2.0,,1.0
7900,5.09,3.59,11,3.55,2.16,11,0.89,,1,0.0,,1,0.58,,1,0.14,,1.0,3.0,,1.0
6914,5.15,2.67,13,5.46,2.63,13,0.59,,1,0.15,,1,0.73,,1,0.29,,1.0,2.0,,1.0
24255,2.2,1.55,10,5.0,2.4,10,0.82,,1,0.0,,1,0.44,,1,0.04,,1.0,2.0,,1.0
26685,5.25,2.31,8,2.62,2.0,8,0.82,,1,0.01,,1,0.55,,1,0.13,,1.0,2.0,,1.0
27144,3.33,2.25,6,3.83,2.79,6,0.0,,1,0.0,,1,0.43,,1,0.26,,1.0,2.0,,1.0
11539,6.12,2.64,8,4.38,2.07,8,0.64,,1,0.07,,1,0.92,,1,0.39,,1.0,2.0,,1.0
26607,4.89,3.3,9,5.56,3.4,9,0.59,,1,0.12,,1,0.87,,1,0.35,,1.0,2.0,,1.0
26690,7.33,3.06,3,4.0,0.0,3,0.64,,1,0.01,,1,0.81,,1,0.32,,1.0,3.0,,1.0
6852,5.55,3.45,11,4.36,3.11,11,0.6,,1,0.13,,1,0.91,,1,0.42,,1.0,2.0,,1.0
23761,4.6,2.41,5,3.4,1.14,5,0.11,,1,0.23,,1,0.39,,1,0.25,,1.0,2.0,,1.0
11298,4.4,2.32,10,5.6,2.22,10,0.65,,1,0.0,,1,0.48,,1,0.08,,1.0,2.0,,1.0
9246,4.5,2.08,4,4.0,2.71,4,0.73,,1,0.01,,1,0.58,,1,0.22,,1.0,3.0,,1.0
26070,1.0,,1,3.0,,1,0.5,,1,0.01,,1,0.36,,1,,,,,,
10727,3.0,,1,4.0,,1,0.11,,1,0.18,,1,0.49,,1,,,,,,
11543,3.5,3.54,2,5.0,5.66,2,0.58,,1,0.09,,1,0.71,,1,0.26,,1.0,2.0,,1.0
10612,3.83,1.94,6,5.67,2.94,6,0.63,,1,0.02,,1,0.71,,1,0.32,,1.0,2.0,,1.0
26797,4.33,1.15,3,4.33,1.53,3,0.77,,1,0.02,,1,0.65,,1,0.24,,1.0,3.0,,1.0
24782,9.0,,1,7.0,,1,0.65,,1,0.04,,1,0.72,,1,0.32,,1.0,2.0,,1.0
16073,5.5,2.12,2,3.5,0.71,2,0.57,,1,0.01,,1,0.59,,1,0.2,,1.0,3.0,,1.0
6743,6.5,2.12,2,6.0,2.83,2,0.69,,1,0.06,,1,0.79,,1,0.33,,1.0,2.0,,1.0
