,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
6852,4.0,,1,6.0,,1,0.7,,1,0.01,,1,0.6,,1,0.17,,1,2.0,,1
11542,11.0,,1,6.0,,1,0.56,,1,0.06,,1,0.92,,1,0.41,,1,2.0,,1
26848,8.5,0.71,2,8.5,2.12,2,0.67,,1,0.04,,1,0.83,,1,0.35,,1,2.0,,1
27144,6.0,,1,5.0,,1,0.62,,1,0.02,,1,0.67,,1,0.23,,1,2.0,,1
24255,5.0,0.0,2,7.5,0.71,2,0.72,,1,0.01,,1,0.67,,1,0.21,,1,2.0,,1
6914,7.0,0.0,2,8.5,0.71,2,0.64,,1,0.04,,1,0.77,,1,0.3,,1,2.0,,1
6713,6.0,2.83,2,7.0,0.0,2,0.71,,1,0.01,,1,0.62,,1,0.16,,1,2.0,,1
26607,8.0,,1,10.0,,1,0.6,,1,0.12,,1,0.75,,1,0.34,,1,2.0,,1
11539,8.0,1.41,2,6.5,2.12,2,0.62,,1,0.07,,1,0.91,,1,0.38,,1,2.0,,1
4711,7.0,,1,7.0,,1,0.61,,1,0.04,,1,0.71,,1,0.3,,1,2.0,,1
11298,5.0,,1,7.0,,1,0.55,,1,0.03,,1,0.63,,1,0.2,,1,2.0,,1
26690,6.0,1.41,2,3.0,1.41,2,0.73,,1,0.01,,1,0.77,,1,0.33,,1,2.0,,1
7900,5.5,2.12,2,5.0,1.41,2,0.58,,1,0.06,,1,0.77,,1,0.3,,1,2.0,,1
26797,8.0,,1,7.0,,1,0.64,,1,0.04,,1,0.83,,1,0.34,,1,2.0,,1
18404,7.0,,1,7.0,,1,0.69,,1,0.03,,1,0.77,,1,0.3,,1,2.0,,1
6743,6.0,,1,8.0,,1,0.66,,1,0.06,,1,0.71,,1,0.29,,1,2.0,,1
24138,6.0,,1,5.0,,1,0.72,,1,0.02,,1,0.71,,1,0.28,,1,2.0,,1
