,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
26685,6.0,,1,7.0,,1,0.45,,1,0.14,,1,0.65,,1
24255,3.0,,1,7.0,,1,0.48,,1,0.04,,1,0.48,,1
24138,1.5,2.12,2,3.0,2.83,2,0.0,,1,0.0,,1,0.0,,1
26848,6.5,2.12,2,6.5,0.71,2,0.29,,1,0.17,,1,0.57,,1
7900,3.0,2.83,2,3.0,1.41,2,0.5,,1,0.0,,1,0.36,,1
6914,5.0,,1,5.0,,1,0.48,,1,0.03,,1,0.61,,1
11539,4.0,,1,6.0,,1,0.54,,1,0.03,,1,0.57,,1
18404,4.0,,1,6.0,,1,0.49,,1,0.06,,1,0.57,,1
11542,3.33,3.21,3,2.33,1.53,3,0.0,,1,0.33,,1,0.33,,1
27144,4.0,2.83,2,4.0,0.0,2,0.57,,1,0.01,,1,0.38,,1
6743,7.0,,1,4.0,,1,0.49,,1,0.04,,1,0.7,,1
6852,2.0,1.41,2,1.5,2.12,2,0.37,,1,0.04,,1,0.45,,1
10727,4.0,,1,6.0,,1,0.33,,1,0.19,,1,0.53,,1
6713,3.0,,1,6.0,,1,0.5,,1,0.12,,1,0.51,,1
11298,7.0,,1,5.0,,1,0.33,,1,0.22,,1,0.7,,1
23761,3.5,3.54,2,1.0,1.41,2,0.0,,1,0.0,,1,0.5,,1
26607,3.5,3.54,2,2.0,1.41,2,0.0,,1,0.33,,1,0.44,,1
26070,2.0,,1,4.0,,1,0.57,,1,0.03,,1,0.48,,1
26690,2.0,,1,0.0,,1,0.5,,1,0.0,,1,0.52,,1
