IdFiles,ScoringTeam,Score,NoInformation,totalPasses,completePasses,incompletePasses
264_1,,,NF,483.0,391.0,92.0
88_1,Arsenal,0_1,,219.0,170.0,49.0
88_2,Manchester United,1_1,,191.0,154.0,37.0
88_3,,,NF,32.0,26.0,6.0
