,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,6.33,1.76,9,6.22,2.2,9,0.75,0.0,1,0.02,0.0,1,0.77,0.0,1,0.28,0.0,1,2.0,0.0,1
0_2,5.0,2.45,3,4.67,2.05,3,0.26,0.0,1,0.24,0.0,1,0.5,0.0,1,0.47,0.0,1,4.0,0.0,1
1_2,6.67,1.89,3,7.67,2.05,3,0.61,0.0,1,0.07,0.0,1,0.79,0.0,1,0.38,0.0,1,2.0,0.0,1
1_0,6.62,2.84,24,6.75,2.54,24,0.76,0.0,1,0.06,0.0,1,1.0,0.0,1,0.36,0.0,1,2.0,0.0,1
2_0,5.88,2.11,17,6.76,2.07,17,0.66,0.0,1,0.05,0.0,1,0.77,0.0,1,0.3,0.0,1,2.0,0.0,1
3_0,5.67,2.25,12,6.33,2.29,12,0.76,0.0,1,0.04,0.0,1,0.83,0.0,1,0.3,0.0,1,2.0,0.0,1
4_0,5.71,2.6,7,6.0,2.0,7,0.19,0.0,1,0.18,0.0,1,0.43,0.0,1,0.18,0.0,1,2.0,0.0,1
5_0,5.5,1.12,4,5.5,0.5,4,0.34,0.0,1,0.15,0.0,1,0.67,0.0,1,0.4,0.0,1,2.0,0.0,1
6_0,4.33,2.49,3,4.33,2.36,3,0.48,0.0,1,0.08,0.0,1,0.67,0.0,1,0.3,0.0,1,2.0,0.0,1
7_0,4.33,2.49,3,4.33,2.36,3,0.48,0.0,1,0.08,0.0,1,0.67,0.0,1,0.67,0.0,1,0.67,0.0,1
8_0,4.33,2.49,3,4.33,2.36,3,0.48,0.0,1,0.08,0.0,1,0.67,0.0,1,0.67,0.0,1,0.67,0.0,1
1_1,5.56,2.45,9,5.89,2.6,9,0.44,0.0,1,0.1,0.0,1,0.69,0.0,1,0.34,0.0,1,2.0,0.0,1
2_1,5.55,2.54,11,5.82,2.48,11,0.54,0.0,1,0.17,0.0,1,0.8,0.0,1,0.4,0.0,1,2.0,0.0,1
3_1,5.6,2.58,5,6.0,2.53,5,0.0,0.0,1,0.06,0.0,1,0.11,0.0,1,0.35,0.0,1,2.0,0.0,1
4_1,2.67,2.49,3,2.67,1.25,3,0.38,0.0,1,0.12,0.0,1,0.69,0.0,1,0.32,0.0,1,2.0,0.0,1
0_3,8.0,0.0,1,5.0,0.0,1,0.66,0.0,1,0.03,0.0,1,0.83,0.0,1,0.39,0.0,1,2.0,0.0,1
1_3,3.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.58,0.0,1,0.17,0.0,1,2.0,0.0,1
1_4,3.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.58,0.0,1,0.58,0.0,1,0.58,0.0,1
5_1,2.5,1.5,2,3.0,2.0,2,0.66,0.0,1,0.02,0.0,1,0.58,0.0,1,0.21,0.0,1,3.0,0.0,1
5_2,2.5,1.5,2,3.0,2.0,2,0.66,0.0,1,0.02,0.0,1,0.58,0.0,1,0.58,0.0,1,0.58,0.0,1
2_2,4.0,3.0,2,4.0,2.0,2,0.0,0.0,1,0.03,0.0,1,0.26,0.0,1,0.26,0.0,1,0.26,0.0,1
6_1,2.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.12,0.0,1,0.31,0.0,1,0.31,0.0,1,0.31,0.0,1
