,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.67,1.7,6,6.83,2.11,6,0.42,0.0,1,0.07,0.0,1,0.59,0.0,1,0.33,0.0,1,3.0,0.0,1
0_2,5.0,1.0,2,4.0,1.0,2,0.38,0.0,1,0.31,0.0,1,0.62,0.0,1,0.32,0.0,1,2.0,0.0,1
1_2,6.0,1.63,3,4.67,1.25,3,0.77,0.0,1,0.01,0.0,1,0.69,0.0,1,0.29,0.0,1,2.0,0.0,1
1_0,6.22,2.32,23,6.3,2.31,23,0.57,0.0,1,0.06,0.0,1,0.56,0.0,1,0.24,0.0,1,3.0,0.0,1
2_0,5.94,2.58,17,5.94,2.55,17,0.0,0.0,1,0.08,0.0,1,0.37,0.0,1,0.17,0.0,1,5.0,0.0,1
3_0,5.67,2.05,12,6.0,2.42,12,0.79,0.0,1,0.04,0.0,1,0.71,0.0,1,0.26,0.0,1,2.0,0.0,1
4_0,5.0,3.16,8,5.0,3.43,8,0.64,0.0,1,0.08,0.0,1,0.8,0.0,1,0.33,0.0,1,3.0,0.0,1
5_0,6.0,0.0,1,4.0,0.0,1,0.5,0.0,1,0.06,0.0,1,0.69,0.0,1,0.17,0.0,1,5.0,0.0,1
6_0,5.0,0.0,1,5.0,0.0,1,0.68,0.0,1,0.03,0.0,1,0.65,0.0,1,0.33,0.0,1,3.0,0.0,1
7_0,2.0,0.0,1,2.0,0.0,1,0.1,0.0,1,0.12,0.0,1,0.48,0.0,1,0.48,0.0,1,0.48,0.0,1
8_0,2.0,0.0,1,2.0,0.0,1,0.1,0.0,1,0.12,0.0,1,0.48,0.0,1,0.48,0.0,1,0.48,0.0,1
1_1,3.71,1.91,7,3.57,2.66,7,0.5,0.0,1,0.08,0.0,1,0.69,0.0,1,0.39,0.0,1,2.0,0.0,1
2_1,4.75,2.63,8,4.5,2.4,8,0.48,0.0,1,0.21,0.0,1,0.75,0.0,1,0.33,0.0,1,3.0,0.0,1
3_1,5.0,2.83,6,5.83,3.13,6,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.37,0.0,1,2.0,0.0,1
4_1,5.67,2.49,3,5.33,1.7,3,0.4,0.0,1,0.1,0.0,1,0.65,0.0,1,0.32,0.0,1,2.0,0.0,1
0_3,5.67,2.49,3,5.33,1.7,3,0.4,0.0,1,0.1,0.0,1,0.65,0.0,1,0.32,0.0,1,2.0,0.0,1
1_3,6.0,0.0,1,6.0,0.0,1,0.65,0.0,1,0.03,0.0,1,0.69,0.0,1,0.31,0.0,1,3.0,0.0,1
1_4,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
5_1,1.5,0.5,2,1.0,0.0,2,0.17,0.0,1,0.17,0.0,1,0.47,0.0,1,0.31,0.0,1,3.0,0.0,1
5_2,1.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.08,0.0,1,0.11,0.0,1,0.11,0.0,1,0.11,0.0,1
2_2,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.31,0.0,1,0.31,0.0,1,0.31,0.0,1
6_1,2.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.1,0.0,1,0.28,0.0,1,0.28,0.0,1,0.28,0.0,1
