,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
0_2,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.24,0.0,1,2.0,0.0,1
1_2,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
1_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
2_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
3_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
4_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
5_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
6_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
7_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
8_0,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
1_1,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
2_1,3.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.24,0.0,1
3_1,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.38,0.0,1,0.15,0.0,1,4.0,0.0,1
4_1,5.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.67,0.0,1,0.24,0.0,1,2.0,0.0,1
0_3,5.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.67,0.0,1,0.24,0.0,1,2.0,0.0,1
1_3,5.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.67,0.0,1,0.24,0.0,1,2.0,0.0,1
1_4,5.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.67,0.0,1,0.67,0.0,1,0.67,0.0,1
5_1,5.0,0.0,1,4.0,0.0,1,0.76,0.0,1,0.01,0.0,1,0.67,0.0,1,0.24,0.0,1,2.0,0.0,1
5_2,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.17,0.0,1,0.17,0.0,1
2_2,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.17,0.0,1,0.17,0.0,1
6_1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.17,0.0,1,0.17,0.0,1,0.17,0.0,1
