index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
3324,2,76,22,30,Barcelona,Pass,169,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,14.4,45.4,5213.0,Gerard Piqué Bernabéu,19.60102,1.0,Ground Pass,14.6,65.0,Keeper Arm,
3327,2,76,25,30,Barcelona,Pass,169,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,14.9,67.5,4324.0,Daniel Alves da Silva,13.200758,1.0,Ground Pass,23.4,77.6,Right Foot,
3335,2,76,33,30,Barcelona,Pass,169,Regular Play,4324,Daniel Alves da Silva,2,Right Back,36.8,53.7,11094.0,Arda Turan,31.73547,1.0,Ground Pass,48.5,24.2,Right Foot,
3338,2,76,36,30,Barcelona,Pass,169,Regular Play,11094,Arda Turan,15,Left Center Midfield,54.0,21.2,6616.0,Munir El Haddadi Mohamed,23.084194,1.0,Ground Pass,72.2,7.0,Right Foot,
3340,2,76,37,30,Barcelona,Pass,169,Regular Play,6616,Munir El Haddadi Mohamed,21,Left Wing,72.2,7.0,5211.0,Jordi Alba Ramos,18.895767,1.0,Ground Pass,54.9,14.6,Left Foot,
3343,2,76,40,30,Barcelona,Pass,169,Regular Play,5211,Jordi Alba Ramos,6,Left Back,54.9,14.6,5203.0,Sergio Busquets i Burgos,17.847408,1.0,Ground Pass,56.2,32.4,Left Foot,
3346,2,76,43,30,Barcelona,Pass,169,Regular Play,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,56.2,36.0,5470.0,Ivan Rakitić,11.573245,1.0,Ground Pass,58.7,47.3,Right Foot,
3349,2,76,46,30,Barcelona,Pass,169,Regular Play,5470,Ivan Rakitić,13,Right Center Midfield,65.1,51.9,5503.0,Lionel Andrés Messi Cuccittini,7.206941,1.0,Ground Pass,71.4,55.4,Right Foot,
3353,2,76,49,30,Barcelona,Pass,169,Regular Play,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,71.3,46.8,5203.0,Sergio Busquets i Burgos,10.833744,1.0,Ground Pass,61.4,42.4,Left Foot,
3356,2,76,50,30,Barcelona,Pass,169,Regular Play,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,64.1,39.5,5503.0,Lionel Andrés Messi Cuccittini,6.8,1.0,Ground Pass,64.1,32.7,Right Foot,
3360,2,76,52,30,Barcelona,Pass,169,Regular Play,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,64.1,33.1,11094.0,Arda Turan,10.012492,1.0,Ground Pass,63.6,23.1,Left Foot,
3363,2,76,54,30,Barcelona,Pass,169,Regular Play,11094,Arda Turan,15,Left Center Midfield,63.6,23.1,5506.0,Javier Alejandro Mascherano,14.473424,1.0,Ground Pass,49.4,25.9,Right Foot,
3366,2,76,57,30,Barcelona,Pass,169,Regular Play,5506,Javier Alejandro Mascherano,5,Left Center Back,48.1,28.8,5213.0,Gerard Piqué Bernabéu,32.46814,1.0,Ground Pass,44.8,61.1,Right Foot,
3369,2,77,2,30,Barcelona,Pass,169,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,51.3,68.9,5470.0,Ivan Rakitić,13.345411,1.0,Ground Pass,62.6,61.8,Right Foot,
3371,2,77,3,30,Barcelona,Pass,169,Regular Play,5470,Ivan Rakitić,13,Right Center Midfield,62.6,61.8,5203.0,Sergio Busquets i Burgos,10.056838,1.0,Ground Pass,55.1,55.1,Left Foot,
3375,2,77,4,30,Barcelona,Pass,169,Regular Play,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,54.8,56.1,5506.0,Javier Alejandro Mascherano,20.771133,1.0,Ground Pass,41.8,39.9,Left Foot,
3378,2,77,12,30,Barcelona,Pass,169,Regular Play,5506,Javier Alejandro Mascherano,5,Left Center Back,63.4,33.8,6616.0,Munir El Haddadi Mohamed,32.22701,3.0,High Pass,84.1,9.1,Right Foot,
3459,2,79,49,30,Barcelona,Pass,173,From Free Kick,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,9.9,57.2,5246.0,Luis Alberto Suárez Díaz,67.847626,3.0,High Pass,76.8,45.9,Right Foot,Unknown
3463,2,80,15,30,Barcelona,Pass,174,From Free Kick,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,79.5,47.7,5246.0,Luis Alberto Suárez Díaz,27.73175,3.0,High Pass,107.1,45.0,Left Foot,Incomplete
3479,2,80,35,30,Barcelona,Pass,176,Regular Play,6332,Thomas Vermaelen,5,Left Center Back,39.9,13.7,5211.0,Jordi Alba Ramos,9.986491,1.0,Ground Pass,48.1,8.0,Left Foot,
3482,2,80,35,30,Barcelona,Pass,176,Regular Play,5211,Jordi Alba Ramos,6,Left Back,48.1,8.0,5506.0,Javier Alejandro Mascherano,5.772348,1.0,Ground Pass,42.5,6.6,Left Foot,
3486,2,80,39,30,Barcelona,Pass,176,Regular Play,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,42.2,10.8,4691.0,Claudio Andrés Bravo Muñoz,38.42252,2.0,Low Pass,11.2,33.5,Right Foot,
3489,2,80,42,30,Barcelona,Pass,176,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,8.9,39.7,7068.0,Marc Bartra Aregall,20.041208,1.0,Ground Pass,21.1,55.6,Right Foot,
3492,2,80,46,30,Barcelona,Pass,176,Regular Play,7068,Marc Bartra Aregall,3,Right Center Back,27.5,58.6,4324.0,Daniel Alves da Silva,14.447145,1.0,Ground Pass,32.9,72.0,Right Foot,
3495,2,80,47,30,Barcelona,Pass,176,Regular Play,4324,Daniel Alves da Silva,2,Right Back,32.9,72.0,7068.0,Marc Bartra Aregall,13.822446,1.0,Ground Pass,24.4,61.1,Right Foot,
3498,2,80,52,30,Barcelona,Pass,176,Regular Play,7068,Marc Bartra Aregall,3,Right Center Back,34.4,56.4,4691.0,Claudio Andrés Bravo Muñoz,29.577187,3.0,High Pass,8.4,42.3,Right Foot,
3501,2,80,55,30,Barcelona,Pass,176,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,8.4,42.3,6332.0,Thomas Vermaelen,21.220037,1.0,Ground Pass,14.9,22.1,Right Foot,
3504,2,80,59,30,Barcelona,Pass,176,Regular Play,6332,Thomas Vermaelen,5,Left Center Back,25.8,22.6,4691.0,Claudio Andrés Bravo Muñoz,24.893774,1.0,Ground Pass,7.9,39.9,Left Foot,
3507,2,81,2,30,Barcelona,Pass,176,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.9,44.3,7068.0,Marc Bartra Aregall,14.787157,1.0,Ground Pass,15.8,56.8,Right Foot,
3510,2,81,6,30,Barcelona,Pass,176,Regular Play,7068,Marc Bartra Aregall,3,Right Center Back,27.9,59.2,5246.0,Luis Alberto Suárez Díaz,52.404675,3.0,High Pass,76.7,78.3,Right Foot,
3514,2,81,13,30,Barcelona,Pass,176,Regular Play,5246,Luis Alberto Suárez Díaz,23,Center Forward,85.2,63.6,5503.0,Lionel Andrés Messi Cuccittini,12.741272,1.0,Ground Pass,77.7,53.3,Right Foot,
3520,2,82,1,30,Barcelona,Pass,177,From Free Kick,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,87.4,55.4,5246.0,Luis Alberto Suárez Díaz,27.984638,3.0,High Pass,110.7,39.9,Left Foot,
3544,2,83,18,30,Barcelona,Pass,181,From Counter,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,14.3,47.2,5246.0,Luis Alberto Suárez Díaz,56.312077,3.0,High Pass,70.2,54.0,Keeper Arm,Incomplete
3547,2,83,23,30,Barcelona,Pass,181,From Counter,6379,Sergi Roberto Carnicer,15,Left Center Midfield,66.0,40.5,5246.0,Luis Alberto Suárez Díaz,34.719013,3.0,High Pass,97.5,55.1,Left Foot,
