index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
1861,2,48,53,30,Barcelona,Pass,123,Regular Play,5211,Jordi Alba Ramos,6,Left Back,69.1,40.3,5203.0,Sergio Busquets i Burgos,9.946356,1.0,Ground Pass,78.9,42.0,Left Foot,
1864,2,48,53,30,Barcelona,Pass,123,Regular Play,5203,Sergio Busquets i Burgos,15,Left Center Midfield,78.9,42.0,4320.0,Neymar da Silva Santos Junior,8.657945,1.0,Ground Pass,77.9,33.4,Left Foot,
1867,2,48,56,30,Barcelona,Pass,123,Regular Play,4320,Neymar da Silva Santos Junior,21,Left Wing,87.2,30.2,5246.0,Luis Alberto Suárez Díaz,18.9,1.0,Ground Pass,106.1,30.2,Left Foot,Pass Offside
1902,2,51,27,30,Barcelona,Pass,128,From Free Kick,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,3.4,35.7,5203.0,Sergio Busquets i Burgos,20.415926,1.0,Ground Pass,23.4,31.6,Right Foot,
1904,2,51,39,30,Barcelona,Pass,128,From Free Kick,5203,Sergio Busquets i Burgos,15,Left Center Midfield,33.1,32.0,5506.0,Javier Alejandro Mascherano,5.341348,1.0,Ground Pass,36.4,27.8,Right Foot,
1907,2,51,43,30,Barcelona,Pass,128,From Free Kick,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,37.1,37.8,,,43.128296,3.0,High Pass,46.0,80.0,Right Foot,Injury Clearance
1914,2,53,22,30,Barcelona,Pass,130,Regular Play,4324,Daniel Alves da Silva,2,Right Back,19.7,77.7,5506.0,Javier Alejandro Mascherano,39.492783,1.0,Ground Pass,14.9,38.5,Left Foot,
1917,2,53,26,30,Barcelona,Pass,130,Regular Play,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,21.6,34.5,7068.0,Marc Bartra Aregall,28.434486,1.0,Ground Pass,36.2,10.1,Right Foot,
1920,2,53,29,30,Barcelona,Pass,130,Regular Play,7068,Marc Bartra Aregall,5,Left Center Back,37.7,9.7,5211.0,Jordi Alba Ramos,14.8556385,1.0,Ground Pass,51.5,4.2,Right Foot,
1923,2,53,33,30,Barcelona,Pass,130,Regular Play,5211,Jordi Alba Ramos,6,Left Back,53.9,5.9,5506.0,Javier Alejandro Mascherano,26.654268,1.0,Ground Pass,39.3,28.2,Left Foot,
1926,2,53,34,30,Barcelona,Pass,130,Regular Play,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,39.3,28.2,7068.0,Marc Bartra Aregall,17.901117,1.0,Ground Pass,39.5,10.3,Right Foot,
1929,2,53,36,30,Barcelona,Pass,130,Regular Play,7068,Marc Bartra Aregall,5,Left Center Back,36.8,12.0,4691.0,Claudio Andrés Bravo Muñoz,29.602196,1.0,Ground Pass,17.8,34.7,Right Foot,
1932,2,53,39,30,Barcelona,Pass,130,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,17.8,34.7,5213.0,Gerard Piqué Bernabéu,24.947947,1.0,Ground Pass,23.0,59.1,Right Foot,
1935,2,53,44,30,Barcelona,Pass,130,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,36.7,64.2,4324.0,Daniel Alves da Silva,28.520344,1.0,Ground Pass,61.2,78.8,Right Foot,
1938,2,53,46,30,Barcelona,Pass,130,Regular Play,4324,Daniel Alves da Silva,2,Right Back,63.6,77.7,5246.0,Luis Alberto Suárez Díaz,55.678543,3.0,High Pass,113.3,52.6,Right Foot,Incomplete
1945,2,54,16,30,Barcelona,Pass,131,From Throw In,5211,Jordi Alba Ramos,6,Left Back,35.7,0.1,7068.0,Marc Bartra Aregall,20.642189,2.0,Low Pass,16.8,8.4,,
1948,2,54,19,30,Barcelona,Pass,131,From Throw In,7068,Marc Bartra Aregall,5,Left Center Back,15.8,7.9,4691.0,Claudio Andrés Bravo Muñoz,30.043303,1.0,Ground Pass,6.6,36.5,Right Foot,
1951,2,54,23,30,Barcelona,Pass,131,From Throw In,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.3,37.9,4324.0,Daniel Alves da Silva,56.652008,3.0,High Pass,48.2,77.1,Right Foot,
1954,2,54,28,30,Barcelona,Pass,131,From Throw In,4324,Daniel Alves da Silva,2,Right Back,56.1,77.0,5470.0,Ivan Rakitić,8.469357,1.0,Ground Pass,52.8,69.2,Right Foot,
