id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,clearance,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,interception,counterpress,dribble,duel,ball_recovery,foul_won,block,foul_committed,bad_behaviour,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,related_events_2,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events,duel_type_id,duel_type_name,related_events_3,pass_aerial_won,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_switch,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,foul_committed_advantage,foul_won_advantage
5405a360-005e-408c-8686-7c8775d38a8f,3352,2,00:36:43.942,81,43,23,Goal Keeper,147,217,Barcelona,1,Regular Play,222,Villarreal,0.0,,f79cf1f4-5834-448b-a5ae-b07b61ac611f,,6755,Sergio Asenjo Andrés,1,Goalkeeper,0.8,33.1,,,,,,,,55.0,No Touch,46.0,Standing,42.0,Moving,26.0,Goal Conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfa9195c-743b-4df3-8e09-5ea194344400,3366,2,00:38:01.264,83,1,30,Pass,149,217,Barcelona,4,From Throw In,217,Barcelona,1.164499,,7e1c17ea-1f93-4612-bd0e-cc426c2b1461,,5211,Jordi Alba Ramos,6,Left Back,26.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,17.08391,1.7176602,2.0,Low Pass,23.8,17.9,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e1c17ea-1f93-4612-bd0e-cc426c2b1461,3367,2,00:38:02.428,83,2,42,Ball Receipt*,149,217,Barcelona,4,From Throw In,217,Barcelona,,,bfa9195c-743b-4df3-8e09-5ea194344400,,10609,Jérémy Mathieu,5,Left Center Back,23.8,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4eed7cb-b203-43fe-b0e3-a9b203865391,3368,2,00:38:02.428,83,2,43,Carry,149,217,Barcelona,4,From Throw In,217,Barcelona,1.470301,,353bcbf8-bdbe-400e-a534-cf2b058e2d63,,10609,Jérémy Mathieu,5,Left Center Back,23.8,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e1c17ea-1f93-4612-bd0e-cc426c2b1461,24.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353bcbf8-bdbe-400e-a534-cf2b058e2d63,3369,2,00:38:03.899,83,3,30,Pass,149,217,Barcelona,4,From Throw In,217,Barcelona,0.773295,,18561be2-ce58-4a59-9635-a6c7ba76d347,,10609,Jérémy Mathieu,5,Left Center Back,24.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,11.407016,-1.6058697,1.0,Ground Pass,23.6,6.7,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18561be2-ce58-4a59-9635-a6c7ba76d347,3370,2,00:38:04.672,83,4,42,Ball Receipt*,149,217,Barcelona,4,From Throw In,217,Barcelona,,,353bcbf8-bdbe-400e-a534-cf2b058e2d63,,5211,Jordi Alba Ramos,6,Left Back,23.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fac5d0e0-f2aa-471b-a1aa-709feaa2439a,3371,2,00:38:04.672,83,4,43,Carry,149,217,Barcelona,4,From Throw In,217,Barcelona,1.966905,,18561be2-ce58-4a59-9635-a6c7ba76d347,,5211,Jordi Alba Ramos,6,Left Back,23.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281229dd-e227-4d1e-90dc-5707e4109d5d,26.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281229dd-e227-4d1e-90dc-5707e4109d5d,3372,2,00:38:06.639,83,6,30,Pass,149,217,Barcelona,4,From Throw In,217,Barcelona,2.3336,,d54f00fd-5772-4745-af3b-9b2222762e91,,5211,Jordi Alba Ramos,6,Left Back,26.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.132526,0.33226267,3.0,High Pass,71.8,20.5,,,,,,,38.0,Left Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d54f00fd-5772-4745-af3b-9b2222762e91,3373,2,00:38:08.972,83,8,30,Pass,149,217,Barcelona,4,From Throw In,222,Villarreal,0.612466,,281229dd-e227-4d1e-90dc-5707e4109d5d,,7034,Mateo Pablo Musacchio,3,Right Center Back,49.2,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,22819.0,Bruno Soriano Llido,9.476286,-0.8003224,2.0,Low Pass,55.8,53.7,66.0,Recovery,,a3071a6c-c54b-4df3-9fae-1082d272579f,,,37.0,Head,9.0,Incomplete,e3d07fde-bf9c-44e3-b43e-f9566a033780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3071a6c-c54b-4df3-9fae-1082d272579f,3374,2,00:38:09.585,83,9,42,Ball Receipt*,149,217,Barcelona,4,From Throw In,222,Villarreal,,,d54f00fd-5772-4745-af3b-9b2222762e91,,22819,Bruno Soriano Llido,10,Center Defensive Midfield,58.2,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
