id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,counterpress,clearance,out,foul_committed,interception,foul_won,dribble,duel,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,miscontrol,block,ball_recovery,substitution,bad_behaviour,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,related_events_3,related_events_4,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_type_id,pass_type_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cross,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,location,bad_behaviour_card_id,bad_behaviour_card_name,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,clearance_head
639140cc-e401-4256-ba63-81c5e382dc49,3807,2,00:46:05.915,91,5,10,Interception,169,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,6741f1f4-1f09-467b-b178-e2e8c2c471db,,3958,Pedro Eliezer Rodríguez Ledesma,17,Right Wing,87.7,57.3,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,
caa5ed3b-211e-4151-a5c1-f09644e57cb2,3808,2,00:46:05.915,91,5,43,Carry,169,217,Barcelona,1,Regular Play,217,Barcelona,2.9667,,2351ad28-4965-45c5-9e11-9c63f4f6fd46,,3958,Pedro Eliezer Rodríguez Ledesma,17,Right Wing,87.7,57.3,,,,True,,,,,,,,,,,,,,,,,,,,,,,,639140cc-e401-4256-ba63-81c5e382dc49,be6945cd-9edd-49cc-ac8e-1fbb7e482377,93.6,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351ad28-4965-45c5-9e11-9c63f4f6fd46,3809,2,00:46:07.969,91,7,17,Pressure,169,217,Barcelona,1,Regular Play,215,Athletic Club,1.0013,,16daa03e-2c17-4208-a9fd-e3352d876110,,6389,Mikel San José Domínguez,13,Right Center Midfield,24.6,21.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,be6945cd-9edd-49cc-ac8e-1fbb7e482377,caa5ed3b-211e-4151-a5c1-f09644e57cb2,,,fe5c9c1e-1066-4c9b-8e1b-def54d65cc1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a01f3fda-2cbe-4718-8b86-c841d56071ca,3810,2,00:46:08.882,91,8,22,Foul Committed,169,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,,be6945cd-9edd-49cc-ac8e-1fbb7e482377,,6389,Mikel San José Domínguez,13,Right Center Midfield,26.5,21.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,fe5c9c1e-1066-4c9b-8e1b-def54d65cc1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
be6945cd-9edd-49cc-ac8e-1fbb7e482377,3811,2,00:46:08.882,91,8,21,Foul Won,169,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,2351ad28-4965-45c5-9e11-9c63f4f6fd46,,3958,Pedro Eliezer Rodríguez Ledesma,17,Right Wing,93.6,58.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,a01f3fda-2cbe-4718-8b86-c841d56071ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
fe5c9c1e-1066-4c9b-8e1b-def54d65cc1b,3812,2,00:46:08.882,91,8,43,Carry,169,217,Barcelona,1,Regular Play,217,Barcelona,0.0674,,16daa03e-2c17-4208-a9fd-e3352d876110,,3958,Pedro Eliezer Rodríguez Ledesma,17,Right Wing,93.6,58.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,2351ad28-4965-45c5-9e11-9c63f4f6fd46,a01f3fda-2cbe-4718-8b86-c841d56071ca,92.4,59.6,be6945cd-9edd-49cc-ac8e-1fbb7e482377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16daa03e-2c17-4208-a9fd-e3352d876110,3813,2,00:46:08.949,91,8,30,Pass,169,217,Barcelona,1,Regular Play,217,Barcelona,2.3667,,1e846b44-80b8-4a2b-ab6e-07a60788162f,,3958,Pedro Eliezer Rodríguez Ledesma,17,Right Wing,92.4,59.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,2351ad28-4965-45c5-9e11-9c63f4f6fd46,,,,,,6998.0,Rafael Alcântara do Nascimento,21.09526,-1.9090371,1.0,Ground Pass,85.4,39.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e846b44-80b8-4a2b-ab6e-07a60788162f,3814,2,00:46:11.316,91,11,42,Ball Receipt*,169,217,Barcelona,1,Regular Play,217,Barcelona,,,16daa03e-2c17-4208-a9fd-e3352d876110,,6998,Rafael Alcântara do Nascimento,15,Left Center Midfield,85.4,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dc7f6a0-ad83-469d-b0a1-868dba3d790e,3815,2,00:46:11.316,91,11,30,Pass,169,217,Barcelona,1,Regular Play,217,Barcelona,0.9481,,6ccf357f-419f-439e-9d9e-dfc8b0f1952e,,6998,Rafael Alcântara do Nascimento,15,Left Center Midfield,84.4,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,9.780082,-2.2183874,1.0,Ground Pass,78.5,32.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ccf357f-419f-439e-9d9e-dfc8b0f1952e,3816,2,00:46:12.264,91,12,42,Ball Receipt*,169,217,Barcelona,1,Regular Play,217,Barcelona,,,3dc7f6a0-ad83-469d-b0a1-868dba3d790e,,5211,Jordi Alba Ramos,6,Left Back,78.5,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
