id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,clearance,dribble,counterpress,duel,interception,out,off_camera,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery,miscontrol,foul_committed,foul_won,injury_stoppage,bad_behaviour,substitution,50_50,block,related_events,location,goalkeeper,bad_behaviour_card_id,bad_behaviour_card_name,player,position
930c6e2a-8cab-4e1d-a8b0-589a6490cd65,3426,2,00:47:14.916,92,14,23,Goal Keeper,170,217,Barcelona,1,Regular Play,403,Almería,0.0,,e829a009-9a00-4896-a653-fdd33f319808,27460.0,Julián Cuesta Díaz,1.0,Goalkeeper,7.9,51.5,,,,,,,,,,,,,46.0,Standing,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,
1f2cc2f8-54fe-4cb8-ab5a-158d540ff44e,3427,2,00:47:53.818,92,53,24,Bad Behaviour,170,217,Barcelona,1,Regular Play,403,Almería,0.0,,,26435.0,Fernando Soriano Marco,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Yellow Card,,
42a6462e-d70a-4152-ab65-6af0482f7f1b,3428,2,00:48:07.228,93,7,34,Half End,170,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,076ce2c0-4766-4e50-acdb-61007b1f4b40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076ce2c0-4766-4e50-acdb-61007b1f4b40,3429,2,00:48:07.228,93,7,34,Half End,170,217,Barcelona,1,Regular Play,403,Almería,0.0,,42a6462e-d70a-4152-ab65-6af0482f7f1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
