id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,counterpress,clearance,out,foul_committed,interception,foul_won,dribble,duel,shot,goalkeeper,miscontrol,block,ball_recovery,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,pass_aerial_won,related_events,pass_switch,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate
fac98119-ed85-490a-8b9d-38c93ddf8602,2602,2,00:17:51.090,62,51,43,Carry,129,217,Barcelona,1,Regular Play,217,Barcelona,2.039984,,5e9e88e8-0917-425a-9d01-40e8957c447c,,5213,Gerard Piqué Bernabéu,3,Right Center Back,34.8,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74fddcc3-0d24-467b-bece-e3d5af1222ff,35.8,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e9e88e8-0917-425a-9d01-40e8957c447c,2603,2,00:17:53.130,62,53,30,Pass,129,217,Barcelona,1,Regular Play,217,Barcelona,2.8086,,97c5e670-80f2-4222-bd7f-e0124bd355eb,,5213,Gerard Piqué Bernabéu,3,Right Center Back,35.8,60.2,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,55.040802,-0.16425262,3.0,High Pass,90.1,51.2,40.0,Right Foot,,,cc678830-8dfb-4d7d-855f-3c104599afc6,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc678830-8dfb-4d7d-855f-3c104599afc6,2604,2,00:17:55.938,62,55,42,Ball Receipt*,129,217,Barcelona,1,Regular Play,217,Barcelona,,,5e9e88e8-0917-425a-9d01-40e8957c447c,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,86.1,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97c5e670-80f2-4222-bd7f-e0124bd355eb,2605,2,00:17:55.938,62,55,9,Clearance,129,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,,5e9e88e8-0917-425a-9d01-40e8957c447c,,6788,Xabier Etxeita Gorritxategi,3,Right Center Back,30.0,28.9,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cad13482-856f-430e-8cc8-e86cba46ee95,2606,2,00:17:57.711,62,57,4,Duel,129,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,cd2c43a8-942d-4203-b010-d19c0ce6b635,,5246,Luis Alberto Suárez Díaz,23,Center Forward,77.2,72.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd2c43a8-942d-4203-b010-d19c0ce6b635,2607,2,00:17:57.711,62,57,30,Pass,129,217,Barcelona,1,Regular Play,215,Athletic Club,0.6316,,cad13482-856f-430e-8cc8-e86cba46ee95,,26788,Jon Aurtenetxe Borde,6,Left Back,42.9,7.5,,,,True,,,,,,,,,,,,,,,,6656.0,Mikel Rico Moreno,9.94887,0.8850668,3.0,High Pass,49.2,15.2,,,66.0,Recovery,f4fb3481-80e6-496c-b71f-0aa431078130,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4fb3481-80e6-496c-b71f-0aa431078130,2608,2,00:17:58.343,62,58,42,Ball Receipt*,129,217,Barcelona,1,Regular Play,215,Athletic Club,,,cd2c43a8-942d-4203-b010-d19c0ce6b635,,6656,Mikel Rico Moreno,13,Right Center Midfield,49.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f03f697d-ebd5-4932-95f4-f8c75b0a505c,2609,2,00:17:58.343,62,58,43,Carry,129,217,Barcelona,1,Regular Play,215,Athletic Club,0.5049,,b0017987-747e-4da3-8ae1-a105059ac610,,6656,Mikel Rico Moreno,13,Right Center Midfield,49.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4fb3481-80e6-496c-b71f-0aa431078130,48.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0017987-747e-4da3-8ae1-a105059ac610,2610,2,00:17:58.848,62,58,38,Miscontrol,129,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,,,,6656,Mikel Rico Moreno,13,Right Center Midfield,48.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3935228a-b42c-4e4d-8f7a-c5d591d9dc44,2611,2,00:18:00.344,63,0,17,Pressure,129,217,Barcelona,1,Regular Play,215,Athletic Club,1.3426,,,,6656,Mikel Rico Moreno,13,Right Center Midfield,54.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
