id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,clearance,duel,dribble,interception,out,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,foul_won,off_camera,foul_committed,50_50,ball_recovery,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,related_events_2,related_events_3,carry_end_location_0,carry_end_location_1,pass_body_part_id,pass_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,related_events_4,related_events_5,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_6,related_events_7,pass_switch,interception_outcome_id,interception_outcome_name,related_events,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name
0a2fe28f-97fe-464b-b93b-6613b2f54e8c,3442,2,00:45:09.298,90,9,17,Pressure,173,217,Barcelona,3,From Free Kick,210,Real Sociedad,1.01317,,50372945-ffa3-4c1a-806e-0e74785f0393,8724,Carlos Martínez Díez,2,Right Back,49.7,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e6a40be-3304-49eb-8615-9ca04a8985d1,3443,2,00:45:10.485,90,10,3,Dispossessed,173,217,Barcelona,3,From Free Kick,217,Barcelona,0.0,,8a8dcd48-973a-4007-8595-16ab6268530d,4320,Neymar da Silva Santos Junior,21,Left Wing,68.5,20.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a53306f2-2381-4c49-ba0b-2a6fd92e3a33,3463,2,00:45:25.996,90,25,23,Goal Keeper,175,217,Barcelona,8,From Keeper,217,Barcelona,0.0,,46bea9c3-5533-4924-b076-c767be9cfc88,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,2.5,40.1,,,,,,,,,,,,25.0,Collected,15.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38e51dbf-7f44-4c06-b0cc-6c56b5ab9495,3464,2,00:45:25.996,90,25,43,Carry,175,217,Barcelona,8,From Keeper,217,Barcelona,5.316925,,a53306f2-2381-4c49-ba0b-2a6fd92e3a33,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,2.5,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b0c07ad7-5c01-4907-994d-c2350bca312c,,,4.7,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0c07ad7-5c01-4907-994d-c2350bca312c,3465,2,00:45:31.313,90,31,30,Pass,175,217,Barcelona,8,From Keeper,217,Barcelona,4.271634,,950040fc-0279-43cd-ad42-f74e5f320c35,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,4.7,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,33.373043,0.24207169,2.0,Low Pass,37.1,48.8,,,,,,,,,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950040fc-0279-43cd-ad42-f74e5f320c35,3466,2,00:45:35.584,90,35,42,Ball Receipt*,175,217,Barcelona,8,From Keeper,217,Barcelona,,,b0c07ad7-5c01-4907-994d-c2350bca312c,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,37.1,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e5553b9-eaaa-4e4f-8f5e-45dfc872ed41,3467,2,00:45:35.584,90,35,43,Carry,175,217,Barcelona,8,From Keeper,217,Barcelona,6.412766,,2b7f5358-0695-445d-bfba-b3eb50af3955,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,37.1,48.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950040fc-0279-43cd-ad42-f74e5f320c35,f9006901-15da-4e80-9de4-33ccb4cfba89,,54.5,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9006901-15da-4e80-9de4-33ccb4cfba89,3468,2,00:45:38.624,90,38,17,Pressure,175,217,Barcelona,8,From Keeper,210,Real Sociedad,1.0994,,5e5553b9-eaaa-4e4f-8f5e-45dfc872ed41,6899,Rubén Pardo Gutiérrez,9,Right Defensive Midfield,71.4,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b9142f2-ad24-4213-a1e2-da8ce08115e6,3469,2,00:45:41.384,90,41,17,Pressure,175,217,Barcelona,8,From Keeper,210,Real Sociedad,0.7228,,2b7f5358-0695-445d-bfba-b3eb50af3955,6770,Esteban Félix Granero Molina,19,Center Attacking Midfield,65.6,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b7f5358-0695-445d-bfba-b3eb50af3955,3470,2,00:45:41.997,90,41,30,Pass,175,217,Barcelona,8,From Keeper,217,Barcelona,1.542211,,0b9142f2-ad24-4213-a1e2-da8ce08115e6,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,54.5,45.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,30.320456,1.3106189,1.0,Ground Pass,62.3,74.9,,,,3acc61f8-7d3d-40ed-9cf2-81346f98ac33,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
