id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,out,under_pressure,clearance,duel,counterpress,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,dribble,foul_committed,foul_won,off_camera,interception,block,ball_recovery,substitution,50_50,miscontrol,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,related_events_3,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events_4,dribble_overrun,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,clearance_right_foot,50_50_outcome_id,50_50_outcome_name
59fdf507-5ba4-48cb-b785-8dbac35dd6a5,3602,2,00:35:49.684,80,49,23,Goal Keeper,149,217,Barcelona,3,From Free Kick,214,Espanyol,0.0,,4f2d9dae-c29f-4a61-8aad-ed236abd8a79,6706.0,Francisco Casilla Cortés,1.0,Goalkeeper,2.9,36.4,,,,,,,,,,26.0,Goal Conceded,55.0,No Touch,46.0,Standing,42.0,Moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8502c2f-8914-4ffd-9651-253952b1a700,3603,2,00:36:54.817,81,54,19,Substitution,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.0,,,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,10609.0,Jérémy Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a9ab4e1-cb05-45ec-8203-a13a46b8dfee,3604,2,00:37:10.387,82,10,19,Substitution,149,217,Barcelona,3,From Free Kick,214,Espanyol,0.0,,,3324.0,Eric Bertrand Bailly,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,27148.0,Abraham González Casanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a17aa34f-22f8-4bd9-a2fd-7306412ada3b,3605,2,00:37:12.052,82,12,36,Tactical Shift,149,217,Barcelona,3,From Free Kick,214,Espanyol,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.0,6706.0,Francisco Casilla Cortés,1.0,Goalkeeper,13.0,6709.0,Anaitz Arbilla Zabala,2.0,Right Back,23.0,6762.0,Álvaro González Soberón,3.0,Right Center Back,22.0,5573.0,Héctor Alfredo Moreno Herrera,5.0,Left Center Back,15.0,4741.0,Juan Rafael Fuentes Hernández,6.0,Left Back,18.0,5200.0,Lucas Vázquez Iglesias,12.0,Right Midfield,17.0,24072.0,Salvador Sevilla López,13.0,Right Center Midfield,6.0,27148.0,Abraham González Casanova,15.0,Left Center Midfield,10.0,6758.0,Víctor Sánchez Mata,16.0,Left Midfield,4.0,6351.0,Cristhian Ricardo Stuani Curbelo,22.0,Right Center Forward,8.0,6767.0,Sergio García De La Fuente,24.0,Left Center Forward,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fcc8c82-f6c6-4847-b45e-d07dd828fdfe,3606,2,00:37:16.341,82,16,36,Tactical Shift,149,217,Barcelona,3,From Free Kick,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,13.0,4324.0,Daniel Alves da Silva,2.0,Right Back,22.0,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,3.0,10609.0,Jérémy Mathieu,5.0,Left Center Back,24.0,5211.0,Jordi Alba Ramos,6.0,Left Back,18.0,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,14.0,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,8.0,20131.0,Xavier Hernández Creus,15.0,Left Center Midfield,6.0,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,10.0,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,11.0,3958.0,Pedro Eliezer Rodríguez Ledesma,23.0,Center Forward,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b88970f-7cf0-4e84-993c-1d28464ba01e,3634,2,00:37:39.237,82,39,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.1782,,51ba4407-b846-4783-840c-5d499b491761,10609.0,Jérémy Mathieu,5.0,Left Center Back,41.5,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944dbe32-3140-4738-be11-b398399184e3,5211.0,Jordi Alba Ramos,22.99413,-0.8192314,1.0,Ground Pass,57.2,7.9,38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944dbe32-3140-4738-be11-b398399184e3,3635,2,00:37:40.415,82,40,42,Ball Receipt*,151,217,Barcelona,1,Regular Play,217,Barcelona,,,3b88970f-7cf0-4e84-993c-1d28464ba01e,5211.0,Jordi Alba Ramos,6.0,Left Back,57.2,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a76261a-6e0a-4c7b-903f-e74c62b5f6b2,3636,2,00:37:40.415,82,40,43,Carry,151,217,Barcelona,1,Regular Play,217,Barcelona,0.9023,,944dbe32-3140-4738-be11-b398399184e3,5211.0,Jordi Alba Ramos,6.0,Left Back,57.2,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1fcc6d2-85d7-4c9c-a46a-b3b5d51d609b,,,,,,,,,,,,,57.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
f1fcc6d2-85d7-4c9c-a46a-b3b5d51d609b,3637,2,00:37:41.318,82,41,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.8699,,c367479e-6d59-4897-bcad-4f2e172e5ca7,5211.0,Jordi Alba Ramos,6.0,Left Back,57.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,9.339165,1.7975951,1.0,Ground Pass,55.3,17.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c367479e-6d59-4897-bcad-4f2e172e5ca7,3638,2,00:37:42.188,82,42,42,Ball Receipt*,151,217,Barcelona,1,Regular Play,217,Barcelona,,,f1fcc6d2-85d7-4c9c-a46a-b3b5d51d609b,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,55.3,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
