id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,interception,counterpress,duel,off_camera,out,clearance,dribble,ball_recovery,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_won,foul_committed,block,50_50,bad_behaviour,substitution,interception_outcome_id,interception_outcome_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,related_events,dribble_outcome_id,dribble_outcome_name,dribble_no_touch,related_events_2,related_events_3,foul_committed_card_id,foul_committed_card_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_outswinging,pass_technique_id,pass_technique_name,pass_outcome_id,pass_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_end_location_2,shot_key_pass_id,shot_first_time,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,pass_inswinging,clearance_aerial_won
72792c79-3234-4e04-a437-286ae6a4234d,917,1,00:20:17.245,20,17,42,Ball Receipt*,40,217,Barcelona,1,Regular Play,217,Barcelona,,,a5419030-6b59-4255-b5f8-6cb0075d9674,5246,Luis Alberto Suárez Díaz,23,Center Forward,60.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69a5941c-3c99-4270-ae25-90453c0811de,918,1,00:20:17.245,20,17,43,Carry,40,217,Barcelona,1,Regular Play,217,Barcelona,0.2596,,031a4823-4594-4c31-a84a-6b4f7ef2f093,5246,Luis Alberto Suárez Díaz,23,Center Forward,60.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72792c79-3234-4e04-a437-286ae6a4234d,57.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031a4823-4594-4c31-a84a-6b4f7ef2f093,919,1,00:20:17.505,20,17,14,Dribble,40,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,f0e03414-af18-4031-89a6-e604cbdb8c15,5246,Luis Alberto Suárez Díaz,23,Center Forward,57.8,9.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0e03414-af18-4031-89a6-e604cbdb8c15,920,1,00:20:17.505,20,17,4,Duel,40,217,Barcelona,1,Regular Play,220,Real Madrid,0.0,,031a4823-4594-4c31-a84a-6b4f7ef2f093,20016,Kléper Laveran Lima Ferreira,3,Right Center Back,62.3,70.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,17.0,Success Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36daad16-1a64-4427-88b9-5e2b4ae87a57,929,1,00:20:31.454,20,31,2,Ball Recovery,42,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,23d2904a-c428-48dc-8fcd-fa5a10415d1a,4320,Neymar da Silva Santos Junior,21,Left Wing,54.9,12.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6b8c41-b3ce-4527-ac91-0840fe47134d,930,1,00:20:31.454,20,31,43,Carry,42,217,Barcelona,1,Regular Play,217,Barcelona,1.396838,,23d2904a-c428-48dc-8fcd-fa5a10415d1a,4320,Neymar da Silva Santos Junior,21,Left Wing,54.9,12.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,36daad16-1a64-4427-88b9-5e2b4ae87a57,50.9,12.9,,,,,,,,,,,,,,,,,,,,,a5b0f168-3c14-442d-ada2-94675881c96c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5b0f168-3c14-442d-ada2-94675881c96c,931,1,00:20:32.851,20,32,30,Pass,42,217,Barcelona,1,Regular Play,217,Barcelona,1.44973,,124d2309-b0e3-4d32-b1fb-0fdc5e5150b5,4320,Neymar da Silva Santos Junior,21,Left Wing,50.9,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,15.742935,2.0458071,1.0,Ground Pass,43.7,26.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124d2309-b0e3-4d32-b1fb-0fdc5e5150b5,932,1,00:20:34.301,20,34,42,Ball Receipt*,42,217,Barcelona,1,Regular Play,217,Barcelona,,,a5b0f168-3c14-442d-ada2-94675881c96c,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,43.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169dc70a-cf18-4781-8aa8-818f5236dd14,933,1,00:20:34.301,20,34,43,Carry,42,217,Barcelona,1,Regular Play,217,Barcelona,3.51177,,11ef1027-3d6f-45c2-844a-6bfe6e30bdc7,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,43.7,26.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,124d2309-b0e3-4d32-b1fb-0fdc5e5150b5,57.0,44.9,,,,,,,,,,,,,,,,,,,,,b42b1026-4cc0-421c-9318-e1c9836b4fe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b42b1026-4cc0-421c-9318-e1c9836b4fe2,934,1,00:20:37.223,20,37,17,Pressure,42,217,Barcelona,1,Regular Play,220,Real Madrid,1.176666,,11ef1027-3d6f-45c2-844a-6bfe6e30bdc7,5574,Toni Kroos,10,Center Defensive Midfield,62.3,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169dc70a-cf18-4781-8aa8-818f5236dd14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
