,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
6852,3.0,,1,5.0,,1,0.65,,1,0.04,,1,0.56,,1,0.28,,1,2.0,,1
11542,4.0,,1,3.0,,1,0.68,,1,0.03,,1,0.64,,1,0.35,,1,3.0,,1
26848,8.0,,1,8.0,,1,0.34,,1,0.44,,1,0.9,,1,0.53,,1,2.0,,1
23761,4.0,,1,3.0,,1,0.66,,1,0.04,,1,0.64,,1,0.33,,1,3.0,,1
24138,4.0,,1,4.0,,1,0.5,,1,0.13,,1,0.64,,1,0.31,,1,3.0,,1
11298,4.0,,1,3.0,,1,0.72,,1,0.02,,1,0.6,,1,0.35,,1,2.0,,1
27144,3.0,,1,3.0,,1,0.62,,1,0.02,,1,0.56,,1,0.22,,1,2.0,,1
26222,4.0,,1,5.0,,1,0.5,,1,0.14,,1,0.6,,1,0.32,,1,2.0,,1
10612,1.0,,1,2.0,,1,1.0,,1,0.0,,1,0.41,,1,0.08,,1,2.0,,1
7900,2.0,,1,1.0,,1,1.0,,1,0.0,,1,0.56,,1,0.2,,1,4.0,,1
