,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
26685,5.0,3.0,3,3.0,2.65,3,0.8,,1,0.01,,1,0.5,,1,0.22,,1,3.0,,1
26848,7.5,3.16,8,7.12,3.09,8,0.23,,1,0.19,,1,0.55,,1,0.39,,1,4.0,,1
4711,6.0,2.45,4,5.25,2.87,4,0.08,,1,0.18,,1,0.55,,1,0.35,,1,3.0,,1
18404,3.5,3.54,2,4.0,4.24,2,0.0,,1,0.09,,1,0.31,,1,0.26,,1,2.0,,1
6914,3.33,1.51,6,4.17,2.79,6,0.08,,1,0.21,,1,0.5,,1,0.36,,1,3.0,,1
24138,3.25,1.5,4,3.75,2.75,4,0.18,,1,0.3,,1,0.63,,1,0.44,,1,4.0,,1
11539,5.5,2.43,6,4.0,1.9,6,0.11,,1,0.13,,1,0.57,,1,0.4,,1,3.0,,1
7900,4.5,3.27,6,3.33,2.66,6,0.75,,1,0.01,,1,0.56,,1,0.27,,1,3.0,,1
6713,5.57,2.94,7,5.86,2.85,7,0.0,,1,0.04,,1,0.28,,1,0.26,,1,2.0,,1
6852,5.57,3.1,7,5.0,3.11,7,0.35,,1,0.07,,1,0.44,,1,0.19,,1,4.0,,1
24255,2.0,1.87,5,4.0,2.45,5,0.0,,1,0.0,,1,0.0,,1,0.17,,1,3.0,,1
11542,5.0,3.41,6,3.67,2.5,6,0.08,,1,0.04,,1,0.4,,1,0.12,,1,4.0,,1
10727,7.5,2.12,2,7.5,0.71,2,0.72,,1,0.03,,1,0.85,,1,0.31,,1,2.0,,1
27144,6.0,0.0,2,8.5,0.71,2,0.66,,1,0.04,,1,0.71,,1,0.26,,1,2.0,,1
11298,5.2,3.7,5,5.6,2.88,5,0.2,,1,0.05,,1,0.31,,1,0.04,,1,3.0,,1
26070,3.5,2.12,2,6.5,2.12,2,0.86,,1,0.01,,1,0.65,,1,0.18,,1,2.0,,1
26607,4.8,2.77,5,5.8,3.03,5,0.17,,1,0.13,,1,0.41,,1,0.14,,1,3.0,,1
26222,6.33,1.53,3,8.0,2.65,3,0.35,,1,0.21,,1,0.67,,1,0.36,,1,2.0,,1
23761,5.0,1.41,2,4.0,1.41,2,0.26,,1,0.15,,1,0.52,,1,0.35,,1,3.0,,1
26690,0.67,0.58,3,0.67,0.58,3,1.0,,1,0.0,,1,0.41,,1,0.13,,1,4.0,,1
6743,2.5,2.12,2,3.0,2.83,2,0.5,,1,0.07,,1,0.22,,1,0.32,,1,2.0,,1
26797,3.5,3.54,2,2.5,0.71,2,0.17,,1,0.2,,1,0.29,,1,0.44,,1,3.0,,1
11543,1.0,,1,1.0,,1,0.0,,1,0.0,,1,0.36,,1,0.11,,1,4.0,,1
10612,2.0,,1,2.0,,1,0.2,,1,0.02,,1,0.41,,1,0.13,,1,5.0,,1
