,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
11542,3.0,,1,2.0,,1,1.0,,1,0.0,,1,0.62,,1
6852,6.0,,1,6.0,,1,0.41,,1,0.25,,1,0.8,,1
26848,6.0,,1,5.0,,1,0.41,,1,0.29,,1,0.8,,1
26222,2.0,,1,4.0,,1,0.62,,1,0.04,,1,0.5,,1
11298,2.0,,1,2.0,,1,0.8,,1,0.02,,1,0.53,,1
27144,2.0,,1,2.0,,1,1.0,,1,0.0,,1,0.5,,1
24138,5.0,,1,5.0,,1,0.51,,1,0.11,,1,0.73,,1
7900,3.0,,1,2.0,,1,1.0,,1,0.0,,1,0.62,,1
10612,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
