,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
11542,5.5,0.71,2,4.5,0.71,2,0.51,,1,0.07,,1,0.8,,1,0.37,,1,2.0,,1
26222,4.0,1.41,2,3.5,0.71,2,0.61,,1,0.06,,1,0.73,,1,0.36,,1,2.0,,1
26848,6.5,0.71,2,6.0,0.0,2,0.51,,1,0.12,,1,0.89,,1,0.45,,1,2.0,,1
6713,3.0,,1,4.0,,1,0.68,,1,0.02,,1,0.56,,1,0.27,,1,3.0,,1
10727,3.0,,1,5.0,,1,0.44,,1,0.08,,1,0.56,,1,0.16,,1,2.0,,1
11543,2.0,,1,4.0,,1,0.23,,1,0.06,,1,0.43,,1,0.05,,1,2.0,,1
6852,6.0,0.0,2,6.0,1.41,2,0.53,,1,0.12,,1,0.8,,1,0.41,,1,2.0,,1
11539,7.0,,1,3.0,,1,0.43,,1,0.07,,1,0.77,,1,0.42,,1,3.0,,1
9246,3.0,,1,5.0,,1,0.58,,1,0.05,,1,0.59,,1,0.26,,1,3.0,,1
26070,2.0,,1,2.0,,1,0.0,,1,0.04,,1,0.45,,1,0.07,,1,3.0,,1
23761,4.5,2.12,2,4.0,0.0,2,0.68,,1,0.01,,1,0.62,,1,0.26,,1,2.0,,1
10612,3.0,,1,5.0,,1,0.61,,1,0.05,,1,0.62,,1,0.2,,1,2.0,,1
27144,4.0,,1,4.0,,1,0.63,,1,0.05,,1,0.67,,1,0.28,,1,2.0,,1
11298,4.0,,1,4.0,,1,0.66,,1,0.04,,1,0.67,,1,0.33,,1,2.0,,1
24138,4.0,,1,4.0,,1,0.69,,1,0.02,,1,0.67,,1,0.27,,1,2.0,,1
