,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5503,2.0,0.0,2,3.5,2.12,2,0.17,,1,0.14,,1,0.29,,1
5246,3.5,3.54,2,2.0,1.41,2,0.0,,1,0.03,,1,0.3,,1
5203,4.0,4.24,2,4.0,2.83,2,0.0,,1,0.03,,1,0.26,,1
5213,2.0,,1,3.0,,1,0.22,,1,0.12,,1,0.46,,1
5216,5.0,,1,3.0,,1,0.5,,1,0.06,,1,0.58,,1
10609,3.0,1.41,2,1.5,2.12,2,1.0,,1,0.0,,1,0.42,,1
6379,2.0,1.41,2,3.0,0.0,2,0.31,,1,0.27,,1,0.49,,1
4691,1.0,1.41,2,2.5,0.71,2,0.5,,1,0.0,,1,0.0,,1
5506,0.0,,1,2.0,,1,0.0,,1,0.0,,1,0.0,,1
4324,2.0,1.41,2,2.0,2.83,2,0.05,,1,0.34,,1,0.36,,1
6616,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.34,,1
5211,2.0,,1,3.0,,1,0.33,,1,0.27,,1,0.36,,1
4320,4.0,,1,2.0,,1,0.32,,1,0.08,,1,0.54,,1
5470,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.31,,1
