,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4691,1.0,0.0,3,2.0,1.0,3,1.0,,1,0.0,,1,0.43,,1,0.08,,1,3.0,,1
4324,3.5,3.54,2,3.5,3.54,2,0.0,,1,0.29,,1,0.23,,1,0.34,,1,3.0,,1
5203,4.33,3.06,3,4.33,2.89,3,0.48,,1,0.08,,1,0.67,,1,0.3,,1,2.0,,1
7068,4.0,3.46,3,3.67,2.31,3,0.37,,1,0.19,,1,0.71,,1,0.38,,1,2.0,,1
5506,3.67,2.31,3,3.33,2.08,3,0.45,,1,0.07,,1,0.67,,1,0.32,,1,3.0,,1
5470,5.0,,1,5.0,,1,0.68,,1,0.03,,1,0.65,,1,0.33,,1,3.0,,1
5503,3.0,2.65,3,3.0,1.73,3,1.0,,1,0.0,,1,0.43,,1,0.2,,1,3.0,,1
6379,6.0,2.65,3,4.67,1.15,3,0.47,,1,0.09,,1,0.53,,1,0.34,,1,3.0,,1
5211,2.5,0.71,2,2.5,0.71,2,0.25,,1,0.09,,1,0.53,,1,0.29,,1,3.0,,1
4320,3.33,1.53,3,3.67,0.58,3,0.33,,1,0.17,,1,0.47,,1,0.27,,1,3.0,,1
22102,3.0,,1,4.0,,1,0.53,,1,0.08,,1,0.58,,1,0.21,,1,3.0,,1
5246,2.0,1.0,3,2.0,1.73,3,0.42,,1,0.02,,1,0.56,,1,0.23,,1,3.0,,1
11094,2.67,1.53,3,2.67,2.31,3,0.42,,1,0.2,,1,0.6,,1,0.44,,1,3.0,,1
5213,4.5,0.71,2,4.5,0.71,2,0.36,,1,0.18,,1,0.6,,1,0.36,,1,4.0,,1
6400,4.0,1.41,2,3.5,2.12,2,0.88,,1,0.0,,1,0.5,,1,0.35,,1,4.0,,1
5216,3.5,0.71,2,4.5,0.71,2,0.32,,1,0.31,,1,0.6,,1,0.38,,1,2.0,,1
10609,3.0,,1,3.0,,1,0.17,,1,0.12,,1,0.56,,1,0.3,,1,3.0,,1
6616,1.0,,1,1.0,,1,0.0,,1,0.03,,1,0.38,,1,0.08,,1,4.0,,1
