,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4320,8.0,,1,5.0,,1,0.5,,1,0.08,,1,0.79,,1,0.37,,1,2.0,,1
5246,8.0,,1,5.0,,1,0.58,,1,0.06,,1,0.79,,1,0.39,,1,3.0,,1
4324,6.0,,1,7.0,,1,0.55,,1,0.07,,1,0.69,,1,0.28,,1,2.0,,1
5213,7.0,,1,7.0,,1,0.48,,1,0.15,,1,0.73,,1,0.28,,1,2.0,,1
20055,1.0,,1,4.0,,1,0.67,,1,0.0,,1,0.44,,1,0.05,,1,3.0,,1
6616,5.0,,1,4.0,,1,0.68,,1,0.01,,1,0.65,,1,0.26,,1,3.0,,1
5506,7.0,,1,8.0,,1,0.49,,1,0.09,,1,0.73,,1,0.28,,1,2.0,,1
5203,3.0,,1,4.0,,1,0.76,,1,0.01,,1,0.58,,1,0.17,,1,2.0,,1
10609,3.0,,1,5.0,,1,0.73,,1,0.01,,1,0.52,,1,0.15,,1,2.0,,1
5216,7.0,,1,9.0,,1,0.51,,1,0.09,,1,0.73,,1,0.33,,1,2.0,,1
5503,7.0,,1,4.0,,1,0.65,,1,0.03,,1,0.73,,1,0.38,,1,3.0,,1
5470,6.0,,1,6.0,,1,0.65,,1,0.03,,1,0.69,,1,0.31,,1,3.0,,1
