,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4324,2.0,,1,3.0,,1,0.0,,1,0.25,,1,0.25,,1,,,,,,
5470,1.5,0.71,2,1.0,0.0,2,0.17,,1,0.17,,1,0.47,,1,,,,,,
5203,2.5,2.12,2,3.0,2.83,2,0.66,,1,0.02,,1,0.58,,1,0.21,,1.0,3.0,,1.0
10609,5.0,2.83,2,5.0,4.24,2,0.64,,1,0.06,,1,0.73,,1,0.35,,1.0,2.0,,1.0
6379,1.0,,1,2.0,,1,0.0,,1,0.11,,1,0.28,,1,,,,,,
6616,2.0,,1,1.0,,1,0.33,,1,0.06,,1,0.42,,1,,,,,,
4691,1.33,0.58,3,2.0,1.0,3,0.88,,1,0.0,,1,0.48,,1,0.1,,1.0,3.0,,1.0
5246,2.33,1.53,3,2.0,1.0,3,0.61,,1,0.01,,1,0.61,,1,0.19,,1.0,3.0,,1.0
4320,3.0,1.73,3,2.67,2.89,3,0.64,,1,0.03,,1,0.65,,1,0.24,,1.0,2.0,,1.0
5211,2.0,,1,3.0,,1,0.06,,1,0.33,,1,0.32,,1,,,,,,
11094,4.5,4.95,2,4.5,3.54,2,0.55,,1,0.1,,1,0.79,,1,0.36,,1.0,2.0,,1.0
5503,3.5,3.54,2,3.0,2.83,2,0.53,,1,0.06,,1,0.69,,1,0.26,,1.0,2.0,,1.0
5506,4.0,4.24,2,3.5,3.54,2,0.7,,1,0.04,,1,0.73,,1,0.35,,1.0,2.0,,1.0
5216,8.0,,1,9.0,,1,0.55,,1,0.11,,1,0.79,,1,0.37,,1.0,2.0,,1.0
5213,8.0,,1,9.0,,1,0.52,,1,0.14,,1,0.79,,1,0.37,,1.0,2.0,,1.0
6400,4.0,,1,3.0,,1,0.72,,1,0.01,,1,0.58,,1,0.23,,1.0,3.0,,1.0
6332,6.0,,1,5.0,,1,0.68,,1,0.05,,1,0.69,,1,0.29,,1.0,2.0,,1.0
