,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
6616,7.0,,1,6.0,,1,0.77,,1,0.01,,1,0.77,,1,0.33,,1.0,2.0,,1.0
3508,6.0,,1,3.0,,1,0.78,,1,0.01,,1,0.71,,1,0.29,,1.0,3.0,,1.0
5470,5.67,3.06,3,5.33,2.08,3,0.4,,1,0.1,,1,0.65,,1,0.32,,1.0,2.0,,1.0
4320,4.0,2.45,4,2.75,2.5,4,0.44,,1,0.02,,1,0.55,,1,0.28,,1.0,3.0,,1.0
22102,7.0,,1,7.0,,1,0.61,,1,0.05,,1,0.77,,1,0.29,,1.0,2.0,,1.0
5506,4.67,1.15,3,7.0,1.0,3,0.36,,1,0.18,,1,0.69,,1,0.35,,1.0,2.0,,1.0
4324,9.0,,1,7.0,,1,0.64,,1,0.07,,1,0.91,,1,0.39,,1.0,2.0,,1.0
5503,6.0,1.73,3,5.0,3.46,3,0.4,,1,0.17,,1,0.73,,1,0.45,,1.0,2.0,,1.0
20055,2.0,,1,8.0,,1,0.74,,1,0.01,,1,0.5,,1,0.08,,1.0,2.0,,1.0
6834,5.0,,1,4.0,,1,0.76,,1,0.01,,1,0.67,,1,0.24,,1.0,2.0,,1.0
7068,8.0,,1,9.0,,1,0.6,,1,0.14,,1,0.83,,1,0.34,,1.0,2.0,,1.0
5203,2.67,3.06,3,2.67,1.53,3,0.38,,1,0.12,,1,0.69,,1,0.32,,1.0,2.0,,1.0
5246,2.33,2.31,3,1.33,0.58,3,0.63,,1,0.01,,1,0.58,,1,0.33,,1.0,3.0,,1.0
5213,3.5,0.71,2,5.0,1.41,2,0.48,,1,0.04,,1,0.5,,1,0.16,,1.0,2.0,,1.0
4691,2.5,0.71,2,3.0,1.41,2,0.45,,1,0.03,,1,0.52,,1,0.18,,1.0,3.0,,1.0
11094,2.0,0.0,2,1.0,0.0,2,0.5,,1,0.0,,1,0.5,,1,0.13,,1.0,3.0,,1.0
6400,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1,,,,,,
6379,4.0,,1,4.0,,1,0.39,,1,0.06,,1,0.58,,1,0.27,,1.0,2.0,,1.0
10609,3.0,,1,5.0,,1,0.56,,1,0.03,,1,0.55,,1,0.23,,1.0,3.0,,1.0
5216,4.0,,1,4.0,,1,0.37,,1,0.08,,1,0.61,,1,0.3,,1.0,3.0,,1.0
