,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4691,2.43,1.81,7,3.57,1.9,7,0.92,,1,0.0,,1,0.59,,1,0.21,,1.0,3.0,,1.0
11094,4.0,2.45,4,3.5,2.38,4,0.73,,1,0.02,,1,0.67,,1,0.31,,1.0,2.0,,1.0
6400,3.67,2.52,3,4.67,2.31,3,0.51,,1,0.06,,1,0.62,,1,0.22,,1.0,2.0,,1.0
22102,4.0,4.24,2,4.0,4.24,2,0.0,,1,0.0,,1,0.39,,1,0.3,,1.0,2.0,,1.0
5216,4.57,2.44,7,5.29,2.81,7,0.58,,1,0.04,,1,0.56,,1,0.22,,1.0,2.0,,1.0
5506,4.88,1.96,8,5.25,1.91,8,0.43,,1,0.14,,1,0.64,,1,0.35,,1.0,2.0,,1.0
6332,5.0,,1,5.0,,1,0.76,,1,0.01,,1,0.67,,1,0.24,,1.0,2.0,,1.0
5246,4.3,2.45,10,2.5,1.43,10,0.6,,1,0.01,,1,0.6,,1,0.26,,1.0,3.0,,1.0
6616,3.0,,1,4.0,,1,0.72,,1,0.01,,1,0.59,,1,0.15,,1.0,2.0,,1.0
5203,5.56,2.6,9,5.89,2.76,9,0.44,,1,0.1,,1,0.69,,1,0.34,,1.0,2.0,,1.0
5503,6.0,1.83,7,4.86,1.68,7,0.3,,1,0.27,,1,0.75,,1,0.43,,1.0,2.0,,1.0
6379,3.0,1.58,5,3.8,1.64,5,0.69,,1,0.01,,1,0.59,,1,0.2,,1.0,2.0,,1.0
10609,2.8,1.79,5,3.2,1.92,5,0.7,,1,0.04,,1,0.67,,1,0.3,,1.0,2.0,,1.0
5211,3.78,1.92,9,4.44,2.51,9,0.61,,1,0.01,,1,0.53,,1,0.2,,1.0,2.0,,1.0
4320,4.2,2.35,10,3.4,2.01,10,0.58,,1,0.04,,1,0.64,,1,0.28,,1.0,2.0,,1.0
6998,2.0,,1,2.0,,1,0.25,,1,0.33,,1,0.44,,1,,,,,,
5470,3.71,2.06,7,3.57,2.88,7,0.5,,1,0.08,,1,0.69,,1,0.39,,1.0,2.0,,1.0
5213,4.25,1.39,8,4.75,1.83,8,0.4,,1,0.05,,1,0.6,,1,0.32,,1.0,3.0,,1.0
3508,4.0,0.0,2,2.0,0.0,2,0.54,,1,0.01,,1,0.59,,1,0.27,,1.0,3.0,,1.0
4324,3.43,2.37,7,3.86,2.19,7,0.69,,1,0.01,,1,0.6,,1,0.28,,1.0,3.0,,1.0
7068,6.0,,1,5.0,,1,0.46,,1,0.1,,1,0.71,,1,0.33,,1.0,2.0,,1.0
