,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5246,5.42,1.88,12,3.5,1.0,12,0.71,,1,0.01,,1,0.6,,1,0.3,,1,4.0,,1
5503,5.67,2.29,9,5.33,1.94,9,0.62,,1,0.04,,1,0.63,,1,0.29,,1,3.0,,1
6400,5.0,2.65,3,5.33,2.89,3,0.79,,1,0.02,,1,0.71,,1,0.27,,1,2.0,,1
5506,6.0,2.65,9,6.44,2.19,9,0.56,,1,0.1,,1,0.71,,1,0.32,,1,2.0,,1
6332,3.0,,1,3.0,,1,0.54,,1,0.01,,1,0.52,,1,0.16,,1,2.0,,1
22102,4.33,1.53,3,6.33,3.06,3,0.17,,1,0.1,,1,0.47,,1,0.23,,1,2.0,,1
5203,5.55,2.66,11,5.82,2.6,11,0.54,,1,0.17,,1,0.8,,1,0.4,,1,2.0,,1
4691,2.33,1.0,9,4.0,1.41,9,0.52,,1,0.17,,1,0.55,,1,0.16,,1,2.0,,1
5216,6.0,2.37,6,6.67,2.25,6,0.7,,1,0.04,,1,0.77,,1,0.33,,1,2.0,,1
11094,5.6,2.07,5,5.4,2.3,5,0.74,,1,0.03,,1,0.63,,1,0.31,,1,3.0,,1
6616,3.33,2.08,3,2.67,2.08,3,0.0,,1,0.0,,1,0.42,,1,0.07,,1,3.0,,1
10609,4.43,2.44,7,4.29,2.81,7,0.0,,1,0.0,,1,0.36,,1,0.02,,1,3.0,,1
5211,5.89,1.76,9,5.89,1.45,9,0.73,,1,0.02,,1,0.67,,1,0.34,,1,3.0,,1
5470,4.75,2.82,8,4.5,2.56,8,0.48,,1,0.21,,1,0.75,,1,0.33,,1,3.0,,1
6998,5.0,,1,9.0,,1,0.66,,1,0.04,,1,0.65,,1,0.23,,1,2.0,,1
6379,5.43,1.99,7,5.14,1.77,7,0.69,,1,0.03,,1,0.6,,1,0.29,,1,3.0,,1
20055,3.0,0.0,2,4.0,0.0,2,0.6,,1,0.01,,1,0.5,,1,0.12,,1,2.0,,1
4320,5.7,2.41,10,4.7,2.75,10,0.7,,1,0.03,,1,0.57,,1,0.26,,1,3.0,,1
7068,5.0,0.0,2,7.0,0.0,2,0.77,,1,0.02,,1,0.67,,1,0.23,,1,2.0,,1
5213,4.78,2.05,9,5.44,1.88,9,0.74,,1,0.04,,1,0.6,,1,0.26,,1,2.0,,1
3508,3.25,1.26,4,1.75,0.96,4,0.8,,1,0.0,,1,0.46,,1,0.17,,1,3.0,,1
4324,4.71,2.98,7,4.86,2.61,7,0.0,,1,0.0,,1,0.44,,1,0.05,,1,4.0,,1
