,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4691,0.0,,1,3.0,,1,0.17,,1,0.0,,1,0.0,,1
5470,1.0,,1,2.0,,1,0.0,,1,0.08,,1,0.11,,1
27318,1.0,,1,1.0,,1,0.0,,1,0.03,,1,0.15,,1
5213,3.0,,1,2.0,,1,0.17,,1,0.1,,1,0.4,,1
6616,2.0,,1,1.0,,1,0.5,,1,0.01,,1,0.31,,1
5246,2.0,,1,1.0,,1,0.5,,1,0.01,,1,0.31,,1
5211,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
10609,1.0,,1,1.0,,1,0.0,,1,0.08,,1,0.15,,1
4320,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.11,,1
6834,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.17,,1
