,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5506,3.25,1.26,4,3.75,0.96,4,0.65,,1,0.01,,1,0.53,,1,0.3,,1.0,2.0,,1.0
7068,2.5,0.71,2,2.0,1.41,2,0.5,,1,0.01,,1,0.53,,1,0.15,,1.0,3.0,,1.0
4324,4.33,1.15,3,5.33,0.58,3,0.51,,1,0.06,,1,0.69,,1,0.33,,1.0,2.0,,1.0
5470,6.0,,1,4.0,,1,0.5,,1,0.06,,1,0.69,,1,,,,,,
5216,3.75,1.5,4,4.25,1.71,4,0.39,,1,0.14,,1,0.5,,1,0.25,,1.0,3.0,,1.0
5503,5.0,0.82,4,5.75,0.96,4,0.45,,1,0.16,,1,0.59,,1,0.31,,1.0,2.0,,1.0
5211,3.5,1.29,4,3.25,0.96,4,0.38,,1,0.11,,1,0.59,,1,0.3,,1.0,2.0,,1.0
4320,4.4,0.89,5,3.8,0.84,5,0.46,,1,0.07,,1,0.67,,1,0.41,,1.0,3.0,,1.0
5246,3.25,1.71,4,1.75,0.96,4,0.2,,1,0.03,,1,0.56,,1,0.19,,1.0,3.0,,1.0
4691,1.0,1.0,3,2.67,0.58,3,0.67,,1,0.01,,1,0.4,,1,0.08,,1.0,3.0,,1.0
6379,4.33,0.58,3,4.33,0.58,3,0.48,,1,0.06,,1,0.62,,1,0.33,,1.0,3.0,,1.0
5203,5.5,1.29,4,5.5,0.58,4,0.34,,1,0.15,,1,0.67,,1,0.4,,1.0,2.0,,1.0
11094,4.75,1.71,4,3.75,0.96,4,0.67,,1,0.03,,1,0.56,,1,0.34,,1.0,3.0,,1.0
6998,4.0,,1,6.0,,1,0.56,,1,0.04,,1,0.64,,1,0.27,,1.0,2.0,,1.0
5213,4.67,1.53,3,4.33,2.08,3,0.5,,1,0.02,,1,0.48,,1,0.19,,1.0,3.0,,1.0
10609,4.0,2.83,2,5.0,1.41,2,0.28,,1,0.22,,1,0.67,,1,0.39,,1.0,3.0,,1.0
6400,4.0,0.0,2,4.5,0.71,2,0.36,,1,0.18,,1,0.59,,1,0.3,,1.0,3.0,,1.0
6616,3.0,,1,1.0,,1,0.5,,1,0.01,,1,0.56,,1,0.27,,1.0,4.0,,1.0
