,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4691,0.0,,1,2.0,,1,0.0,,1,0.0,,1,0.0,,1
5213,2.0,,1,2.0,,1,0.0,,1,0.09,,1,0.23,,1
5470,2.0,,1,2.0,,1,0.0,,1,0.1,,1,0.28,,1
5203,2.0,,1,2.0,,1,0.0,,1,0.12,,1,0.31,,1
5506,3.0,,1,3.0,,1,0.0,,1,0.16,,1,0.31,,1
5246,2.0,,1,2.0,,1,0.0,,1,0.09,,1,0.32,,1
5211,1.0,,1,2.0,,1,0.0,,1,0.03,,1,0.21,,1
11094,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
5503,1.0,,1,1.0,,1,0.0,,1,0.03,,1,0.1,,1
4320,2.0,,1,0.0,,1,0.0,,1,0.0,,1,0.4,,1
6400,2.0,,1,0.0,,1,0.0,,1,0.0,,1,0.45,,1
