id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,out,off_camera,interception,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot,dribble,foul_won,foul_committed,ball_recovery,50_50,miscontrol,block,substitution,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,goalkeeper,pass_recipient_id,pass_recipient_name,related_events_1,related_events,carry_end_location_0,carry_end_location_1,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events_2,duel_type_id,duel_type_name,related_events_3,pass_aerial_won,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure
e9501105-75e1-4ffc-a869-a277dbf2c43c,581,1,00:15:48.602,15,48,43,Carry,43,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.080832,,064f6737-fd18-44fb-b168-ce0f409740ac,26222,José Eduardo Rosa Vale de Castro,3,Right Center Back,45.4,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87b1210d-f6cf-4399-b620-3fb5a75720f2,,45.4,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064f6737-fd18-44fb-b168-ce0f409740ac,582,1,00:15:49.683,15,49,30,Pass,43,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,4.14355,,,26222,José Eduardo Rosa Vale de Castro,3,Right Center Back,45.4,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.91148,-0.13793257,3.0,High Pass,119.6,56.8,40.0,Right Foot,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9348bfde-c7cd-4240-8ed7-16843207a552,648,1,00:17:42.869,17,42,30,Pass,47,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.796116,,9ee33b78-89ae-4a5e-9eaa-7e8543ad4356,24138,Joaquín José Marín Ruiz,2,Right Back,35.4,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65386,-0.1945659,3.0,High Pass,69.4,73.3,,,67.0,Throw-in,9.0,Incomplete,,26685.0,Nicolás Ladislao Fedor Flores,c14fe4c8-6ae8-4caa-9d93-7dc859adc146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ee33b78-89ae-4a5e-9eaa-7e8543ad4356,649,1,00:17:44.665,17,44,42,Ball Receipt*,47,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,9348bfde-c7cd-4240-8ed7-16843207a552,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,67.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e53b5ca3-a4f1-46ee-af01-ad6f96dc5439,667,1,00:18:16.208,18,16,30,Pass,49,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.33435,,794af0c5-30ff-48de-a30f-cd771f2a2bdf,11298,José Ignacio Martínez García,6,Left Back,27.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.560163,0.27970415,3.0,High Pass,46.7,5.5,,,67.0,Throw-in,,,,7900.0,Tiago Manuel Dias Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794af0c5-30ff-48de-a30f-cd771f2a2bdf,668,1,00:18:17.543,18,17,42,Ball Receipt*,49,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,e53b5ca3-a4f1-46ee-af01-ad6f96dc5439,7900,Tiago Manuel Dias Correia,21,Left Wing,46.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb2bf572-cbaf-45ff-9f6d-92e675a08122,669,1,00:18:17.580,18,17,30,Pass,49,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.822335,,59819469-bbaf-471f-82b3-82909df293ed,7900,Tiago Manuel Dias Correia,21,Left Wing,36.9,4.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,8.570881,0.1286965,3.0,High Pass,45.4,5.7,,,,,9.0,Incomplete,,6852.0,Jozabed Sánchez Ruiz,c8fdc63f-6241-4e69-aa80-9bc59993efaa,,,,,,,,,e8455725-19b4-445f-94c2-5c38870725cf,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8455725-19b4-445f-94c2-5c38870725cf,670,1,00:18:17.580,18,17,4,Duel,49,360,Rayo Vallecano,4,From Throw In,219,RC Deportivo La Coruña,0.0,,eb2bf572-cbaf-45ff-9f6d-92e675a08122,6738,Juan Francisco Moreno Fuertes,2,Right Back,83.2,75.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59819469-bbaf-471f-82b3-82909df293ed,671,1,00:18:19.402,18,19,42,Ball Receipt*,49,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,eb2bf572-cbaf-45ff-9f6d-92e675a08122,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,43.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8fdc63f-6241-4e69-aa80-9bc59993efaa,672,1,00:18:19.402,18,19,30,Pass,49,360,Rayo Vallecano,4,From Throw In,219,RC Deportivo La Coruña,0.820464,,373e8325-e419-4076-89ee-34c88bb8bf44,23806,Alejandro Bergantiños García,9,Right Defensive Midfield,74.7,74.4,,,,True,,,,,,,,,,,,,,,,,,,,,,,,6.661081,-0.13552772,3.0,High Pass,81.3,73.5,,,66.0,Recovery,9.0,Incomplete,,,,805910a1-1c74-4496-ac11-18d03bfc6226,,,,,,,,,eb2bf572-cbaf-45ff-9f6d-92e675a08122,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
